Wavelength (nm)	CHL002_Chl a, Ace (Kobayashi, 2013).abs
351.59	0.28580
354.88	0.30552
357.68	0.32439
360.72	0.34661
363.52	0.36674
366.86	0.39149
369.91	0.41707
372.52	0.44181
374.47	0.46026
376.48	0.47117
378.49	0.48081
380.55	0.48585
382.75	0.49130
385.24	0.49256
387.55	0.49088
389.80	0.48752
391.45	0.48543
393.15	0.48627
394.61	0.49717
396.62	0.52065
398.38	0.54372
399.96	0.57308
401.42	0.60830
402.95	0.64982
404.35	0.67918
405.50	0.70266
407.14	0.72363
409.03	0.74292
410.79	0.75550
412.38	0.75802
413.59	0.75383
414.75	0.74754
415.91	0.74083
417.31	0.73789
418.83	0.73915
419.68	0.74879
420.65	0.76473
422.48	0.79618
424.18	0.83854
425.46	0.88216
426.49	0.91193
427.59	0.94213
428.68	0.96687
429.71	0.98868
430.51	0.99790
431.30	1.0000
432.27	0.99748
433.25	0.98071
434.89	0.92451
436.53	0.82596
437.99	0.72741
439.94	0.55882
441.83	0.41581
443.16	0.32481
444.62	0.23967
445.96	0.18977
447.24	0.14238
448.64	0.10967
450.16	0.081988
451.32	0.064794
453.08	0.050535
454.66	0.039212
456.31	0.030405
458.01	0.024114
460.02	0.020197
462.89	0.019150
467.02	0.018663
474.74	0.019082
480.40	0.019419
487.03	0.019921
493.00	0.020351
500.60	0.021062
509.18	0.022018
514.23	0.023276
516.85	0.024045
519.22	0.025262
521.61	0.026149
524.51	0.027889
526.89	0.032502
529.02	0.037954
531.45	0.040470
534.07	0.041373
536.68	0.039631
539.48	0.035857
542.40	0.031244
544.13	0.029986
545.99	0.029986
548.49	0.030405
551.28	0.032921
554.57	0.036276
557.11	0.038793
560.96	0.045083
564.19	0.052632
566.19	0.057245
569.48	0.065213
571.51	0.068778
574.72	0.075768
577.44	0.081010
579.21	0.083806
581.04	0.085590
582.66	0.084155
584.38	0.081988
587.50	0.074859
590.71	0.070698
594.12	0.072343
597.16	0.079472
599.65	0.087999
601.62	0.097086
603.09	0.10512
604.67	0.11289
606.64	0.12400
608.52	0.13203
610.65	0.14112
612.73	0.14811
614.71	0.15300
616.28	0.15510
617.95	0.15265
619.73	0.14811
621.50	0.14392
623.38	0.13797
625.30	0.13099
627.23	0.12415
629.11	0.11716
631.13	0.10932
632.15	0.10512
633.42	0.10058
634.99	0.098484
636.66	0.10093
638.84	0.10932
640.87	0.12085
642.34	0.13553
643.66	0.15300
645.48	0.18026
647.16	0.20892
648.22	0.24352
650.16	0.31977
652.59	0.42755
654.66	0.53617
656.49	0.64269
657.69	0.70686
659.10	0.77438
660.14	0.80960
661.15	0.82638
662.20	0.82973
663.20	0.82596
664.25	0.80835
666.11	0.74292
668.41	0.62927
670.42	0.50682
673.28	0.34703
674.68	0.27071
675.77	0.22164
677.05	0.18054
678.15	0.14741
679.42	0.11722
680.76	0.091214
681.86	0.072762
683.14	0.058084
684.29	0.046761
685.87	0.037115
687.58	0.028728
689.52	0.020759
691.53	0.015308
693.35	0.011114
695.07	0.0086675
696.74	0.0069201
699.13	0.0051727
701.66	0.0041243
704.40	0.0037748
707.34	0.0034253
710.01	0.0031521
712.77	0.0030291
716.82	0.0028541
719.89	0.0028541
