Wavelength (nm)	CHL004_Chl a, C6H6 (Kobayashi, 2013).abs
351.57	0.21420
355.28	0.23593
358.11	0.25332
361.70	0.27505
365.35	0.29852
368.37	0.31938
371.39	0.34024
374.04	0.35719
376.62	0.37023
379.01	0.37782
381.21	0.38371
383.98	0.38828
386.18	0.39023
388.13	0.38892
389.83	0.38631
391.41	0.38544
393.04	0.38849
394.55	0.39327
396.06	0.40544
397.45	0.42282
398.90	0.44716
400.34	0.47411
401.98	0.50714
403.44	0.54191
404.69	0.56712
405.82	0.58798
407.01	0.60450
408.40	0.61884
409.91	0.63101
411.48	0.63753
413.81	0.64144
415.95	0.64057
418.09	0.64431
420.04	0.65671
421.17	0.67143
422.24	0.69142
423.25	0.71663
424.51	0.75053
425.67	0.79486
427.09	0.85527
429.17	0.94263
430.34	0.97822
431.30	0.99365
432.50	1.0000
433.67	0.99470
434.87	0.96523
436.29	0.89396
437.92	0.77965
439.24	0.66491
441.57	0.48889
443.39	0.33329
444.78	0.24071
445.97	0.17031
446.72	0.14075
447.42	0.11337
448.24	0.092943
449.06	0.074688
450.13	0.060780
451.20	0.047307
452.39	0.036441
453.59	0.026445
454.97	0.019926
456.80	0.015145
459.57	0.011080
463.03	0.0094947
466.74	0.0081909
472.47	0.0068870
477.94	0.0064524
480.97	0.0068870
483.99	0.0071863
489.08	0.0082791
494.31	0.0088901
499.03	0.0093025
504.38	0.0098971
508.82	0.011523
513.42	0.013556
518.73	0.016449
522.88	0.021230
526.53	0.026445
530.12	0.029192
534.90	0.029715
539.18	0.029358
543.02	0.027749
546.99	0.026445
550.26	0.025358
553.15	0.025576
555.55	0.025818
557.94	0.028317
560.27	0.032196
562.72	0.037311
565.24	0.044699
568.26	0.052523
570.65	0.058607
573.61	0.065996
575.94	0.070342
578.01	0.072950
580.41	0.074688
583.11	0.073385
585.69	0.068604
588.27	0.063823
590.87	0.057738
593.24	0.055565
595.57	0.055130
598.03	0.058173
600.10	0.066431
602.37	0.078600
604.83	0.090090
606.65	0.099462
608.73	0.10859
610.87	0.11786
613.01	0.12424
615.71	0.13103
618.80	0.13380
621.50	0.13215
623.96	0.12573
625.78	0.11989
627.86	0.11250
630.19	0.10511
632.33	0.097289
633.90	0.090769
635.73	0.086423
637.49	0.085554
638.69	0.085989
639.94	0.086858
641.71	0.090769
643.03	0.097723
644.54	0.10642
646.24	0.12119
647.43	0.13684
648.44	0.15336
649.70	0.17552
651.15	0.21333
652.78	0.25981
654.10	0.30895
655.84	0.39153
656.96	0.46063
658.51	0.55060
659.70	0.62231
661.09	0.68925
662.32	0.74271
663.46	0.77530
664.11	0.78617
665.30	0.79189
666.32	0.78660
667.43	0.76618
668.96	0.71315
670.70	0.61493
672.99	0.48063
674.32	0.40891
675.70	0.32547
677.07	0.25680
678.15	0.20725
678.90	0.17465
679.73	0.15118
680.73	0.12206
681.80	0.098593
682.99	0.077731
684.31	0.060346
685.76	0.044699
687.34	0.032964
688.91	0.023403
690.42	0.016014
692.12	0.0090601
694.13	0.0053887
696.34	0.0034714
698.48	0.0024279
701.50	0.0021305
704.27	0.0021305
707.35	0.0021305
710.32	0.0021305
