Wavelength (nm)	CHL008_Chl a, MeOH (Kobayashi, 2013).abs
363.93	0.50393
367.15	0.53662
369.69	0.56289
372.06	0.58740
374.01	0.60842
376.48	0.63274
379.26	0.65511
381.70	0.67068
384.10	0.68041
386.99	0.68333
389.60	0.68284
392.49	0.68430
395.67	0.68722
398.42	0.69987
400.61	0.71592
403.00	0.73927
405.12	0.76797
407.17	0.79715
409.21	0.82537
410.91	0.84823
412.81	0.86866
414.79	0.88082
416.83	0.89201
418.88	0.89493
420.64	0.89541
422.05	0.89201
423.46	0.89833
425.16	0.90612
426.57	0.91536
428.33	0.92509
429.76	0.93384
431.15	0.94308
432.50	0.94649
434.05	0.94357
435.46	0.93044
436.87	0.91049
438.14	0.87887
440.39	0.80737
442.91	0.70765
445.97	0.55637
448.30	0.42892
450.20	0.33553
451.96	0.26062
453.66	0.20516
454.65	0.16819
456.06	0.13463
457.04	0.10982
458.38	0.088418
459.94	0.071879
461.49	0.059232
462.97	0.046584
464.45	0.038315
465.72	0.030045
467.13	0.025181
469.18	0.018371
471.72	0.014480
474.61	0.013150
477.93	0.012534
481.74	0.012534
485.26	0.013020
489.43	0.014248
494.08	0.015452
501.77	0.018159
510.17	0.020810
517.08	0.022375
523.71	0.025668
531.40	0.029931
537.40	0.033129
544.38	0.036369
549.60	0.040261
553.62	0.045125
557.86	0.051449
561.38	0.058259
565.05	0.067015
568.02	0.072852
571.61	0.080148
575.56	0.089877
580.15	0.099606
584.52	0.10690
588.83	0.11566
592.64	0.12295
595.74	0.13171
599.90	0.14679
602.30	0.16187
604.91	0.17695
607.24	0.19106
609.57	0.20468
612.11	0.22121
614.37	0.23046
616.20	0.23532
618.11	0.23629
620.36	0.23435
622.27	0.22997
624.03	0.22511
626.22	0.22121
628.69	0.21781
632.36	0.21586
635.60	0.21586
638.56	0.22170
641.24	0.22997
643.36	0.24213
645.13	0.25770
646.75	0.27910
648.58	0.31656
650.56	0.37104
652.25	0.42406
654.30	0.51405
657.33	0.68187
659.80	0.81807
661.00	0.88423
662.41	0.93871
663.89	0.97616
664.95	0.99708
665.80	1.00000
666.85	0.99611
667.91	0.97422
669.75	0.91390
671.44	0.83218
673.17	0.72808
675.38	0.57047
676.94	0.47708
678.85	0.35936
680.12	0.30391
681.18	0.25283
682.23	0.21732
683.15	0.18668
684.14	0.15846
685.20	0.13414
686.18	0.11177
687.45	0.091336
688.72	0.074798
690.06	0.060691
691.39	0.048530
692.71	0.037342
694.75	0.026154
696.63	0.019344
698.74	0.013993
701.28	0.0091288
704.31	0.0062102
706.93	0.0047509
710.59	0.0037780
713.70	0.0032915
716.80	0.0032915
719.91	0.0032915
