Wavelength (nm)	CHL009_Chl a, Pyr (Niedzwiedzki, 2010).ems
600.25	0.0014245
609.20	0.0018425
615.99	0.0031768
622.04	0.0045182
628.70	0.0079557
635.25	0.012768
639.94	0.019987
643.40	0.026174
646.61	0.036830
649.45	0.050924
651.54	0.063643
653.64	0.078768
655.25	0.096986
657.10	0.12242
658.58	0.15264
660.60	0.21627
662.50	0.28330
664.63	0.39020
666.61	0.49058
668.09	0.59164
669.65	0.69786
671.70	0.82814
673.25	0.90548
675.00	0.97354
675.99	0.99382
677.00	1.0000
678.10	0.99382
679.28	0.97698
680.80	0.92164
682.90	0.81954
686.11	0.61604
689.55	0.43936
692.53	0.31870
694.63	0.26095
696.73	0.21730
698.09	0.18808
699.94	0.16367
701.82	0.14992
705.99	0.13274
709.20	0.12242
712.78	0.11486
715.37	0.11177
718.21	0.11074
721.54	0.11417
723.77	0.11864
727.22	0.12449
730.31	0.12689
734.38	0.12414
738.40	0.11899
742.90	0.11074
748.21	0.094236
754.51	0.072924
758.21	0.059174
762.04	0.045768
766.24	0.034081
770.31	0.027206
774.88	0.023081
779.32	0.019643
785.99	0.016549
797.96	0.012424
808.46	0.012081
8210.0	0.011049
