Wavelength (nm)	CHL010_Chl b, Ace (Jeffrey, 1997).abs
350.59	0.19207
356.63	0.18738
361.20	0.18270
365.65	0.17334
369.98	0.16189
374.89	0.15617
378.65	0.15201
380.82	0.14420
383.44	0.13276
385.72	0.11819
387.66	0.10623
390.51	0.096343
392.91	0.089580
395.30	0.086458
398.04	0.090620
401.46	0.097383
405.68	0.10779
409.45	0.11923
412.64	0.13588
414.92	0.15721
417.55	0.19103
419.83	0.22224
422.02	0.26282
424.28	0.30444
425.87	0.33305
427.70	0.35230
429.18	0.36843
431.35	0.37883
434.09	0.38768
436.37	0.39496
438.19	0.40432
439.34	0.42045
440.82	0.44490
442.76	0.49120
444.70	0.55571
446.41	0.63843
448.22	0.72739
450.33	0.82936
452.34	0.90740
453.71	0.95422
455.42	0.99376
456.90	1.00000
458.27	0.99220
459.47	0.95890
462.04	0.84809
464.54	0.72375
467.17	0.58537
470.16	0.44074
472.30	0.35282
474.24	0.27947
475.72	0.22692
477.55	0.18270
479.26	0.14785
481.08	0.11559
483.37	0.086458
485.76	0.064608
488.50	0.051082
491.58	0.040677
494.55	0.032874
498.54	0.027786
502.07	0.025590
506.75	0.024029
510.51	0.025070
514.74	0.027671
518.84	0.028712
525.23	0.032874
531.73	0.039116
538.23	0.044319
543.60	0.047960
549.53	0.050041
555.34	0.050562
561.28	0.052643
567.21	0.055244
572.11	0.056805
576.30	0.059319
579.81	0.061920
583.52	0.068423
585.80	0.071458
587.99	0.076227
590.27	0.080996
593.03	0.084898
595.40	0.087065
598.16	0.086198
601.20	0.080996
604.34	0.075793
607.47	0.070157
610.71	0.067556
614.22	0.066256
617.55	0.065822
620.97	0.066689
624.11	0.071892
626.77	0.081429
628.77	0.093135
630.10	0.10701
631.71	0.12652
633.81	0.15556
636.18	0.19762
638.29	0.23967
640.20	0.27912
641.70	0.31077
642.84	0.33114
644.21	0.34675
645.50	0.35022
647.02	0.34588
648.54	0.33114
650.35	0.30080
652.44	0.24834
653.95	0.20672
656.24	0.15253
658.05	0.11915
659.47	0.095736
661.18	0.074493
662.70	0.056718
664.51	0.042411
666.98	0.028538
669.45	0.021168
672.30	0.014665
675.82	0.0094627
679.53	0.0068615
684.00	0.0053552
688.56	0.0042603
693.79	0.0030869
699.02	0.0022948
702.34	0.0018239
705.48	0.0016337
709.38	0.0016337
712.70	0.0016337
