Wavelength (nm)	CHL016_Chl b, MeOH (Kobayashi, 2013).abs
363.76	0.25612
366.30	0.25412
368.70	0.24962
372.26	0.24212
375.89	0.23211
379.74	0.22461
383.73	0.21160
387.44	0.19909
390.20	0.18709
393.25	0.16758
395.64	0.15157
398.04	0.13706
400.22	0.12506
402.11	0.11655
404.28	0.10955
406.68	0.10655
408.64	0.10905
410.89	0.11505
413.58	0.12456
415.83	0.13706
418.30	0.14907
420.84	0.16808
423.38	0.18909
425.93	0.21910
428.98	0.25412
432.68	0.30815
436.67	0.36768
440.96	0.43321
445.39	0.50125
448.95	0.55727
450.98	0.59679
453.50	0.64932
455.85	0.70835
458.24	0.77838
460.86	0.84642
463.47	0.91445
465.65	0.96598
467.32	0.98899
468.26	0.99749
469.40	1.00000
470.81	0.99599
472.19	0.97898
474.15	0.94697
475.96	0.90045
477.97	0.83141
480.60	0.73186
482.86	0.63431
485.77	0.50775
487.29	0.44172
489.62	0.35617
491.29	0.29664
492.96	0.24362
494.70	0.19959
496.08	0.16908
497.46	0.14307
498.91	0.12105
500.29	0.099544
501.96	0.083536
503.60	0.067528
505.16	0.057523
506.97	0.048518
509.08	0.040514
511.26	0.033575
513.43	0.030009
516.41	0.028638
520.41	0.027225
524.62	0.026507
528.69	0.026507
531.74	0.028342
535.37	0.030242
539.72	0.033511
543.94	0.037513
547.86	0.042559
551.42	0.045517
555.99	0.048518
561.15	0.048948
566.16	0.050019
571.46	0.051020
575.60	0.054021
578.43	0.057523
582.64	0.063526
586.35	0.071530
589.54	0.081035
592.37	0.090539
595.06	0.098543
597.32	0.10505
599.20	0.11105
601.16	0.11455
603.20	0.11605
605.37	0.11255
607.82	0.10705
609.80	0.10305
612.27	0.097543
614.23	0.093041
616.41	0.088038
618.70	0.083536
619.85	0.079761
621.64	0.078692
623.46	0.081035
625.13	0.085537
626.72	0.091040
628.69	0.099544
630.79	0.11005
632.68	0.12406
634.71	0.14257
636.46	0.16608
638.13	0.18659
640.45	0.21710
642.41	0.24462
644.81	0.28113
647.49	0.31965
649.38	0.34167
650.98	0.35417
652.20	0.35667
653.67	0.35417
655.19	0.34217
657.23	0.31765
659.19	0.29164
660.86	0.26112
662.75	0.22911
664.85	0.19009
666.96	0.15707
668.99	0.12456
671.17	0.096042
673.35	0.072530
675.24	0.056022
677.50	0.041015
679.67	0.031010
681.55	0.023006
684.46	0.013843
687.22	0.0094988
689.62	0.0069975
692.30	0.0055288
695.13	0.0043180
697.82	0.0035875
701.53	0.0029955
704.58	0.0029955
