Wavelength (nm)	CHL019_Chl d, Ace (Kobayashi, 2013).abs
350.73	0.28427
353.64	0.29146
356.42	0.30247
359.27	0.31644
362.05	0.33549
364.77	0.35411
367.99	0.37570
371.08	0.39390
374.43	0.41380
377.83	0.43073
380.79	0.44682
383.40	0.46671
385.44	0.48491
387.05	0.50161
388.78	0.52051
390.08	0.53656
391.38	0.54926
392.80	0.55942
394.00	0.56111
395.25	0.55772
396.76	0.54375
398.31	0.52471
400.29	0.49507
401.96	0.47222
403.44	0.45147
404.74	0.43285
405.67	0.41972
407.03	0.40745
409.07	0.39729
410.37	0.39433
412.04	0.39941
413.65	0.41084
415.69	0.42777
417.73	0.44722
419.84	0.46502
422.62	0.48745
424.79	0.50523
427.26	0.51878
429.30	0.53021
431.41	0.54122
433.39	0.55095
435.37	0.56534
436.91	0.57635
438.15	0.59032
439.57	0.61021
440.69	0.62842
441.68	0.64831
443.04	0.67710
444.09	0.70292
445.08	0.72959
446.32	0.75668
447.99	0.78927
449.34	0.81171
450.65	0.82356
451.70	0.82653
452.81	0.82229
454.30	0.80197
455.91	0.76007
457.82	0.69234
459.56	0.61910
461.60	0.50989
463.33	0.43454
464.78	0.36173
465.99	0.30839
467.19	0.26479
468.19	0.22712
469.52	0.18902
470.88	0.14838
472.24	0.12087
473.79	0.094622
474.78	0.078113
476.20	0.062451
477.68	0.047635
479.35	0.036075
480.90	0.026046
482.94	0.019273
484.92	0.013347
487.89	0.010807
492.53	0.0095370
497.67	0.0096960
502.86	0.010638
507.07	0.012924
510.84	0.014617
515.61	0.016733
519.88	0.018003
525.51	0.018427
529.34	0.019273
532.56	0.021501
536.33	0.024353
540.42	0.027739
543.57	0.030528
547.04	0.033494
553.97	0.036206
563.06	0.037052
571.54	0.037899
575.19	0.038322
578.22	0.040862
581.56	0.047212
584.46	0.055761
587.19	0.063721
589.60	0.071340
592.63	0.081076
595.67	0.089966
598.26	0.097586
600.80	0.10125
602.90	0.10309
605.01	0.10013
607.05	0.095469
609.28	0.089543
611.44	0.084886
613.48	0.079807
615.77	0.076557
618.50	0.079807
620.97	0.087083
624.00	0.095469
626.85	0.10648
629.38	0.11527
631.80	0.12383
634.09	0.13187
636.38	0.13907
638.48	0.14567
640.58	0.15050
642.69	0.15516
644.60	0.15770
646.15	0.15643
647.51	0.15346
648.75	0.14881
650.42	0.14330
652.21	0.13738
654.32	0.13018
655.80	0.12341
657.41	0.11833
659.08	0.11452
661.37	0.11282
663.41	0.11409
665.08	0.12002
666.94	0.13230
668.61	0.14627
670.03	0.16447
671.39	0.18944
672.75	0.21950
674.11	0.25929
676.47	0.33887
678.67	0.43200
682.08	0.63883
683.79	0.74550
685.34	0.81713
686.61	0.87402
687.99	0.92990
689.40	0.97968
690.36	0.99746
691.40	1.00000
692.59	0.99746
693.70	0.97917
695.42	0.90856
697.93	0.77751
699.94	0.65305
702.54	0.48745
704.24	0.38383
705.51	0.31264
706.47	0.27267
707.88	0.21975
709.00	0.18775
709.96	0.15676
711.08	0.13035
712.26	0.10851
713.62	0.087680
715.31	0.065329
716.88	0.049582
718.18	0.038915
719.54	0.028755
721.02	0.020120
722.58	0.014024
724.66	0.0089444
726.74	0.0053886
728.89	0.0038647
731.79	0.0028487
734.24	0.0026185
736.76	0.0024534
740.47	0.0023407
744.11	0.0023407
