Wavelength (nm)	CHL020_Chl d, C6H6 (Kobayashi, 2013).abs
350.92	0.28090
352.80	0.28422
354.68	0.28936
356.73	0.29753
358.87	0.30721
360.84	0.31870
362.94	0.33200
364.86	0.34471
366.26	0.35771
367.88	0.37132
369.32	0.38160
370.89	0.39128
372.47	0.40156
374.08	0.41094
375.96	0.42091
377.89	0.42817
379.28	0.43452
380.46	0.44087
382.17	0.44904
383.61	0.45872
385.05	0.46900
386.76	0.48231
388.77	0.49833
390.47	0.51103
392.09	0.52464
393.27	0.53160
394.20	0.53341
395.76	0.52948
396.90	0.52192
398.17	0.51134
399.74	0.49380
401.44	0.47686
402.62	0.46083
403.85	0.44722
405.07	0.43634
406.60	0.42666
408.17	0.42515
409.97	0.42908
411.50	0.44118
413.33	0.45660
415.69	0.47656
418.01	0.49501
420.28	0.51073
422.90	0.52767
426.14	0.55005
429.28	0.56698
432.21	0.58573
434.00	0.59783
435.53	0.61204
436.89	0.62807
437.89	0.64712
439.12	0.67101
441.11	0.72121
443.05	0.76657
444.97	0.81496
446.46	0.84913
447.95	0.87575
448.92	0.88421
450.20	0.88824
451.18	0.88233
452.71	0.85276
454.39	0.79591
456.91	0.68916
458.44	0.60357
460.67	0.47777
463.11	0.34924
465.08	0.25307
466.61	0.19531
467.79	0.15902
468.77	0.13181
469.93	0.11094
471.07	0.094004
472.51	0.077674
473.65	0.065880
475.00	0.056807
476.40	0.048945
478.19	0.042292
480.16	0.037755
482.61	0.033824
485.58	0.032352
489.99	0.032009
494.71	0.032312
503.37	0.033185
516.65	0.034503
527.71	0.035638
535.23	0.037827
538.11	0.039570
540.69	0.043199
543.23	0.046053
546.64	0.048037
549.74	0.048534
553.02	0.048795
556.64	0.047130
560.23	0.043226
563.90	0.039836
566.87	0.038558
569.76	0.038597
572.25	0.039542
574.78	0.041836
576.84	0.045683
578.67	0.049550
580.38	0.054993
582.47	0.062553
585.10	0.071928
587.85	0.080698
590.72	0.088561
593.28	0.095819
595.19	0.099146
597.60	0.10036
600.04	0.099146
602.10	0.095517
604.41	0.090073
606.34	0.084932
608.35	0.079489
609.91	0.075255
611.28	0.071021
612.59	0.067997
614.34	0.065880
616.22	0.067694
617.88	0.070416
620.11	0.074348
622.07	0.079489
623.65	0.083722
625.66	0.090980
627.62	0.099448
629.59	0.10685
631.29	0.11427
633.00	0.12062
634.75	0.12576
636.41	0.12999
638.29	0.13392
640.47	0.13847
642.27	0.14154
643.84	0.14436
645.06	0.14597
646.42	0.14663
648.12	0.14572
649.62	0.14316
651.38	0.13755
653.06	0.13241
655.42	0.12636
657.30	0.12364
659.62	0.12152
661.36	0.12273
662.72	0.12455
664.47	0.12908
666.26	0.13423
667.88	0.13967
669.49	0.14783
670.63	0.15812
672.07	0.17354
673.17	0.19138
675.04	0.23100
676.84	0.27969
678.42	0.33540
680.02	0.40882
682.61	0.56093
685.18	0.72454
686.65	0.81163
687.85	0.87726
689.47	0.94772
690.71	0.98613
691.61	0.99572
692.70	1.0000
693.80	0.99567
694.81	0.97312
696.32	0.90992
698.12	0.80438
700.09	0.67706
702.36	0.51557
704.42	0.38674
706.41	0.27001
708.13	0.19743
709.44	0.15842
710.27	0.13362
711.42	0.10913
712.59	0.087351
713.99	0.064973
715.92	0.043257
717.05	0.034957
718.88	0.021758
720.45	0.014159
721.46	0.010491
722.55	0.0083381
724.52	0.0062855
726.75	0.0042522
728.58	0.0032421
731.16	0.0023210
734.22	0.0022810
739.07	0.0022097
744.28	0.0022097
749.48	0.0022097
