Wavelength (nm)	CHL021_Chl d, Et2O (French, 1956).ems
654.92	0.0023611
657.09	0.010507
659.47	0.016938
662.47	0.025512
665.10	0.036659
667.35	0.052951
669.35	0.074387
671.77	0.10354
673.61	0.13312
675.32	0.16485
676.78	0.20215
678.11	0.24931
679.45	0.30461
680.70	0.35949
682.90	0.45552
685.66	0.57600
688.33	0.69347
690.46	0.78779
692.25	0.85681
693.71	0.90354
695.46	0.95799
696.71	0.98243
698.01	0.99486
699.00	1.0000
700.30	0.99701
701.38	0.98543
702.97	0.94684
704.89	0.87911
706.56	0.79979
709.14	0.67589
711.31	0.56185
712.52	0.49282
713.86	0.43452
714.86	0.39465
715.98	0.36549
717.32	0.33162
718.57	0.30333
719.74	0.27932
721.36	0.26088
723.57	0.23687
725.99	0.21715
729.00	0.20129
731.87	0.18671
734.33	0.17600
736.63	0.16914
738.55	0.16485
740.84	0.16399
743.80	0.16399
745.97	0.16485
748.43	0.16185
750.64	0.15413
753.31	0.14255
756.11	0.13055
759.07	0.11597
761.90	0.099682
764.03	0.086391
766.32	0.072243
768.66	0.058953
