Wavelength (nm)	CHL023_Chl d, Et2O (Kobayashi, 2013).abs
351.28	0.23376
353.30	0.24242
355.09	0.25127
357.18	0.26386
359.56	0.27994
361.59	0.29478
364.27	0.31119
366.59	0.32901
368.56	0.34426
370.76	0.35787
372.79	0.37147
374.93	0.38219
377.02	0.39209
378.45	0.40124
380.41	0.41353
382.26	0.42796
384.41	0.44693
385.88	0.46012
387.27	0.47167
388.99	0.48074
390.50	0.48362
391.56	0.48073
393.10	0.47248
394.53	0.45846
396.11	0.44114
397.57	0.42217
399.00	0.40278
400.37	0.38752
401.63	0.37483
402.88	0.36716
404.66	0.36236
406.51	0.36566
408.18	0.37886
409.91	0.39411
411.52	0.41019
413.29	0.42710
415.39	0.44648
417.06	0.46008
418.96	0.47287
420.81	0.48317
422.90	0.49266
424.86	0.50131
426.47	0.50956
428.20	0.51987
429.57	0.53017
430.88	0.54584
431.95	0.56028
432.89	0.57595
434.28	0.60234
435.71	0.63285
436.99	0.66543
438.03	0.69594
439.72	0.74501
441.65	0.79780
443.39	0.83903
444.41	0.85470
445.60	0.86216
446.77	0.85511
448.14	0.82171
449.83	0.76067
450.90	0.70871
452.45	0.63242
453.70	0.55943
455.25	0.46416
457.16	0.36519
458.59	0.29302
459.96	0.22457
460.73	0.18951
461.38	0.16436
462.16	0.14167
462.94	0.12023
463.89	0.10085
464.84	0.083113
465.97	0.067029
467.29	0.053007
469.07	0.040633
471.04	0.030734
472.83	0.024546
474.91	0.019183
477.47	0.014670
479.98	0.012340
482.84	0.011338
486.11	0.011020
489.93	0.011092
494.16	0.012562
498.21	0.014207
501.49	0.018327
504.70	0.022448
507.98	0.025330
512.15	0.025326
516.74	0.024908
520.91	0.024903
524.78	0.025311
528.42	0.025651
531.52	0.026954
534.61	0.029836
537.41	0.033544
540.04	0.037364
541.36	0.039188
543.20	0.041373
545.38	0.043228
546.83	0.043843
548.37	0.043412
549.99	0.042178
552.49	0.039841
555.71	0.035435
558.27	0.031352
560.60	0.028302
562.68	0.026505
564.94	0.025526
566.68	0.026150
568.75	0.028303
571.02	0.031521
573.64	0.035474
576.08	0.040397
577.87	0.045045
579.78	0.050816
581.98	0.057824
584.31	0.065656
586.21	0.071284
588.42	0.078023
590.44	0.084206
591.87	0.087504
594.02	0.088739
595.92	0.087087
597.71	0.083373
599.38	0.077186
601.29	0.070585
602.78	0.064398
604.62	0.057798
606.23	0.052435
608.50	0.047896
610.76	0.046726
612.85	0.049128
614.99	0.053966
616.78	0.059603
618.98	0.067678
620.89	0.075512
622.56	0.081695
624.17	0.088291
626.46	0.097361
628.22	0.10356
631.08	0.11344
633.94	0.11984
636.50	0.12251
639.18	0.12374
641.86	0.12213
643.89	0.11803
645.80	0.11095
647.82	0.10146
650.09	0.091973
652.23	0.084548
654.73	0.080009
657.18	0.078357
659.20	0.082890
661.17	0.087424
662.84	0.095670
664.27	0.10515
665.46	0.11794
666.83	0.13443
668.32	0.15711
669.75	0.18969
671.42	0.23752
673.02	0.29484
674.61	0.36865
675.83	0.43844
676.72	0.49649
678.49	0.62721
679.99	0.73979
681.12	0.82185
682.22	0.89031
683.57	0.95299
684.62	0.98598
685.30	0.99628
686.20	1.00000
687.02	0.99628
687.77	0.98309
688.61	0.95710
689.95	0.89071
691.26	0.81359
692.93	0.70101
694.61	0.56781
696.02	0.45028
697.95	0.31048
698.53	0.26842
699.30	0.22429
700.13	0.18470
701.01	0.15295
702.10	0.12243
703.17	0.097686
704.72	0.073766
706.03	0.055207
707.34	0.042010
708.77	0.032523
710.32	0.021799
712.31	0.013550
714.14	0.0098361
716.52	0.0069467
719.08	0.0043026
722.00	0.0028166
724.86	0.0018049
727.90	0.0012590
731.06	0.0011471
735.11	0.0011471
739.40	0.0011471
