Wavelength (nm)	CHL026_Chl d, Pyr (Niedzwiedzki, 2010).abs
351.69	0.31662
356.66	0.31923
361.37	0.32120
365.94	0.32436
369.36	0.33015
373.65	0.33897
378.22	0.35121
382.07	0.36266
385.92	0.37530
388.92	0.38517
391.21	0.39544
393.20	0.40689
394.78	0.42071
396.35	0.43967
398.20	0.46296
400.34	0.48784
401.80	0.50324
403.02	0.51667
404.48	0.52930
406.00	0.53325
408.05	0.52891
409.61	0.51588
411.62	0.49613
413.76	0.47362
415.85	0.45072
417.33	0.43690
418.80	0.42439
420.50	0.42111
423.04	0.42545
425.90	0.44480
428.04	0.46612
430.04	0.48587
432.32	0.50877
434.60	0.52772
436.75	0.54036
439.46	0.55142
443.03	0.56445
445.45	0.57827
447.74	0.59327
449.74	0.61855
451.88	0.65172
453.73	0.69160
455.45	0.73701
457.59	0.78953
460.73	0.85429
461.73	0.86719
463.00	0.87167
464.30	0.86589
465.40	0.85508
467.72	0.78716
470.65	0.66514
473.15	0.54233
475.70	0.41084
480.14	0.21853
481.86	0.16601
483.14	0.13363
484.57	0.10678
486.00	0.085061
487.42	0.066107
489.14	0.051102
490.85	0.038071
493.70	0.027409
496.70	0.020696
500.13	0.015562
503.41	0.012403
508.12	0.010824
513.98	0.011614
520.26	0.012798
526.97	0.014252
534.68	0.015562
541.67	0.016747
548.09	0.019116
554.66	0.020696
560.80	0.025040
566.22	0.026224
574.08	0.025829
579.79	0.027014
584.64	0.028593
589.64	0.032147
594.78	0.038465
598.92	0.045573
604.05	0.055445
609.91	0.066502
615.76	0.079138
621.33	0.090195
627.32	0.10283
633.18	0.11310
638.17	0.12139
642.88	0.12534
647.02	0.12968
650.31	0.13995
653.02	0.15298
655.59	0.16522
658.02	0.17707
661.16	0.18734
663.58	0.19049
665.58	0.18694
667.72	0.18023
669.29	0.17549
671.58	0.17312
673.72	0.17707
676.00	0.18892
677.29	0.20708
679.57	0.25723
682.75	0.35674
686.71	0.54391
690.10	0.74056
692.71	0.88509
694.85	0.97670
695.85	0.99566
697.00	1.0000
698.13	0.99605
698.99	0.98026
701.13	0.89970
704.13	0.74254
706.27	0.60473
709.05	0.44243
711.35	0.31686
713.40	0.22209
715.83	0.14508
717.97	0.098093
719.83	0.069266
721.85	0.044784
723.90	0.027859
726.11	0.017218
728.25	0.010964
732.39	0.0054851
738.10	0.0037159
744.38	0.0033210
750.52	0.0013466
757.52	0.0013141
