Wavelength (nm)	CHL026_Chl d, Pyr (Niedzwiedzki, 2010).ems
600.25	1.9936e-05
609.62	0.00031240
621.76	0.0018744
628.89	0.0026554
634.89	0.0038269
641.03	0.0058617
647.02	0.0081224
653.45	0.011637
660.70	0.017104
666.15	0.021399
672.43	0.030381
675.72	0.040925
677.72	0.052640
679.43	0.064745
681.00	0.081146
682.86	0.10223
684.80	0.13855
687.40	0.19322
689.42	0.27054
691.99	0.36895
694.56	0.51226
696.58	0.64113
699.13	0.78132
700.61	0.87660
701.75	0.93595
702.50	0.96993
703.84	0.99569
705.00	1.00000
705.84	0.99516
706.55	0.98136
709.26	0.90862
715.00	0.67158
719.56	0.43650
722.68	0.30529
725.11	0.22797
726.82	0.19283
728.82	0.16432
730.25	0.14402
733.10	0.12410
734.82	0.10809
738.24	0.094033
742.67	0.081537
747.67	0.076460
752.08	0.075334
756.30	0.076529
761.66	0.078841
765.08	0.079975
768.77	0.077632
772.82	0.073336
776.79	0.067088
782.23	0.057326
789.10	0.045220
794.28	0.034286
800.34	0.024524
806.80	0.017104
813.76	0.012027
819.04	0.0089034
826.61	0.0069509
837.32	0.0069509
