Wavelength (nm)	CHL027_Ch f, Ace (Li, 2012).abs
351.15	0.29138
353.68	0.30694
356.41	0.32849
359.05	0.35123
360.87	0.37456
364.00	0.40869
367.75	0.44759
370.88	0.47812
374.43	0.52360
377.56	0.56610
379.69	0.59363
382.11	0.62056
384.14	0.64629
386.47	0.67323
389.30	0.71033
390.92	0.73009
392.44	0.74804
394.16	0.76420
395.75	0.77198
397.00	0.77437
398.51	0.76959
399.72	0.76121
401.04	0.74864
402.15	0.73308
403.13	0.71752
404.82	0.69238
406.40	0.67083
408.62	0.63971
410.24	0.62355
411.25	0.61278
412.47	0.60260
414.19	0.59423
416.42	0.59004
418.64	0.59063
420.56	0.59398
422.49	0.60260
423.90	0.61038
425.82	0.61697
428.05	0.62116
430.58	0.62355
432.71	0.62595
434.83	0.62714
437.16	0.62774
438.88	0.62475
440.80	0.61697
442.32	0.60799
443.63	0.59303
444.85	0.57687
446.16	0.55712
447.58	0.53437
448.49	0.51043
449.50	0.48470
450.31	0.45777
451.33	0.42305
453.24	0.37577
454.76	0.33567
456.79	0.29437
458.84	0.25068
460.93	0.20520
463.16	0.16809
464.68	0.13996
466.60	0.11363
468.42	0.094475
470.04	0.078562
471.56	0.062155
473.48	0.050185
475.20	0.039412
477.33	0.034624
479.75	0.025048
482.99	0.018465
485.72	0.014874
488.66	0.013078
491.69	0.011881
496.25	0.0094871
501.61	0.0094871
505.96	0.0076916
510.01	0.0088886
516.08	0.010684
520.93	0.011283
525.79	0.012480
530.55	0.011881
535.20	0.011881
540.36	0.013677
545.02	0.016071
549.77	0.016669
554.93	0.019662
560.40	0.021457
567.28	0.023253
572.03	0.025048
575.77	0.031632
578.20	0.039412
580.83	0.047791
583.16	0.054375
585.59	0.061557
587.82	0.069337
590.34	0.076519
592.77	0.083702
596.01	0.090285
598.54	0.095073
601.07	0.098664
604.00	0.10226
607.14	0.10345
610.28	0.10465
613.82	0.10285
617.06	0.10166
620.70	0.10166
624.34	0.10166
626.67	0.10226
629.40	0.10644
631.93	0.11542
635.07	0.12260
638.20	0.13098
640.94	0.14235
643.36	0.15014
646.10	0.15851
648.52	0.16390
651.15	0.17228
653.58	0.17886
656.21	0.18305
658.54	0.18605
661.17	0.18485
663.40	0.18245
665.42	0.18066
667.24	0.17946
669.47	0.18186
671.80	0.18904
673.72	0.20221
675.35	0.21777
676.96	0.23632
677.97	0.25547
678.88	0.28181
679.99	0.31353
680.80	0.34525
682.52	0.41647
684.24	0.49966
685.96	0.59063
687.58	0.67383
689.50	0.76480
690.15	0.80250
691.06	0.84919
692.37	0.89467
693.70	0.94076
695.17	0.98049
696.48	0.99403
698.00	1.0000
699.72	0.99403
700.63	0.97906
701.51	0.95213
702.73	0.91083
703.97	0.86714
704.88	0.82345
705.99	0.77497
706.80	0.72949
707.82	0.68221
708.73	0.63851
709.43	0.59423
710.35	0.54874
711.36	0.49547
712.57	0.43562
713.79	0.37936
714.90	0.32909
716.01	0.28959
717.53	0.24769
719.15	0.19682
720.36	0.16570
722.39	0.12859
723.70	0.10166
725.32	0.081308
726.74	0.067542
728.15	0.053776
730.28	0.042405
732.00	0.032829
734.22	0.023253
736.65	0.018465
740.29	0.013677
744.34	0.0094871
747.38	0.0076916
751.53	0.0052976
754.66	0.0045111
758.41	0.0040980
762.15	0.0040980
766.30	0.0040980
769.23	0.0040980
