Wavelength (nm)	CHL029_Ch f, C6H6 (Kobayashi, 2013).abs
352.42	0.24262
357.23	0.27904
363.58	0.32890
370.10	0.38325
375.56	0.43255
382.14	0.49474
386.56	0.54068
389.82	0.57855
391.86	0.60175
393.89	0.62528
397.07	0.65554
399.35	0.67178
400.90	0.67626
402.53	0.66842
404.40	0.65105
406.59	0.62920
409.13	0.59951
411.49	0.57486
414.18	0.55133
416.55	0.53862
419.32	0.53123
422.66	0.53732
425.83	0.54628
428.85	0.55829
431.86	0.57206
434.15	0.58574
435.82	0.59783
437.65	0.61240
439.36	0.63032
440.42	0.64209
441.49	0.65385
442.78	0.66226
444.16	0.66394
445.74	0.66120
446.65	0.65625
447.59	0.64489
449.14	0.61744
451.09	0.57430
453.21	0.51491
455.98	0.42527
458.43	0.34515
460.54	0.27792
461.99	0.23366
463.52	0.19444
465.60	0.15354
467.47	0.12329
469.51	0.099197
471.38	0.077907
473.42	0.061099
475.86	0.047653
478.31	0.040370
481.57	0.034207
485.23	0.029286
490.12	0.026924
494.93	0.026592
501.69	0.026235
509.35	0.025803
516.61	0.024122
524.59	0.022020
532.48	0.020501
540.72	0.019640
550.34	0.020244
559.06	0.021321
570.30	0.023002
574.86	0.025243
578.04	0.029725
581.38	0.037008
584.56	0.044852
587.82	0.053816
591.00	0.061099
594.58	0.068943
598.17	0.076787
601.02	0.081829
604.44	0.087432
608.27	0.089673
611.78	0.087432
616.01	0.081269
620.09	0.076227
624.32	0.074597
628.32	0.079028
631.33	0.085687
635.08	0.094715
638.83	0.10368
642.41	0.11264
645.92	0.12161
649.01	0.13001
652.44	0.13856
655.45	0.14458
658.47	0.14626
661.64	0.14458
664.41	0.14010
667.10	0.13505
669.87	0.13337
672.81	0.13729
674.35	0.14626
676.31	0.15690
678.02	0.17128
679.45	0.19369
681.21	0.23338
683.18	0.28287
686.10	0.38979
689.16	0.54246
691.71	0.69233
693.47	0.78664
694.67	0.84826
696.02	0.90943
698.02	0.97572
699.41	0.99347
700.90	1.0000
702.33	0.99393
703.64	0.96265
705.45	0.88468
708.51	0.72314
712.99	0.49343
715.49	0.36878
718.61	0.24972
720.39	0.19136
722.23	0.14250
723.52	0.11521
725.01	0.093781
726.64	0.074639
728.95	0.055030
730.71	0.041024
732.75	0.028160
735.13	0.018196
737.64	0.011147
739.81	0.0065692
742.39	0.0041152
745.38	0.0033077
748.91	0.0032060
752.65	0.0027391
755.70	0.0027391
759.42	0.0027391
