Wavelength (nm)	CHL029_Ch f, C6H6 (Kobayashi, 2016).ems
651.24	0.00082431
655.27	0.0010765
658.87	0.0014556
663.03	0.0025929
667.51	0.0041093
672.04	0.0060048
674.12	0.0071421
676.46	0.0082794
678.92	0.012070
680.93	0.018136
683.58	0.029130
685.85	0.045431
687.14	0.059837
688.56	0.076517
690.14	0.10874
691.14	0.13073
693.23	0.19290
694.74	0.24332
696.50	0.32066
698.06	0.40102
701.49	0.65654
703.29	0.76723
704.79	0.84533
706.29	0.90826
707.28	0.93568
708.26	0.96019
709.49	0.98402
710.74	0.99735
711.70	1.00000
712.71	0.99697
713.56	0.98673
714.56	0.96436
716.52	0.89992
717.99	0.83661
719.89	0.73577
722.39	0.61332
725.54	0.48935
728.14	0.40406
729.79	0.35288
732.54	0.27403
735.34	0.21413
737.09	0.18456
739.63	0.15158
742.15	0.12656
744.34	0.10912
746.37	0.098719
749.33	0.087400
751.98	0.082934
755.39	0.079171
758.54	0.076896
762.19	0.075380
766.74	0.074622
773.29	0.074096
779.39	0.072067
784.64	0.066660
790.02	0.057562
795.44	0.049222
801.66	0.038228
808.09	0.028372
814.44	0.018579
818.43	0.013999
824.29	0.0092111
829.52	0.0065301
835.45	0.0041979
841.31	0.0026041
846.36	0.0014556
850.00	0.0011284
