Wavelength (nm)	CHL032_Ch f, MeOH (Li, 2012).abs
351.58	0.31853
354.00	0.33143
356.22	0.34819
358.23	0.36366
359.95	0.37914
362.16	0.39590
364.08	0.41137
366.70	0.43587
368.81	0.45586
371.00	0.47584
372.84	0.49841
375.07	0.52484
376.77	0.54354
378.39	0.56739
379.98	0.59060
381.41	0.61124
382.92	0.63380
384.45	0.65701
385.94	0.67764
387.96	0.70472
389.87	0.73373
391.79	0.76274
393.81	0.79305
395.52	0.81884
397.63	0.84785
399.45	0.87364
401.67	0.89943
403.21	0.91490
404.21	0.92392
405.39	0.93166
406.50	0.93488
407.71	0.93102
408.92	0.92328
410.03	0.91103
411.14	0.89685
412.15	0.87815
413.05	0.85945
414.16	0.83689
415.47	0.80659
416.48	0.77951
417.59	0.74921
418.49	0.72922
419.60	0.70923
420.51	0.68860
421.82	0.66088
423.43	0.64025
424.74	0.62091
426.35	0.60221
428.37	0.58416
430.69	0.57062
433.11	0.55837
435.53	0.54547
438.45	0.53258
441.27	0.51969
443.49	0.50808
445.30	0.49454
447.21	0.48036
449.33	0.45908
452.45	0.43071
456.79	0.38365
459.61	0.35077
461.93	0.32498
464.25	0.29661
467.97	0.25277
470.80	0.22440
473.52	0.19217
476.24	0.16638
478.66	0.13995
481.52	0.11803
484.30	0.095461
486.11	0.078698
488.07	0.065159
490.55	0.049685
492.97	0.040659
495.59	0.033567
500.02	0.027120
503.75	0.020673
507.58	0.014226
512.41	0.011647
518.06	0.011647
524.51	0.011647
529.24	0.011647
532.27	0.010358
535.49	0.010358
539.42	0.0097129
544.16	0.010358
549.30	0.0097129
554.84	0.010358
558.97	0.011647
563.81	0.014326
569.15	0.015515
573.69	0.018739
577.72	0.020673
581.75	0.024541
585.58	0.029054
589.71	0.036146
593.44	0.043883
596.96	0.049685
599.79	0.054843
602.71	0.060001
605.43	0.069027
608.05	0.073540
610.77	0.080632
613.09	0.086434
615.51	0.089013
618.13	0.092882
620.44	0.096750
622.56	0.099974
626.49	0.10707
629.82	0.11222
633.95	0.12383
636.97	0.12963
640.40	0.13737
643.32	0.14188
646.24	0.15155
649.16	0.15864
652.19	0.16896
654.30	0.17541
656.52	0.18185
658.03	0.18637
660.45	0.19281
662.67	0.19539
665.49	0.19604
667.71	0.19926
669.72	0.20635
671.94	0.21473
674.36	0.23214
676.27	0.24826
678.59	0.27147
680.30	0.29403
681.81	0.32111
683.56	0.35528
685.30	0.39332
686.55	0.42878
688.36	0.48745
690.98	0.57126
693.10	0.64412
694.92	0.71697
696.93	0.79756
697.84	0.83173
699.35	0.87944
700.78	0.92070
701.53	0.94391
702.67	0.96325
703.48	0.97937
704.69	0.99033
705.80	0.99678
707.00	1.0000
708.22	0.99714
709.33	0.98517
710.33	0.96970
711.47	0.94713
712.55	0.91812
713.86	0.87686
715.07	0.83560
716.18	0.78853
717.46	0.73953
718.80	0.67893
720.01	0.62349
721.32	0.57255
722.63	0.51840
723.61	0.48100
724.84	0.44039
726.26	0.39268
727.36	0.35270
728.67	0.31402
729.78	0.28049
731.19	0.24439
732.50	0.21022
734.02	0.17798
735.43	0.14962
736.74	0.12383
738.45	0.099974
740.26	0.079987
742.08	0.061935
743.79	0.049041
745.60	0.036146
747.72	0.025831
749.63	0.017450
751.75	0.012936
753.87	0.0097129
756.19	0.0064893
759.01	0.0051845
761.73	0.0045551
765.15	0.0043152
768.68	0.0042958
771.91	0.0042521
773.93	0.0042000
778.90	0.0042000
