Wavelength (nm)	CHL033_Ch f, MeOH (Kobayashi, 2013).abs
365.81	0.41839
368.88	0.44053
371.96	0.46792
375.37	0.50347
378.19	0.53611
381.35	0.57749
384.12	0.61886
386.72	0.65500
388.86	0.68763
391.59	0.72784
394.83	0.76922
397.31	0.80710
399.53	0.83799
402.10	0.87529
403.88	0.89452
405.42	0.90676
406.70	0.90909
407.81	0.90501
409.43	0.89219
411.22	0.86771
413.44	0.82167
415.75	0.77039
418.22	0.70978
420.87	0.64975
422.32	0.62003
423.86	0.59672
425.65	0.57574
427.70	0.55825
429.66	0.54485
431.63	0.53436
434.02	0.52853
436.58	0.52445
439.31	0.51804
442.12	0.50930
445.03	0.49590
447.84	0.48074
450.83	0.45743
454.59	0.42596
457.41	0.39799
462.19	0.34904
467.05	0.29600
471.58	0.24880
477.12	0.19577
481.05	0.15963
485.32	0.12641
488.73	0.099024
491.98	0.080375
494.88	0.065223
498.12	0.052402
501.45	0.043078
505.04	0.037833
509.31	0.033753
514.68	0.028508
521.51	0.026177
528.26	0.024650
536.37	0.024429
543.62	0.024214
550.71	0.023846
556.77	0.024429
563.09	0.026177
569.06	0.027343
573.84	0.029091
578.96	0.032005
583.23	0.036667
589.38	0.043078
595.01	0.051237
601.50	0.061727
606.79	0.074548
613.28	0.085038
619.94	0.098442
627.11	0.10951
633.09	0.11942
640.17	0.13341
645.80	0.14390
651.78	0.15497
657.50	0.16604
663.65	0.18469
668.51	0.20218
672.69	0.21616
676.11	0.23190
678.50	0.24938
680.72	0.27211
683.19	0.30067
685.48	0.34088
687.89	0.39333
690.37	0.46967
693.16	0.56874
695.66	0.66840
697.95	0.76397
700.95	0.86946
703.60	0.94172
705.56	0.97844
706.93	0.99709
708.30	1.0000
709.83	0.99534
711.45	0.97494
713.67	0.92482
716.91	0.82983
720.33	0.69696
724.77	0.51863
728.27	0.39100
731.15	0.29950
733.64	0.23423
735.35	0.19343
737.14	0.15789
739.36	0.12641
741.67	0.098442
743.97	0.075130
746.02	0.057064
748.41	0.043660
751.14	0.032005
753.36	0.024429
756.27	0.017435
759.68	0.011608
763.35	0.0066475
766.94	0.0033350
769.58	0.0026062
773.00	0.0023791
776.61	0.0023791
779.61	0.0023791
