Wavelength (nm)	CHL034_Ch f, Pyr (Niedzwiedzki, 2014).ems
669.44	0.0086187
671.47	0.0095912
672.99	0.011536
674.30	0.016399
675.49	0.018020
676.76	0.020614
678.07	0.021586
679.43	0.021262
680.70	0.025152
681.97	0.032609
683.15	0.039741
684.12	0.039741
685.14	0.040389
686.45	0.047197
687.81	0.051088
689.12	0.056923
690.43	0.067297
691.87	0.080589
693.39	0.097123
694.66	0.11431
696.02	0.13797
697.41	0.16164
698.34	0.18563
699.40	0.21416
700.83	0.25954
702.58	0.32341
703.76	0.37009
705.33	0.43720
706.94	0.51728
709.64	0.64339
711.21	0.71276
712.10	0.75523
713.07	0.79705
714.13	0.83855
715.08	0.87778
715.99	0.90501
717.45	0.94488
718.91	0.97212
720.01	0.98768
721.03	0.99805
722.00	1.00000
722.98	0.99838
724.03	0.99124
725.47	0.97212
727.55	0.93257
729.45	0.87389
731.93	0.78992
734.28	0.70531
736.93	0.59994
739.10	0.51760
740.79	0.45341
742.40	0.39732
744.60	0.33832
746.59	0.28807
748.79	0.24852
750.49	0.21383
752.35	0.18433
754.38	0.16066
756.20	0.14478
757.81	0.13084
759.29	0.11852
760.64	0.11041
762.08	0.10717
763.35	0.10231
764.83	0.097123
766.15	0.090639
767.63	0.085452
769.66	0.083507
772.11	0.080265
774.53	0.077996
776.73	0.075402
778.93	0.072809
781.30	0.070215
783.41	0.067297
785.62	0.065028
787.56	0.064055
790.14	0.061462
792.56	0.061462
794.76	0.059517
796.87	0.054978
799.41	0.052709
801.95	0.048170
803.65	0.043307
805.93	0.038769
808.22	0.036823
810.63	0.035527
812.91	0.033257
815.50	0.030340
817.23	0.025152
819.60	0.021586
821.76	0.018344
823.83	0.015102
826.58	0.0092670
828.70	0.0076461
830.52	0.0063493
832.64	0.0047284
834.54	0.0034316
836.40	0.0031074
838.14	0.0030064
