Wavelength (nm)	CHL037_Phe a, 90Ace (Clementson, 2019).abs
326.60	0.25671
327.40	0.25849
328.30	0.25327
329.10	0.25278
330.00	0.24868
330.80	0.23886
331.70	0.23428
332.50	0.22959
333.40	0.22930
334.20	0.22449
335.10	0.22153
335.90	0.22305
336.80	0.22440
337.70	0.22425
338.50	0.22619
339.40	0.22743
340.20	0.23053
341.10	0.23308
341.90	0.23501
342.80	0.24229
343.60	0.24668
344.50	0.24879
345.30	0.25884
346.20	0.26333
347.00	0.27271
347.90	0.27752
348.70	0.28664
349.60	0.29355
350.50	0.30189
351.30	0.31121
352.20	0.32159
353.00	0.32959
353.90	0.33652
354.70	0.34592
355.60	0.35418
356.40	0.36583
357.30	0.37745
358.10	0.38692
359.00	0.39872
359.80	0.41043
360.70	0.42401
361.50	0.43601
362.40	0.44870
363.30	0.46215
364.10	0.47496
365.00	0.48762
365.80	0.50013
366.70	0.51074
367.50	0.52271
368.40	0.53142
369.20	0.54111
370.10	0.55060
370.90	0.55903
371.80	0.56556
372.60	0.57328
373.50	0.57985
374.30	0.58634
375.20	0.59213
376.10	0.59784
376.90	0.60572
377.80	0.61180
378.60	0.61840
379.50	0.62661
380.30	0.63332
381.20	0.64379
382.00	0.65210
382.90	0.66505
383.70	0.67905
384.60	0.69511
385.40	0.70528
386.30	0.71750
387.10	0.73221
388.00	0.74855
388.90	0.76458
389.70	0.78051
390.60	0.79597
391.40	0.81179
392.30	0.82393
393.10	0.83841
394.00	0.84917
394.80	0.86080
395.70	0.86893
396.50	0.87760
397.40	0.88410
398.20	0.89121
399.10	0.89709
399.90	0.90431
400.80	0.91021
401.70	0.91750
402.50	0.92579
403.40	0.93582
404.20	0.94682
405.10	0.95914
405.90	0.97082
406.80	0.98208
407.60	0.99140
408.50	0.99805
409.30	1.0000
410.20	0.99966
411.00	0.99178
411.90	0.97984
412.70	0.96098
413.60	0.93731
414.50	0.90590
415.30	0.86729
416.20	0.82029
417.00	0.77755
417.90	0.74799
418.70	0.70703
419.60	0.65966
420.40	0.61276
421.30	0.56539
422.10	0.51752
423.00	0.47082
423.80	0.42685
424.70	0.38245
425.50	0.34190
426.40	0.30362
427.30	0.26883
428.10	0.23651
429.00	0.20765
429.80	0.18160
430.70	0.15822
431.50	0.13654
432.40	0.11995
