Wavelength (nm)	CHL038_Phe a, C6H6 (Kobayashi, 2013).abs
350.16	0.25823
352.86	0.26875
355.03	0.28414
357.25	0.30155
359.60	0.32381
362.29	0.35013
364.81	0.37725
367.68	0.40728
370.15	0.43394
372.14	0.45453
373.72	0.46956
375.59	0.48778
377.59	0.50471
379.29	0.51531
381.04	0.52624
382.45	0.53758
384.17	0.55054
385.56	0.56471
386.79	0.57888
388.19	0.59750
389.48	0.61815
390.83	0.64365
391.94	0.66633
392.94	0.68657
393.82	0.70398
395.05	0.72624
395.93	0.74325
397.04	0.75944
398.21	0.77361
399.68	0.78738
401.20	0.80033
402.84	0.81450
404.01	0.82625
405.42	0.84082
406.57	0.85701
407.70	0.87645
408.96	0.90114
410.36	0.93758
411.75	0.96916
412.58	0.98778
413.42	0.99669
414.50	1.0000
415.85	0.99588
416.71	0.98374
417.90	0.95094
419.60	0.88333
421.65	0.79183
424.23	0.65539
426.04	0.54649
427.92	0.44082
429.27	0.37766
430.50	0.32300
431.67	0.26914
432.49	0.24163
433.66	0.20762
434.89	0.17968
435.83	0.15742
437.06	0.13798
438.29	0.12138
439.58	0.10600
440.75	0.093448
442.10	0.081707
443.91	0.069561
445.32	0.061868
446.96	0.054986
448.84	0.048215
450.36	0.045674
452.82	0.042584
455.17	0.041337
457.16	0.040729
459.21	0.040560
461.43	0.040728
463.66	0.041597
466.12	0.043245
468.70	0.045499
471.81	0.046889
474.79	0.046484
477.84	0.045519
481.12	0.044864
484.40	0.044459
487.57	0.044346
489.85	0.046484
491.84	0.053366
493.75	0.062408
495.36	0.070843
497.31	0.081302
499.17	0.090074
501.32	0.099858
503.10	0.10661
505.13	0.11133
506.88	0.11369
508.48	0.11403
510.03	0.11099
511.41	0.10424
512.74	0.094460
514.06	0.084676
515.67	0.074554
517.14	0.067132
518.65	0.060721
519.97	0.055097
521.35	0.050848
522.90	0.047901
524.66	0.045876
526.37	0.046551
528.09	0.050600
529.91	0.057685
530.91	0.062746
532.03	0.068818
533.01	0.074891
534.22	0.082651
535.08	0.088387
536.37	0.095472
537.69	0.096821
539.01	0.094460
540.13	0.088387
540.87	0.082314
541.99	0.071855
543.11	0.062408
544.38	0.054311
545.70	0.045539
546.97	0.038791
548.24	0.034068
549.66	0.029882
551.76	0.027883
554.59	0.027079
558.50	0.026983
562.40	0.026646
565.92	0.026646
568.65	0.025633
571.29	0.024284
572.51	0.023272
574.14	0.021585
575.59	0.020573
577.83	0.019673
580.47	0.018430
584.28	0.018211
587.89	0.019560
589.84	0.020573
591.75	0.022260
593.94	0.024621
595.85	0.028332
597.52	0.032381
599.48	0.039466
601.03	0.045539
602.34	0.050600
604.20	0.058697
605.90	0.065445
607.44	0.071180
609.03	0.077928
610.55	0.080627
612.30	0.081639
614.01	0.080200
615.33	0.077590
616.55	0.073879
618.26	0.069493
621.33	0.061396
623.09	0.057347
624.72	0.054311
627.33	0.049250
629.34	0.045876
631.54	0.043177
634.08	0.042503
637.40	0.044189
640.72	0.046889
643.60	0.050262
645.64	0.053636
647.70	0.060047
649.22	0.066794
650.59	0.075229
651.90	0.084338
653.47	0.099989
654.59	0.11470
655.76	0.13326
657.42	0.16396
658.74	0.19567
660.10	0.23177
661.60	0.27800
663.10	0.32287
665.14	0.38528
666.50	0.42375
667.77	0.45580
668.85	0.47975
669.63	0.48920
670.80	0.49320
671.78	0.48920
672.79	0.47672
674.12	0.44534
675.73	0.39912
677.88	0.32219
680.08	0.24696
682.23	0.17138
683.30	0.14068
683.93	0.12119
685.01	0.098846
685.84	0.084676
686.82	0.070938
687.99	0.056426
689.35	0.044205
690.67	0.036283
692.14	0.028670
693.70	0.022260
695.31	0.016861
697.26	0.012138
699.32	0.0091016
701.61	0.0074146
704.10	0.0053904
706.64	0.0040408
709.62	0.0026913
713.43	0.0023539
716.26	0.0023539
718.94	0.0023539
721.53	0.0023539
725.00	0.0023539
