Wavelength (nm)	CHL039_Phe a, Et2O (Zass, 1980).abs
300.04	0.11700
301.54	0.12231
302.68	0.12556
303.95	0.12922
305.21	0.13370
306.14	0.13860
307.11	0.14269
308.26	0.14717
309.29	0.15166
310.44	0.15573
311.58	0.16145
312.51	0.16719
313.48	0.17208
314.11	0.17700
314.91	0.17945
315.54	0.18518
316.24	0.18845
317.09	0.19047
318.01	0.19291
318.82	0.19494
319.68	0.19738
320.72	0.19818
321.92	0.19855
322.84	0.19769
323.75	0.19478
324.62	0.19270
325.65	0.19020
326.68	0.18811
328.23	0.18765
329.79	0.18678
331.39	0.18755
332.94	0.18915
333.98	0.19116
335.35	0.19482
336.55	0.19972
337.71	0.20379
338.74	0.20952
339.77	0.21483
340.75	0.22138
341.78	0.22792
342.59	0.23201
343.45	0.23528
344.89	0.24510
346.67	0.25984
347.87	0.27091
349.19	0.28196
350.28	0.29262
351.26	0.30328
352.63	0.31681
354.07	0.32910
355.10	0.34181
356.36	0.35575
357.92	0.37174
358.78	0.38445
359.70	0.39429
360.67	0.40455
361.71	0.41890
362.39	0.42751
363.20	0.43695
363.66	0.44515
364.24	0.45172
365.15	0.46237
366.36	0.47386
367.10	0.48246
367.79	0.49231
368.66	0.50133
369.51	0.50953
370.20	0.51814
371.06	0.52592
371.69	0.53371
372.62	0.53985
373.13	0.54765
373.99	0.55461
374.74	0.56075
375.37	0.56567
376.29	0.57386
377.44	0.58246
378.59	0.58983
379.67	0.59760
380.71	0.60538
381.63	0.61440
382.54	0.62506
383.81	0.63982
384.73	0.65377
385.71	0.66649
386.45	0.67757
386.91	0.68989
387.72	0.70302
388.40	0.71451
389.09	0.72888
389.72	0.73955
390.58	0.75433
391.10	0.76870
391.62	0.77896
392.43	0.79128
393.11	0.80071
393.86	0.80850
394.55	0.82040
395.40	0.83395
396.15	0.84626
396.95	0.85651
397.82	0.86429
398.62	0.87167
399.42	0.88233
399.88	0.89014
400.69	0.89792
401.60	0.90817
402.53	0.92093
403.55	0.93609
404.19	0.94547
404.71	0.95655
405.40	0.96565
405.91	0.97303
406.49	0.98166
407.18	0.98857
407.86	0.99511
408.50	1.0000
409.42	0.99842
410.27	0.99056
411.25	0.97076
412.11	0.94727
412.92	0.91847
413.49	0.89751
413.90	0.88064
414.29	0.86418
414.93	0.84319
415.39	0.82385
415.91	0.80286
416.36	0.78311
416.76	0.75390
417.28	0.73045
417.74	0.69713
418.20	0.67449
418.60	0.65762
419.00	0.63828
419.40	0.61484
419.81	0.58933
420.66	0.55682
421.24	0.52802
421.76	0.50662
422.16	0.48317
422.51	0.46218
422.96	0.42598
423.48	0.40706
424.00	0.38483
424.46	0.36549
424.92	0.34492
425.37	0.32681
425.95	0.30952
426.53	0.28401
427.15	0.26220
427.67	0.24409
428.36	0.22310
428.94	0.20293
429.56	0.18687
430.31	0.16958
431.12	0.15434
431.63	0.14446
432.26	0.13374
433.01	0.12015
433.75	0.10862
434.56	0.099543
435.54	0.090874
436.57	0.079743
437.49	0.073954
438.87	0.066100
440.18	0.059888
441.63	0.054908
443.11	0.051160
445.01	0.047398
446.67	0.045700
448.57	0.043584
450.76	0.042691
452.59	0.043044
454.72	0.043387
456.61	0.044559
458.39	0.046147
459.88	0.046511
461.38	0.048107
463.33	0.049691
465.16	0.051688
467.75	0.053249
471.77	0.053943
473.95	0.054284
476.75	0.054194
479.28	0.053703
481.06	0.050356
482.91	0.050297
484.68	0.053118
486.29	0.055945
488.01	0.057946
489.51	0.062422
490.83	0.071425
491.58	0.077573
492.72	0.082471
493.30	0.086971
493.93	0.090647
494.61	0.095564
495.19	0.099249
495.71	0.10129
496.51	0.10414
497.49	0.10822
498.46	0.10983
499.49	0.11062
500.47	0.11182
501.50	0.11426
502.60	0.11587
503.28	0.11873
504.43	0.12075
505.75	0.12070
506.85	0.11737
508.05	0.11240
509.13	0.10620
509.77	0.10042
510.46	0.095469
511.21	0.089273
511.84	0.084318
512.70	0.078947
513.44	0.073168
514.31	0.068620
515.11	0.064480
515.91	0.061164
516.83	0.057846
517.80	0.054525
519.02	0.052842
520.39	0.050330
521.54	0.048648
522.92	0.049016
523.96	0.049805
524.70	0.051837
525.50	0.054279
526.31	0.058365
526.93	0.062045
527.57	0.065721
528.03	0.068999
528.60	0.073509
529.29	0.078416
529.81	0.082509
530.21	0.086204
530.72	0.089472
531.07	0.092343
531.47	0.094380
531.99	0.096426
532.51	0.099287
533.13	0.10132
533.77	0.10131
534.46	0.10005
535.37	0.096729
536.24	0.091358
536.93	0.085579
537.61	0.078975
538.30	0.071965
538.82	0.068241
539.51	0.062465
540.20	0.058331
540.89	0.052553
541.80	0.046766
542.44	0.042634
543.36	0.038493
544.39	0.035582
545.31	0.032262
546.46	0.029758
547.55	0.029312
548.75	0.028452
550.13	0.030463
551.91	0.031229
553.69	0.032817
555.12	0.035238
556.28	0.036023
557.31	0.036813
558.46	0.038420
559.60	0.039618
560.53	0.037532
561.84	0.036257
564.26	0.035768
566.21	0.033649
567.24	0.031972
568.68	0.031104
569.76	0.030246
570.74	0.028570
572.35	0.025640
575.34	0.023489
579.01	0.022960
581.07	0.022482
582.68	0.022842
584.01	0.023211
585.21	0.023995
586.53	0.025186
587.79	0.026790
589.28	0.028799
590.55	0.029580
591.70	0.031189
592.68	0.033214
594.17	0.035222
595.60	0.038465
596.58	0.042545
597.50	0.045806
598.41	0.048244
599.16	0.050276
599.73	0.053958
600.48	0.056401
601.17	0.059668
601.86	0.064584
602.66	0.067436
603.47	0.071112
604.50	0.073547
605.36	0.075574
606.22	0.077602
607.08	0.080036
608.24	0.080415
609.61	0.082016
611.16	0.081145
612.66	0.078625
614.03	0.075290
615.35	0.072372
616.50	0.068639
617.47	0.065721
618.74	0.064044
619.83	0.060716
621.15	0.057384
622.70	0.054456
624.36	0.051936
625.80	0.049011
628.27	0.047288
