Wavelength (nm)	CHL045_Phe b, Ace (Kobayashi, 2013).abs
351.39	0.15748
353.43	0.15748
356.27	0.16004
358.75	0.16260
361.23	0.16363
363.20	0.16926
364.80	0.17336
366.11	0.18105
367.93	0.18823
369.61	0.18976
371.21	0.18618
372.74	0.17900
374.35	0.17131
375.66	0.16465
377.19	0.16158
378.57	0.15850
380.83	0.15901
382.51	0.15901
384.77	0.16363
386.88	0.16978
389.51	0.17695
392.06	0.18413
394.90	0.19233
397.01	0.20411
399.05	0.21898
400.58	0.23794
401.97	0.26049
403.06	0.28662
404.45	0.31532
405.98	0.34351
407.22	0.37016
408.31	0.39014
409.48	0.41064
410.57	0.42448
412.03	0.43319
413.48	0.43524
415.31	0.43319
417.06	0.43063
418.59	0.43319
419.97	0.44037
421.21	0.45062
422.38	0.46497
423.25	0.49008
424.42	0.52595
425.47	0.58028
426.75	0.65151
428.21	0.72736
429.45	0.80423
430.98	0.88367
432.07	0.94055
433.02	0.98463
433.60	0.99846
434.40	1.0000
435.20	0.99744
435.79	0.98155
436.95	0.93082
438.41	0.84062
439.87	0.75196
441.25	0.66996
443.04	0.58386
444.53	0.51212
445.99	0.45523
447.81	0.39219
449.34	0.33582
451.09	0.28099
452.33	0.23896
453.72	0.19591
455.46	0.15901
457.07	0.12519
458.45	0.10213
460.06	0.084704
461.53	0.069330
463.41	0.055493
465.08	0.047293
466.76	0.040118
468.66	0.034993
471.21	0.031919
474.12	0.029356
477.47	0.027794
481.56	0.026973
485.71	0.027306
489.28	0.028331
497.66	0.029869
502.40	0.031406
505.24	0.034993
507.36	0.039606
510.64	0.046781
513.40	0.053443
516.61	0.060618
519.45	0.066767
522.37	0.070355
525.58	0.070867
529.44	0.069842
533.30	0.065742
537.53	0.057030
541.46	0.049855
546.20	0.044218
551.23	0.042681
555.89	0.042168
558.96	0.040631
561.87	0.037043
565.22	0.032431
568.36	0.027306
571.42	0.022694
574.70	0.017569
577.69	0.013982
580.38	0.013982
582.93	0.017056
585.35	0.020131
587.96	0.027306
590.08	0.032943
593.28	0.041143
596.12	0.047293
598.53	0.048830
601.23	0.045243
604.21	0.040631
607.35	0.031406
610.34	0.024744
613.76	0.019220
616.09	0.016544
618.50	0.015007
621.12	0.014494
625.20	0.016032
628.41	0.018081
631.03	0.021669
633.62	0.026794
636.01	0.036189
637.41	0.043449
638.72	0.050283
640.30	0.060959
642.12	0.076334
644.25	0.097260
646.01	0.11989
647.65	0.14168
649.29	0.16516
650.87	0.18353
652.15	0.19335
653.30	0.19591
654.23	0.19292
655.61	0.18267
657.19	0.16474
658.98	0.14082
660.54	0.11691
661.92	0.097260
663.50	0.078469
665.25	0.061813
666.90	0.047720
668.48	0.037043
670.06	0.025940
672.00	0.015903
673.55	0.010921
675.53	0.0070061
678.06	0.0041590
680.59	0.0030913
682.67	0.0027354
685.04	0.0027000
687.78	0.0027000
690.00	0.0027000
