Wavelength (nm)	CHL046_Phe b, C6H6 (Kobayashi, 2013).abs
350.52	0.14971
353.60	0.15243
356.48	0.15446
359.61	0.15548
363.42	0.15853
367.23	0.16293
369.29	0.16666
371.93	0.17039
373.88	0.16802
375.54	0.16497
377.84	0.15751
379.75	0.15039
381.46	0.14632
383.41	0.14192
385.56	0.13954
387.61	0.14260
389.62	0.14822
392.16	0.15344
394.99	0.15920
397.54	0.16598
399.59	0.17244
401.45	0.18056
402.91	0.19073
404.13	0.20259
405.36	0.21581
406.92	0.23784
408.19	0.25987
409.17	0.27885
410.39	0.30156
411.32	0.32360
412.29	0.34461
413.52	0.36393
414.74	0.37918
416.26	0.39105
418.16	0.39613
420.02	0.39410
421.14	0.39037
422.76	0.38773
424.08	0.39037
425.30	0.39478
426.47	0.40393
427.60	0.41647
428.72	0.44053
430.09	0.48121
431.51	0.54527
433.07	0.63170
435.27	0.78220
436.88	0.89032
438.05	0.96828
438.89	0.99167
440.00	1.0000
441.04	0.99287
441.96	0.97032
444.02	0.86592
446.83	0.69407
448.51	0.60154
450.36	0.51883
452.04	0.45240
454.23	0.36800
456.14	0.29750
457.57	0.24360
459.36	0.18327
461.08	0.14327
462.28	0.11684
463.52	0.097515
464.89	0.080906
466.35	0.068026
467.92	0.056163
469.43	0.048028
471.19	0.040910
472.71	0.035487
475.35	0.031425
477.20	0.030402
479.40	0.029724
482.29	0.029385
485.27	0.029688
488.69	0.030700
492.01	0.032430
496.17	0.033792
500.47	0.034702
505.50	0.037520
509.88	0.042266
513.37	0.047350
516.74	0.054468
520.01	0.063959
522.58	0.070738
524.28	0.074507
526.08	0.076623
529.40	0.077856
533.18	0.076861
535.43	0.074545
537.58	0.069721
540.30	0.062603
542.80	0.056841
545.48	0.050400
548.42	0.045994
550.86	0.043960
553.69	0.044638
558.44	0.044638
562.11	0.043282
565.81	0.040055
568.80	0.033453
571.00	0.029047
573.00	0.024301
574.56	0.020664
577.21	0.017861
580.67	0.016844
584.34	0.017861
587.42	0.019982
590.16	0.023598
592.36	0.030402
594.75	0.037520
597.19	0.043960
598.65	0.047350
600.47	0.051417
601.98	0.052434
603.69	0.051417
605.55	0.047389
607.21	0.042944
609.32	0.037181
611.93	0.030063
614.08	0.025318
616.60	0.020573
619.68	0.017183
622.56	0.016166
625.64	0.016505
628.33	0.017522
630.92	0.019217
633.17	0.021929
635.22	0.024295
637.22	0.028030
638.69	0.033035
640.40	0.039614
641.67	0.045655
643.43	0.056841
644.65	0.066331
646.02	0.078533
647.34	0.093447
648.91	0.11311
650.62	0.13819
652.35	0.16225
654.04	0.18632
655.24	0.20225
656.11	0.21140
656.90	0.21410
657.85	0.21174
658.94	0.20259
660.00	0.18801
661.32	0.16836
662.88	0.14531
664.55	0.11819
666.31	0.092769
668.02	0.071754
669.63	0.053790
671.24	0.039554
673.14	0.028708
674.96	0.021391
677.01	0.014109
678.62	0.0099746
680.82	0.0063367
683.07	0.0036730
685.81	0.0022693
689.28	0.0019303
692.89	0.0017880
696.85	0.0017880
700.00	0.0017880
