Wavelength (nm)	CHL046_Phe b, C6H6 (Kobayashi, 2016).ems
620.00	0.0013269
623.33	0.0013269
627.43	0.0017521
631.80	0.0060266
635.01	0.011379
638.13	0.020801
639.83	0.031902
641.79	0.047093
643.31	0.068126
645.00	0.099091
646.87	0.15247
648.34	0.21302
650.54	0.34097
652.41	0.47243
653.84	0.60155
655.84	0.77565
657.06	0.86504
658.09	0.93165
659.19	0.98248
659.84	0.99464
660.70	1.0000
661.74	0.99358
662.48	0.97780
664.18	0.89835
666.32	0.76455
669.21	0.56415
672.02	0.41283
674.97	0.29248
676.58	0.24048
678.04	0.20075
679.70	0.17329
681.48	0.15167
683.74	0.13648
686.66	0.12714
689.60	0.12305
692.64	0.12421
696.20	0.12895
699.86	0.13442
703.87	0.14212
707.18	0.14875
710.83	0.15352
713.87	0.15167
717.79	0.14291
723.05	0.12305
727.34	0.10785
731.71	0.093833
736.79	0.075721
742.23	0.058193
747.36	0.040666
751.42	0.030149
755.24	0.023631
758.91	0.019820
762.84	0.015826
767.48	0.012321
773.04	0.010015
776.84	0.0085321
781.12	0.0073636
785.14	0.0067364
789.60	0.0063779
794.50	0.0059678
800.00	0.0056109
