Wavelength (nm)	CHL059_Chl a2, 80Ace (Schedbalkar, 1992).abs
373.11	0.39533
374.41	0.40675
376.07	0.41486
377.37	0.42136
379.41	0.43111
380.34	0.43762
382.57	0.44572
384.42	0.44730
386.64	0.44723
388.69	0.45043
391.47	0.45524
393.69	0.45681
395.73	0.46165
398.14	0.47301
400.36	0.49257
402.22	0.51051
404.26	0.53988
406.11	0.57580
407.41	0.60029
408.71	0.63132
410.01	0.65745
411.49	0.68684
413.34	0.71785
415.01	0.74887
416.68	0.77009
418.35	0.78311
419.65	0.79124
421.68	0.79936
423.36	0.80584
425.21	0.81723
426.87	0.83353
428.36	0.85475
429.66	0.87760
431.14	0.90536
432.25	0.92495
433.18	0.94291
434.48	0.96249
435.52	0.98045
436.89	0.99632
438.00	1.0000
439.30	0.99576
440.41	0.98084
441.70	0.95898
444.31	0.87712
446.00	0.80346
447.68	0.70855
448.94	0.64145
450.06	0.56944
450.98	0.50890
452.47	0.42544
454.32	0.34033
455.80	0.26504
457.47	0.20775
459.55	0.14881
461.17	0.11276
463.22	0.078345
465.07	0.053756
467.48	0.037320
470.12	0.020886
472.86	0.014246
477.86	0.0059038
482.32	0.0024862
490.29	0.0010907
497.71	0.0014769
503.27	0.0017990
508.83	0.0032511
513.84	0.0043976
518.66	0.0062002
522.73	0.0074027
528.11	0.0091610
532.19	0.010780
535.89	0.012884
539.98	0.013952
544.24	0.014876
547.58	0.015384
550.17	0.016614
553.33	0.016511
555.55	0.016437
558.52	0.017370
562.59	0.019956
568.15	0.027472
572.24	0.033881
575.94	0.038665
579.47	0.043003
582.99	0.046821
586.88	0.049755
589.66	0.051299
593.00	0.054462
595.78	0.059375
598.94	0.068986
601.35	0.078719
603.76	0.088453
605.61	0.098214
608.21	0.10795
610.10	0.11277
612.65	0.11923
615.07	0.12243
617.29	0.12399
619.52	0.12535
621.92	0.12378
623.59	0.12256
626.18	0.11715
629.15	0.10743
631.75	0.10062
633.97	0.098909
636.02	0.098842
638.43	0.10531
641.02	0.11994
643.62	0.14275
645.47	0.16887
646.96	0.19662
648.62	0.23581
650.10	0.27622
651.22	0.30890
652.70	0.36980
653.63	0.41141
655.29	0.47914
656.22	0.51851
657.48	0.57573
658.82	0.62965
659.94	0.66396
660.82	0.68520
661.60	0.69989
662.34	0.70968
663.00	0.71209
664.00	0.70947
665.31	0.69322
666.61	0.65883
668.09	0.59664
669.57	0.53935
670.69	0.48860
671.80	0.44114
673.05	0.37732
674.39	0.31838
675.88	0.25128
677.55	0.19220
678.85	0.15959
680.51	0.12683
681.81	0.10225
683.11	0.079307
684.96	0.061255
686.45	0.046486
688.30	0.030070
690.34	0.021825
692.20	0.015222
694.05	0.011890
695.90	0.010193
697.39	0.0068732
699.05	0.0068197
