Wavelength (nm)	CHL061_Chl a2, Ace (Komatsu, 2014).abs
350.73	0.22529
353.89	0.23660
357.55	0.25244
361.26	0.27280
365.42	0.29579
369.01	0.31313
371.99	0.32859
375.09	0.34216
377.94	0.35423
380.97	0.36214
384.38	0.36554
387.36	0.36365
390.76	0.36177
393.55	0.36177
395.91	0.36742
397.83	0.37722
399.38	0.39230
401.11	0.41492
403.84	0.46167
405.76	0.50503
407.87	0.55027
410.22	0.59890
412.58	0.63811
414.07	0.65809
415.68	0.67279
417.35	0.68071
419.40	0.68259
421.88	0.68712
423.55	0.69541
424.97	0.70860
426.15	0.72029
426.83	0.73499
427.76	0.75686
429.19	0.79192
431.54	0.85526
433.03	0.90125
434.64	0.94460
436.19	0.98004
437.37	0.99475
438.30	1.0000
439.54	0.99437
440.53	0.97665
442.14	0.93292
443.40	0.87788
445.18	0.78589
447.53	0.63321
450.76	0.42623
453.10	0.29089
455.22	0.19400
456.46	0.15442
457.20	0.12652
458.19	0.10428
459.56	0.081658
460.86	0.060546
462.34	0.045843
464.08	0.034533
465.69	0.026616
467.67	0.019454
470.46	0.017192
473.31	0.016438
476.60	0.016061
480.19	0.016438
483.85	0.016815
487.26	0.017192
490.61	0.017192
493.58	0.017192
496.24	0.018700
498.54	0.020962
503.74	0.022470
507.65	0.022470
511.99	0.022470
516.39	0.023978
520.54	0.026993
523.95	0.029632
526.98	0.033025
529.59	0.035242
532.56	0.037926
535.35	0.039811
538.39	0.040942
541.30	0.041132
543.96	0.039434
547.19	0.037549
550.10	0.035287
553.08	0.034156
556.42	0.033779
559.77	0.035664
563.24	0.038303
567.08	0.041319
570.61	0.045843
574.52	0.050744
578.05	0.054534
580.90	0.057153
584.25	0.058598
587.41	0.059415
590.38	0.059792
592.68	0.060546
595.16	0.065070
597.45	0.071479
599.43	0.077134
600.86	0.083166
602.10	0.088821
604.14	0.097869
606.50	0.10654
609.04	0.11483
611.83	0.12124
614.31	0.12727
617.03	0.13142
619.39	0.12765
621.43	0.12200
623.66	0.11672
625.77	0.11144
627.82	0.10428
630.11	0.097869
632.15	0.091460
634.01	0.086559
635.93	0.085051
637.98	0.088067
639.90	0.095230
641.57	0.10465
643.00	0.11596
644.55	0.12916
645.48	0.14612
646.78	0.16874
648.14	0.20192
649.69	0.24603
651.43	0.31012
652.85	0.37458
655.39	0.50050
657.69	0.62190
659.11	0.68900
660.04	0.71841
660.85	0.73085
661.90	0.73424
662.96	0.73047
663.88	0.71124
665.37	0.65469
667.73	0.53669
670.45	0.38853
672.44	0.28184
673.80	0.22077
675.04	0.17930
676.34	0.14575
677.64	0.11106
678.88	0.089198
680.18	0.068463
681.80	0.051498
683.34	0.036041
685.02	0.025863
687.19	0.017946
689.60	0.011914
692.58	0.0070126
695.74	0.0047507
700.14	0.0028657
704.29	0.0021117
709.06	0.0021117
713.59	0.0021117
718.86	0.0021117
724.43	0.0021117
728.21	0.0021117
