Wavelength (nm)	CHL063_Chl a2, C6H6 (Komatsu, 2014).abs
350.91	0.23090
354.37	0.23695
356.91	0.24647
359.80	0.26074
363.76	0.28064
366.73	0.29535
370.61	0.31049
373.72	0.32476
376.68	0.34120
379.65	0.35158
382.48	0.35677
385.23	0.35807
388.41	0.35721
391.52	0.35677
394.84	0.36067
396.95	0.36845
398.72	0.37667
400.56	0.39311
402.25	0.41258
404.16	0.44718
406.91	0.49995
409.38	0.55403
411.64	0.59988
413.83	0.63621
415.88	0.67168
417.79	0.69677
419.77	0.71624
421.53	0.72878
423.86	0.74046
425.56	0.75214
427.47	0.76901
428.81	0.78675
429.80	0.80448
430.78	0.82784
432.01	0.85553
433.89	0.89921
436.02	0.94507
438.06	0.98486
439.26	0.99697
440.40	1.0000
441.73	0.99568
442.86	0.98097
443.57	0.96107
444.91	0.91911
446.75	0.83000
447.81	0.76944
449.38	0.68077
450.56	0.59209
452.33	0.46838
453.95	0.36802
456.21	0.23955
457.62	0.18202
458.89	0.14568
460.17	0.11194
461.30	0.086852
462.48	0.066522
463.91	0.048354
465.39	0.032782
466.66	0.022400
468.78	0.014181
471.54	0.0081252
475.49	0.0050972
479.45	0.0029344
483.90	0.0021637
488.56	0.0029344
492.80	0.0039623
496.61	0.0051728
501.41	0.0067281
507.06	0.0085990
513.56	0.011153
518.93	0.013316
525.07	0.016777
531.29	0.021102
535.67	0.024563
540.33	0.026173
544.64	0.025286
548.14	0.021535
550.82	0.018939
553.68	0.015911
556.50	0.014548
558.83	0.014614
561.37	0.018074
564.48	0.021967
568.44	0.028023
572.04	0.032349
575.64	0.035451
579.10	0.037972
582.35	0.041000
585.74	0.042346
589.20	0.043124
592.52	0.043596
595.27	0.045284
597.96	0.050517
600.78	0.060898
602.69	0.068252
604.67	0.075606
606.57	0.083825
608.55	0.092546
610.81	0.10242
613.07	0.10998
615.62	0.11583
617.66	0.11886
620.28	0.11973
623.45	0.11454
625.79	0.10935
627.83	0.10459
629.46	0.099590
631.72	0.093341
633.91	0.087718
635.89	0.082815
637.93	0.082094
640.26	0.085987
642.74	0.094206
644.22	0.10459
645.56	0.11800
647.40	0.13919
649.37	0.17120
650.86	0.21273
652.48	0.26334
653.97	0.31611
656.36	0.42426
658.41	0.53456
660.13	0.62237
661.15	0.67255
662.79	0.73570
663.72	0.75960
665.20	0.76512
666.54	0.75862
667.52	0.74133
668.73	0.68509
670.63	0.58084
671.98	0.49995
673.67	0.39744
674.73	0.34510
676.14	0.27502
677.55	0.21792
679.04	0.16904
680.45	0.12838
681.30	0.10805
682.22	0.087285
683.42	0.068252
684.83	0.051382
686.52	0.036242
688.02	0.025860
690.55	0.015863
693.94	0.0089903
697.61	0.0055298
701.43	0.0042321
706.09	0.0030746
710.26	0.0024796
714.35	0.0021912
718.94	0.0020288
722.97	0.0020288
729.53	0.0020288
