Wavelength (nm)	CHL074_Phe a2, Et2O (Komatsu, 2014).abs
350.56	0.20480
353.57	0.21978
355.94	0.24167
358.36	0.26155
360.93	0.28891
364.47	0.32348
367.42	0.35027
370.18	0.37043
372.27	0.38339
374.40	0.39664
376.43	0.40932
378.85	0.42055
381.23	0.43323
383.12	0.44532
385.06	0.45800
386.70	0.47499
388.35	0.49429
389.46	0.51561
390.92	0.54211
393.29	0.59770
395.08	0.63112
397.22	0.66943
398.77	0.69766
399.93	0.71264
401.14	0.72041
402.30	0.72848
403.56	0.73597
404.87	0.74375
406.03	0.75152
406.95	0.76218
407.91	0.77889
408.99	0.80222
410.37	0.84307
411.71	0.88074
412.99	0.92222
414.27	0.95956
414.99	0.97822
415.95	0.99579
416.90	1.00000
418.00	0.99493
419.06	0.98110
420.27	0.95086
421.83	0.89901
422.87	0.84860
424.05	0.77514
425.02	0.70889
426.09	0.64610
427.25	0.57264
429.43	0.45800
431.76	0.33385
433.65	0.25953
434.81	0.21805
435.83	0.18723
437.04	0.15814
438.20	0.13365
439.94	0.10744
441.69	0.087562
443.33	0.072295
445.00	0.061638
446.87	0.050980
449.10	0.042338
451.18	0.037153
453.22	0.031680
455.40	0.028579
458.01	0.027868
461.16	0.028621
464.70	0.029376
467.94	0.030240
470.56	0.030816
474.15	0.030816
477.78	0.030528
481.41	0.030528
484.85	0.031104
487.66	0.031680
489.79	0.034561
491.92	0.039746
493.47	0.046371
495.41	0.056165
497.45	0.064806
500.11	0.081225
502.00	0.089003
503.94	0.094476
506.17	0.098220
508.25	0.099949
510.53	0.097644
512.47	0.093611
514.31	0.086986
515.95	0.079209
517.50	0.070279
519.10	0.060197
520.65	0.052996
522.54	0.044930
524.58	0.038881
526.51	0.034561
528.50	0.031392
530.44	0.030816
532.52	0.033984
534.36	0.037629
535.82	0.040397
536.93	0.044354
538.33	0.046371
539.69	0.044642
541.14	0.038773
543.13	0.031680
545.12	0.025343
547.20	0.020734
548.99	0.018718
551.37	0.018142
554.13	0.019582
556.84	0.021310
559.26	0.022750
561.73	0.022018
564.83	0.021022
568.03	0.018929
570.45	0.015837
573.07	0.013821
576.07	0.012092
579.56	0.012669
582.86	0.012957
585.76	0.013533
588.67	0.014685
591.33	0.016701
594.05	0.021022
596.23	0.025055
598.21	0.031392
599.86	0.038017
601.65	0.044930
603.49	0.051268
605.14	0.057029
607.22	0.061349
609.60	0.064257
611.49	0.063366
613.52	0.058757
615.80	0.053572
618.17	0.047523
620.35	0.042626
622.43	0.038593
624.42	0.034849
626.50	0.032544
628.97	0.030528
631.30	0.029664
633.72	0.030528
635.85	0.031104
637.94	0.031680
639.78	0.033696
641.76	0.036577
643.80	0.039746
645.64	0.045507
647.19	0.051844
648.55	0.059045
649.47	0.066822
651.21	0.082377
652.62	0.098220
653.63	0.11493
654.89	0.13682
656.15	0.16159
657.07	0.18723
658.62	0.22784
660.27	0.28200
662.14	0.33615
663.71	0.38195
665.21	0.41853
666.02	0.43003
666.80	0.43294
667.95	0.42928
668.99	0.41652
670.25	0.38339
671.95	0.32492
673.74	0.26299
675.34	0.20624
677.08	0.15036
678.05	0.12098
679.02	0.098796
680.08	0.079785
680.96	0.063654
682.07	0.050115
683.67	0.036001
685.51	0.025919
687.50	0.016125
689.87	0.010207
692.20	0.0058604
694.67	0.0044891
697.33	0.0036403
699.80	0.0031628
702.47	0.0025867
705.28	0.0025867
707.94	0.0022986
711.33	0.0022986
715.00	0.0022986
720.00	0.0022986
