Wavelength (nm)	CHL076_Phe b2, 80Ace (Schedbalkar, 1992).abs
370.24	0.29791
372.90	0.29411
375.68	0.29563
378.02	0.29791
380.75	0.30856
383.79	0.31997
386.19	0.33747
389.61	0.35876
392.91	0.38919
396.26	0.41657
400.00	0.45004
403.61	0.48351
406.61	0.51546
409.18	0.55273
412.16	0.60218
414.19	0.64401
416.34	0.67976
417.67	0.70106
419.63	0.71704
422.23	0.72464
424.38	0.72236
425.97	0.72008
427.80	0.71780
429.32	0.72388
431.03	0.73909
432.74	0.76800
434.26	0.81136
436.04	0.85624
437.70	0.89807
438.82	0.93991
440.41	0.97414
441.67	0.99468
443.00	1.0000
444.27	0.99391
445.47	0.96881
447.25	0.91937
449.59	0.82201
452.00	0.70410
453.77	0.61511
455.54	0.52763
457.19	0.45613
458.71	0.40060
460.29	0.34888
461.94	0.29715
463.78	0.24543
465.42	0.20359
467.58	0.17164
470.49	0.13437
473.15	0.10318
475.56	0.081124
478.34	0.062868
481.45	0.044613
484.04	0.033203
486.45	0.025596
489.55	0.022554
492.72	0.022133
498.61	0.021793
504.69	0.024075
512.54	0.027864
525.27	0.037767
536.16	0.044261
543.64	0.043091
548.83	0.041208
555.67	0.039288
562.32	0.037006
569.73	0.033963
575.87	0.028712
581.13	0.024075
584.42	0.021793
587.21	0.022210
589.55	0.027117
592.53	0.034724
596.27	0.045373
599.81	0.051459
603.74	0.054568
606.88	0.049937
609.94	0.040049
613.05	0.028639
615.77	0.020272
618.18	0.015708
621.03	0.010383
623.56	0.0092104
626.41	0.0081010
628.82	0.0088617
631.48	0.014186
634.14	0.021793
637.05	0.034724
639.90	0.052219
642.37	0.075039
644.71	0.10394
646.62	0.12600
648.45	0.14730
650.10	0.17088
651.62	0.19066
654.02	0.21576
655.48	0.22337
657.00	0.22717
658.58	0.22109
660.48	0.20815
662.19	0.19142
664.41	0.16784
667.01	0.13589
669.67	0.098619
672.01	0.075039
674.35	0.052980
676.51	0.037006
678.53	0.026357
680.75	0.018165
683.35	0.011904
685.50	0.0088617
687.78	0.0052101
691.45	0.0036354
694.94	0.0031537
697.98	0.0027764
