Wavelength (nm)	CHL079_Chllide b, Ace (Jeffrey, 1997).abs
348.66	0.18791
353.73	0.18269
357.20	0.18008
360.04	0.17672
362.71	0.17113
365.29	0.16480
368.13	0.15697
370.98	0.15101
373.65	0.14728
375.96	0.14542
378.63	0.14057
380.85	0.13312
383.07	0.12231
385.21	0.11076
387.78	0.095105
390.36	0.085415
392.85	0.079079
395.34	0.077588
398.01	0.081688
400.94	0.087278
403.79	0.092868
406.19	0.10032
408.77	0.10964
411.08	0.12157
413.04	0.13312
415.17	0.15362
416.95	0.17784
419.26	0.21288
421.57	0.25499
423.35	0.28741
425.04	0.31537
427.17	0.34145
428.42	0.35748
429.93	0.36978
431.44	0.37947
433.75	0.38804
436.07	0.39624
437.58	0.40444
439.18	0.41674
440.60	0.43463
442.73	0.49053
444.87	0.55240
447.36	0.64706
449.67	0.74583
451.36	0.83080
452.40	0.87925
453.85	0.93665
455.63	0.97950
456.52	0.99702
457.50	1.0000
458.56	0.99739
459.98	0.97950
462.03	0.91838
464.07	0.82782
466.47	0.67539
469.59	0.49389
471.90	0.38282
473.68	0.30791
475.54	0.24716
477.23	0.19648
479.01	0.15064
481.06	0.11523
482.57	0.086533
484.17	0.069016
486.21	0.051499
488.35	0.039201
490.48	0.031747
493.59	0.025411
496.88	0.019448
500.08	0.016466
503.46	0.014976
508.53	0.015348
514.67	0.016466
519.91	0.018330
524.53	0.022429
529.25	0.027274
533.52	0.030863
537.16	0.033844
541.07	0.035474
545.87	0.037337
552.19	0.039573
558.59	0.041809
563.57	0.044791
568.46	0.047077
573.35	0.049263
578.06	0.052245
580.82	0.056717
583.31	0.061562
585.35	0.066034
587.60	0.070817
589.75	0.074544
592.35	0.077961
594.42	0.079514
596.27	0.080211
598.70	0.078892
600.42	0.076408
602.79	0.072060
604.72	0.068643
606.65	0.063985
608.80	0.060568
610.72	0.058705
612.80	0.056531
616.06	0.055599
618.43	0.056220
620.50	0.057773
622.73	0.060879
624.50	0.066159
626.58	0.074544
627.91	0.083551
629.32	0.095042
630.80	0.10964
632.51	0.12890
633.91	0.15219
635.62	0.18263
637.40	0.22083
639.32	0.26151
641.03	0.29568
642.66	0.32456
644.60	0.34782
645.70	0.35211
646.58	0.34754
648.14	0.33232
649.77	0.30624
651.70	0.25996
653.62	0.21555
655.48	0.16648
657.40	0.12517
659.33	0.089141
660.37	0.072060
661.77	0.054357
663.30	0.042555
665.03	0.030753
666.59	0.020814
668.50	0.013050
670.74	0.0080807
673.11	0.0046644
674.67	0.0037326
676.59	0.0028009
678.89	0.0024903
