Wavelength (nm)	CHL082_Phebide a, Ace (Jeffrey, 1997).abs
351.88	0.33819
354.96	0.36472
357.65	0.39817
360.09	0.43041
362.40	0.46672
364.71	0.49937
367.02	0.52956
369.46	0.55731
372.15	0.58261
374.33	0.60342
376.77	0.62137
379.08	0.63932
382.03	0.66829
385.37	0.70991
388.06	0.75439
390.76	0.80580
393.06	0.84008
395.25	0.86986
396.66	0.88496
398.45	0.89842
400.12	0.91148
401.52	0.92290
402.59	0.93423
404.19	0.95010
405.26	0.96597
406.87	0.98495
408.35	0.99765
409.50	1.0000
410.65	0.99765
411.77	0.98977
413.19	0.96398
415.05	0.90731
416.40	0.84696
418.45	0.74398
420.16	0.64163
422.05	0.52739
423.80	0.42130
425.61	0.33323
427.30	0.26420
428.61	0.21660
430.43	0.17069
432.14	0.13805
433.53	0.11221
435.02	0.091808
436.52	0.074466
438.32	0.063755
440.10	0.054405
442.60	0.046471
445.54	0.040520
448.39	0.036553
451.33	0.034570
454.00	0.034003
456.77	0.035420
459.97	0.039103
462.38	0.042504
465.05	0.045054
467.99	0.047037
471.02	0.047037
473.96	0.046754
476.64	0.045337
479.22	0.043637
481.36	0.043354
483.41	0.045337
485.73	0.048737
487.69	0.056672
490.00	0.066306
491.96	0.077923
494.01	0.090391
497.04	0.10456
499.18	0.11193
500.78	0.11731
502.83	0.12099
504.79	0.12184
506.58	0.11844
508.54	0.10938
510.50	0.095775
512.99	0.078773
514.68	0.068006
515.84	0.062622
517.71	0.057238
520.92	0.052988
523.68	0.055538
525.73	0.062339
527.87	0.074240
529.65	0.085007
531.17	0.096058
532.42	0.10399
533.93	0.10569
535.62	0.10314
537.23	0.094358
538.74	0.082457
540.53	0.068006
542.49	0.054688
544.98	0.043354
546.85	0.038253
549.53	0.035703
552.91	0.036836
555.85	0.038253
558.94	0.039434
561.47	0.038489
564.21	0.036128
567.41	0.033295
570.90	0.030697
574.76	0.028572
576.76	0.027627
579.14	0.026919
582.33	0.028100
585.15	0.030461
587.83	0.033295
590.35	0.036600
592.80	0.043684
595.03	0.050532
596.74	0.056672
598.22	0.064228
599.78	0.071784
601.49	0.078632
603.49	0.085243
605.72	0.091383
607.80	0.093036
610.03	0.091147
612.40	0.085716
615.23	0.078632
618.05	0.069186
620.57	0.061630
623.10	0.056435
625.47	0.052657
628.07	0.051477
630.75	0.051713
633.20	0.053366
635.80	0.055727
638.69	0.060213
641.07	0.067534
643.37	0.077451
645.60	0.091855
647.60	0.11216
649.46	0.13412
651.02	0.15632
653.17	0.19504
655.25	0.24298
657.03	0.29209
658.81	0.34192
660.45	0.38820
662.16	0.43141
663.72	0.46022
664.61	0.46943
665.50	0.47179
666.46	0.46943
667.35	0.45998
668.62	0.43755
670.10	0.40071
671.59	0.35349
673.22	0.29965
674.65	0.24959
675.97	0.20567
677.30	0.16411
678.79	0.12491
680.20	0.097994
681.61	0.073201
683.10	0.055491
684.36	0.043212
685.99	0.032586
687.40	0.025502
689.04	0.020307
691.12	0.014876
693.64	0.011570
696.54	0.0087369
699.88	0.0068478
703.15	0.0054310
706.41	0.0044865
709.53	0.0035420
712.72	0.0025974
715.69	0.0019653
721.19	0.0015931
727.87	0.0015931
735.50	0.0015931
