Wavelength (nm)	CHL083_Phebide a, 90Ace (Clementson, 2019).abs
331.70	0.18653
332.50	0.19403
333.40	0.20315
334.20	0.20791
335.10	0.21369
335.90	0.21865
336.80	0.22227
337.70	0.22566
338.50	0.23161
339.40	0.23317
340.20	0.23908
341.10	0.24217
341.90	0.24852
342.80	0.25151
343.60	0.25905
344.50	0.26422
345.30	0.27007
346.20	0.27636
347.00	0.28096
347.90	0.28946
348.70	0.29918
349.60	0.30699
350.50	0.31380
351.30	0.32597
352.20	0.33494
353.00	0.34222
353.90	0.34901
354.70	0.35999
355.60	0.36849
356.40	0.37854
357.30	0.38911
358.10	0.40044
359.00	0.41259
359.80	0.42568
360.70	0.43723
361.50	0.45045
362.40	0.46294
363.30	0.47589
364.10	0.48874
365.00	0.50106
365.80	0.51273
366.70	0.52586
367.50	0.53598
368.40	0.54601
369.20	0.55550
370.10	0.56338
370.90	0.57153
371.80	0.57940
372.60	0.58659
373.50	0.59348
374.30	0.59796
375.20	0.60446
376.10	0.61030
376.90	0.61646
377.80	0.62243
378.60	0.62918
379.50	0.63629
380.30	0.64367
381.20	0.65168
382.00	0.66185
382.90	0.67372
383.70	0.68598
384.60	0.70083
385.40	0.70989
386.30	0.72270
387.10	0.73685
388.00	0.75323
388.90	0.76841
389.70	0.78467
390.60	0.79988
391.40	0.81585
392.30	0.83012
393.10	0.84301
394.00	0.85582
394.80	0.86663
395.70	0.87575
396.50	0.88305
397.40	0.89000
398.20	0.89707
399.10	0.90247
399.90	0.90859
400.80	0.91276
401.70	0.92063
402.50	0.92764
403.40	0.93722
404.20	0.94682
405.10	0.95742
405.90	0.96839
406.80	0.97951
407.60	0.98828
408.50	0.99600
409.30	1.00000
410.20	0.99928
411.00	0.99531
411.90	0.98431
412.70	0.96903
413.60	0.94807
414.50	0.91968
415.30	0.88346
416.20	0.84205
417.00	0.80502
417.90	0.77840
418.70	0.73636
419.60	0.69149
420.40	0.64530
421.30	0.59782
422.10	0.54951
423.00	0.50450
423.80	0.45764
424.70	0.41350
425.50	0.37144
426.40	0.33141
427.30	0.29555
428.10	0.26123
429.00	0.23056
429.80	0.20299
430.70	0.17877
431.50	0.15653
432.40	0.13847
433.20	0.12136
434.10	0.10785
434.90	0.095360
435.80	0.084993
436.60	0.075752
437.50	0.068270
438.30	0.061286
439.20	0.055689
440.10	0.050336
440.90	0.046705
441.80	0.043247
442.60	0.040289
443.50	0.037744
444.30	0.035485
445.20	0.033784
446.00	0.032967
446.90	0.030384
447.70	0.030325
448.60	0.029073
449.40	0.028933
450.30	0.028049
451.10	0.027887
452.00	0.027023
452.90	0.026686
453.70	0.026690
454.60	0.026392
455.40	0.026804
456.30	0.026387
457.10	0.026624
458.00	0.028295
458.80	0.028703
459.70	0.029914
460.50	0.030800
461.40	0.031752
462.20	0.032438
463.10	0.033948
463.90	0.034567
464.80	0.035599
465.70	0.036402
466.50	0.037326
467.40	0.037484
468.20	0.037969
469.10	0.038540
469.90	0.038889
470.80	0.039226
471.60	0.039460
472.50	0.039156
473.30	0.039670
474.20	0.039442
475.00	0.038867
475.90	0.039060
476.70	0.039034
477.60	0.037911
478.50	0.038136
479.30	0.037210
480.20	0.037169
481.00	0.036562
481.90	0.036207
482.70	0.036469
483.60	0.036305
484.40	0.036534
485.30	0.038174
486.10	0.038238
487.00	0.039961
487.80	0.041930
488.70	0.044844
489.50	0.047709
490.40	0.051178
491.30	0.055277
492.10	0.059740
493.00	0.063870
493.80	0.069013
494.70	0.073313
495.50	0.077674
496.40	0.082566
497.20	0.085657
498.10	0.089424
498.90	0.092694
499.80	0.095486
500.60	0.098057
501.50	0.10040
502.30	0.10282
503.20	0.10453
504.10	0.10597
504.90	0.10663
505.80	0.10667
506.60	0.10634
507.50	0.10481
508.30	0.10189
509.20	0.098680
510.00	0.094146
510.90	0.088740
511.70	0.082025
512.60	0.076177
513.40	0.072356
514.30	0.068158
515.10	0.063309
516.00	0.059595
516.90	0.055524
517.70	0.052586
518.60	0.049451
519.40	0.047865
520.30	0.046490
521.10	0.044944
522.00	0.044313
522.80	0.044399
523.70	0.045310
524.50	0.046256
525.40	0.047960
526.20	0.050725
527.10	0.054579
527.90	0.058657
528.80	0.063763
529.70	0.069095
530.50	0.074590
531.40	0.079863
532.20	0.084818
533.10	0.088838
533.90	0.092147
534.80	0.093466
535.60	0.093358
536.50	0.092314
537.30	0.088746
538.20	0.084436
539.00	0.078863
539.90	0.073106
540.70	0.067246
541.60	0.061108
542.50	0.055368
543.30	0.048940
544.20	0.043831
545.00	0.040927
545.90	0.038188
546.70	0.035473
547.60	0.033648
548.40	0.031614
549.30	0.030483
550.10	0.029479
551.00	0.028800
551.80	0.029038
552.70	0.029062
553.50	0.029504
554.40	0.029281
555.30	0.029934
556.10	0.029846
557.00	0.030428
557.80	0.030257
558.70	0.030022
559.50	0.029976
560.40	0.029763
561.20	0.028898
562.10	0.028720
562.90	0.028017
563.80	0.027579
564.60	0.026963
565.50	0.026280
566.30	0.025245
567.20	0.024455
568.10	0.023732
568.90	0.023627
569.80	0.022184
570.60	0.021541
571.50	0.020566
572.30	0.020400
573.20	0.019455
574.00	0.019263
574.90	0.018948
575.70	0.018418
576.60	0.018394
577.40	0.018288
578.30	0.018168
579.10	0.017937
580.00	0.018547
580.90	0.018539
581.70	0.018664
582.60	0.018627
583.40	0.018435
584.30	0.019233
585.10	0.020058
586.00	0.020559
586.80	0.021860
587.70	0.022916
588.50	0.023998
589.40	0.024995
590.20	0.027103
591.10	0.029156
591.90	0.031145
592.80	0.034062
593.70	0.036958
594.50	0.039772
595.40	0.042695
596.20	0.046436
597.10	0.050225
597.90	0.054154
598.80	0.057861
599.60	0.062221
600.50	0.065928
601.30	0.069775
602.20	0.073133
603.00	0.075975
603.90	0.078050
604.70	0.080378
605.60	0.082088
606.50	0.083163
607.30	0.084026
608.20	0.084438
609.00	0.084053
609.90	0.083559
610.70	0.082733
611.60	0.080983
612.40	0.078971
613.30	0.077333
614.10	0.075174
615.00	0.072744
615.80	0.069875
616.70	0.067332
617.50	0.064162
618.40	0.061771
619.30	0.058995
620.10	0.056780
621.00	0.054319
621.80	0.052270
622.70	0.049969
623.50	0.048677
624.40	0.047279
625.20	0.046305
626.10	0.045151
626.90	0.044496
627.80	0.043964
628.60	0.043916
629.50	0.043721
630.30	0.044293
631.20	0.044257
632.10	0.044623
632.90	0.045149
633.80	0.045906
634.60	0.046897
635.50	0.047856
636.30	0.048520
637.20	0.049661
638.00	0.050825
638.90	0.052928
639.70	0.055794
640.60	0.057842
641.40	0.059739
642.30	0.062999
643.10	0.066691
644.00	0.071131
644.90	0.076053
645.70	0.082280
646.60	0.088972
647.40	0.096725
648.30	0.10611
649.10	0.11647
650.00	0.12823
650.80	0.14144
651.70	0.15636
652.50	0.17320
653.40	0.19073
654.20	0.21084
655.10	0.23232
655.90	0.25463
656.80	0.27857
657.70	0.30226
658.50	0.32704
659.40	0.35089
660.20	0.37379
661.10	0.39555
661.90	0.41528
662.80	0.43139
663.60	0.44396
664.50	0.45243
665.30	0.45568
666.20	0.45548
667.00	0.44917
667.90	0.43866
668.70	0.42353
669.60	0.40440
670.50	0.38138
671.30	0.35146
672.20	0.32099
673.00	0.29883
673.90	0.27541
674.70	0.24819
675.60	0.22171
676.40	0.19545
677.30	0.17136
678.10	0.14938
679.00	0.12835
679.80	0.11026
680.70	0.094167
681.50	0.079819
682.40	0.067583
683.30	0.056960
684.10	0.048365
685.00	0.040225
685.80	0.033651
686.70	0.029184
687.50	0.024201
688.40	0.020596
689.20	0.017986
690.10	0.014732
690.90	0.013033
691.80	0.011022
692.60	0.0097369
693.50	0.0085897
