Wavelength (nm)	CHL085_Phebide b, Ace (Jeffrey, 1997).abs
351.06	0.17401
353.69	0.17110
355.98	0.16791
358.17	0.16906
360.80	0.17283
363.43	0.17631
365.80	0.18036
367.56	0.18442
369.66	0.18790
371.24	0.18906
373.01	0.18770
374.75	0.18354
376.59	0.17918
378.00	0.17512
379.52	0.17173
381.16	0.16756
382.91	0.16640
385.02	0.16843
387.34	0.17195
389.46	0.17654
391.66	0.18016
393.63	0.18451
395.31	0.19055
396.99	0.19805
398.60	0.20626
399.92	0.21642
401.60	0.23624
403.28	0.25800
405.40	0.29281
407.89	0.34262
410.30	0.39097
411.69	0.41732
413.01	0.42965
414.25	0.43714
416.01	0.44101
417.98	0.44125
419.73	0.44366
421.27	0.45091
423.32	0.47678
425.07	0.51619
426.66	0.57760
429.17	0.70865
430.85	0.82084
432.42	0.91659
433.77	0.98404
434.29	0.99758
434.90	1.00000
435.75	0.99831
436.44	0.98331
438.23	0.91875
439.99	0.83436
441.96	0.72627
445.14	0.57829
448.10	0.45279
451.59	0.31568
454.16	0.22950
456.70	0.16073
458.55	0.12475
460.04	0.097472
461.88	0.073095
463.20	0.060326
465.21	0.049295
467.06	0.040877
469.34	0.036230
471.62	0.033614
474.51	0.032447
478.11	0.032149
482.24	0.033591
486.18	0.035614
490.75	0.037055
495.57	0.037625
498.91	0.038489
501.89	0.040804
505.22	0.043408
507.94	0.048045
511.10	0.053841
514.26	0.062539
517.24	0.068916
519.96	0.073843
522.68	0.077029
525.84	0.078764
528.83	0.078177
531.55	0.074980
534.18	0.071492
536.37	0.068006
538.48	0.063069
541.55	0.057549
543.65	0.053483
546.37	0.050576
549.53	0.049989
553.31	0.049981
556.55	0.049394
559.62	0.047356
563.05	0.042996
566.12	0.037477
569.71	0.031376
572.08	0.026439
575.24	0.022660
578.05	0.020913
580.77	0.021488
582.96	0.023804
584.98	0.026412
587.17	0.029889
590.25	0.037716
592.35	0.043225
594.46	0.048153
596.74	0.051630
598.49	0.052497
600.51	0.051332
602.60	0.049152
604.36	0.045763
606.26	0.040923
608.01	0.036083
609.99	0.031969
612.18	0.027612
614.23	0.023013
616.42	0.020349
618.91	0.018409
621.91	0.018161
624.39	0.019123
627.10	0.020085
629.44	0.021772
631.78	0.024669
633.82	0.029501
635.43	0.035300
637.04	0.040858
638.65	0.049559
640.40	0.060678
642.01	0.074457
644.21	0.096698
646.77	0.12788
648.45	0.15109
649.84	0.16826
651.37	0.18373
652.41	0.19098
653.50	0.19243
654.52	0.19073
655.83	0.18299
657.51	0.16437
659.49	0.13850
661.97	0.10198
664.68	0.066914
666.51	0.046116
667.76	0.036925
669.07	0.028943
670.31	0.023621
671.77	0.018298
673.16	0.013943
675.06	0.0091031
677.48	0.0054711
679.89	0.0037734
682.96	0.0031328
686.10	0.0027932
689.69	0.0025438
694.07	0.0022928
698.26	0.0022900
