Wavelength (nm)	CHL086_Phebide a EE, Et2O (Holt, 1954a).abs
379.53	0.61013
382.80	0.65098
385.88	0.69390
388.49	0.73578
391.70	0.78955
393.72	0.82006
396.08	0.85057
398.04	0.87280
399.80	0.89141
402.35	0.92502
404.12	0.95294
405.69	0.98190
406.67	0.99689
407.50	1.00000
408.63	0.99638
409.68	0.98087
411.31	0.93640
413.40	0.84488
416.48	0.70424
419.16	0.57807
422.10	0.44002
424.33	0.33195
426.03	0.25905
428.18	0.18563
429.56	0.14943
431.39	0.10962
433.41	0.076008
435.77	0.053774
438.19	0.040331
441.13	0.028438
443.81	0.022234
446.75	0.017858
449.96	0.016546
454.08	0.018614
458.26	0.022751
462.25	0.026370
466.83	0.030507
470.82	0.032058
473.89	0.032154
476.64	0.031252
479.06	0.027404
481.08	0.025853
483.83	0.028955
486.97	0.035677
490.11	0.047570
492.72	0.062047
495.27	0.076525
498.28	0.088935
501.16	0.097208
503.90	0.10083
505.67	0.10186
507.37	0.099793
509.07	0.089969
511.10	0.072906
513.58	0.053774
515.94	0.039814
518.29	0.030507
520.25	0.026887
522.41	0.027921
524.57	0.034643
526.73	0.042399
528.75	0.055843
530.32	0.069803
531.89	0.078593
533.66	0.082213
535.36	0.079110
536.67	0.070837
538.30	0.052740
539.93	0.037745
541.96	0.024302
544.18	0.014478
546.67	0.0098242
550.14	0.0093071
553.08	0.0093071
556.22	0.010858
560.14	0.014255
562.82	0.013961
566.16	0.011375
568.90	0.0082730
571.84	0.0051706
574.72	0.0031024
577.53	0.0020682
580.74	0.0015512
583.68	0.0025853
586.30	0.0036194
589.30	0.0077559
592.12	0.013961
595.06	0.022751
597.80	0.033609
600.88	0.046018
602.97	0.053257
605.46	0.058945
607.68	0.062564
609.90	0.061530
612.78	0.057394
615.79	0.050155
618.60	0.041882
622.46	0.033609
625.53	0.027921
628.60	0.025336
631.94	0.024302
635.14	0.026887
638.61	0.029473
641.16	0.034126
643.51	0.040848
645.87	0.049638
647.70	0.058945
649.53	0.072906
651.29	0.088418
652.73	0.10600
654.11	0.12875
655.35	0.15253
656.66	0.18356
657.77	0.21200
659.14	0.25543
660.58	0.30403
662.21	0.35884
663.46	0.40434
664.37	0.43175
665.16	0.45295
666.07	0.47001
667.00	0.47415
667.88	0.46897
668.70	0.45760
669.82	0.43123
671.38	0.37539
673.13	0.29938
674.70	0.23785
676.01	0.19390
677.32	0.15874
678.82	0.12306
680.65	0.088418
682.42	0.057394
684.32	0.031024
685.82	0.015512
687.85	1.0000e-04
