Wavelength (nm)	CHL090_3-CH2OH Chl a, aq (Tomo, 2006).abs
400.44	0.63679
402.09	0.66340
403.46	0.69034
404.97	0.71696
406.55	0.74195
407.70	0.75948
408.99	0.77603
410.36	0.79129
411.72	0.80265
413.23	0.80719
414.74	0.80557
416.25	0.80168
417.76	0.79940
419.27	0.80168
420.27	0.80849
421.57	0.82083
422.64	0.83706
423.94	0.86432
425.02	0.89029
426.17	0.91723
427.82	0.95813
429.11	0.98474
429.90	0.99708
431.00	1.00000
431.63	0.99643
432.63	0.98215
433.93	0.93833
435.37	0.86205
437.81	0.68190
439.53	0.54103
441.62	0.40049
443.72	0.28402
445.53	0.21352
446.99	0.16250
448.55	0.12861
449.84	0.10291
451.48	0.079145
453.12	0.060839
455.62	0.042921
459.24	0.029289
462.86	0.022278
467.86	0.017603
472.00	0.014487
476.14	0.011761
480.71	0.011371
484.77	0.011761
489.77	0.012929
493.91	0.012929
498.74	0.012929
504.17	0.012540
509.69	0.012540
514.18	0.012929
519.52	0.016045
523.92	0.018772
529.18	0.021888
533.32	0.024225
537.12	0.026173
541.26	0.025004
545.31	0.024225
548.33	0.023836
551.69	0.024615
555.23	0.028510
559.11	0.034352
562.13	0.041753
565.58	0.051490
568.56	0.060059
571.36	0.067460
574.46	0.074471
577.71	0.081482
580.93	0.087325
583.52	0.088493
586.45	0.088883
589.12	0.087325
591.36	0.085767
593.52	0.088883
595.76	0.093946
598.18	0.10329
600.76	0.11576
603.18	0.12822
606.11	0.14302
608.61	0.15432
611.20	0.16250
613.44	0.16678
616.20	0.16990
619.31	0.17029
621.89	0.16678
624.57	0.16094
626.90	0.15354
629.31	0.14575
631.55	0.13757
634.05	0.13056
635.78	0.12666
637.16	0.12589
638.88	0.12783
640.61	0.13368
642.16	0.14458
643.45	0.15705
644.75	0.17379
646.30	0.19522
647.85	0.22833
649.49	0.27585
650.78	0.32804
652.51	0.40594
653.98	0.50137
655.36	0.60576
656.74	0.71014
657.60	0.77402
658.29	0.81998
659.15	0.87179
660.44	0.91970
661.22	0.94034
662.00	0.94501
662.69	0.93917
663.63	0.91970
664.81	0.87140
666.14	0.80129
667.52	0.69885
669.84	0.52902
671.31	0.42113
673.12	0.32492
674.67	0.24819
676.57	0.17535
677.86	0.13445
679.24	0.10329
680.28	0.082651
681.57	0.064734
683.38	0.044479
685.11	0.030847
687.44	0.019161
690.97	0.0094239
694.68	0.0043603
698.13	0.0021239
702.53	0.00077384
707.10	0.00055644
711.50	0.00046524
720.21	0.00046524
