Wavelength (nm)	CHL091_3-CH2OH Chl a, MeOH (Sawicki, 2019).abs
370.24	0.57874
371.89	0.58179
373.32	0.58458
375.19	0.59033
376.73	0.59861
379.21	0.61019
381.19	0.61806
382.84	0.62317
384.99	0.63006
386.91	0.63254
388.73	0.63585
390.54	0.64162
392.75	0.65654
394.56	0.66978
396.15	0.68426
398.16	0.70620
399.91	0.72854
401.08	0.74716
402.46	0.76785
403.97	0.79434
404.94	0.81586
405.99	0.83986
407.05	0.86055
408.38	0.87958
409.81	0.89531
411.40	0.90524
412.61	0.90979
413.88	0.90565
414.98	0.89965
416.02	0.89413
417.29	0.89158
419.16	0.89282
420.49	0.89903
421.85	0.90581
422.75	0.91310
424.17	0.92469
425.16	0.93255
425.98	0.93834
426.86	0.94184
427.85	0.94418
429.00	0.94536
430.11	0.94041
430.87	0.93019
431.70	0.91476
433.14	0.88206
434.67	0.83903
436.05	0.78441
437.87	0.68840
439.63	0.59033
442.15	0.44550
444.19	0.34412
446.17	0.25639
448.11	0.19432
449.37	0.15666
451.13	0.11818
452.83	0.090452
454.50	0.071003
456.35	0.058175
458.14	0.049071
460.21	0.039140
462.46	0.033346
464.94	0.030036
467.19	0.028930
470.44	0.028038
474.13	0.027967
479.13	0.030864
483.37	0.033346
487.06	0.035002
491.90	0.037898
496.19	0.038726
500.87	0.039873
505.05	0.041209
509.29	0.043410
513.80	0.045347
517.60	0.047830
521.67	0.049866
525.14	0.052382
529.37	0.054864
533.11	0.059002
537.27	0.061823
541.55	0.063141
546.87	0.064397
550.89	0.068769
554.02	0.074727
557.44	0.083417
560.63	0.090038
564.70	0.097073
567.83	0.10411
572.51	0.11156
577.08	0.11983
582.42	0.12853
585.77	0.13473
588.52	0.14342
590.56	0.15376
592.54	0.16576
595.13	0.17983
597.27	0.19266
599.72	0.20301
602.39	0.21087
604.32	0.21686
606.35	0.22784
607.89	0.23487
609.38	0.24273
611.69	0.24569
614.11	0.24273
616.53	0.23570
618.84	0.22908
621.37	0.22246
623.41	0.21625
625.50	0.21128
627.70	0.20921
630.18	0.20632
632.27	0.20673
634.47	0.21087
635.96	0.21459
637.55	0.22618
639.04	0.23818
640.30	0.25473
641.79	0.27708
643.11	0.31018
644.87	0.35736
646.47	0.42564
648.56	0.52660
650.76	0.67682
652.45	0.79310
654.60	0.91600
656.15	0.98179
656.97	0.99628
658.00	1.00000
658.90	0.99669
659.73	0.97641
660.83	0.93048
663.25	0.79061
665.28	0.63047
667.48	0.48647
668.92	0.38260
670.73	0.28577
672.22	0.22328
674.09	0.15832
675.13	0.12728
676.62	0.097900
677.83	0.078451
680.03	0.052382
682.01	0.032754
683.29	0.023851
685.36	0.015422
687.69	0.010998
690.76	0.0076600
695.49	0.0049934
699.51	0.0033126
705.52	0.0023212
708.70	0.0020675
712.82	0.0020675
716.51	0.0020675
720.00	0.0020675
