Wavelength (nm)	CHL102_3-CHO-7-CH2OH Chl a, MeOH (Sawicki, 2019).abs
370.24	0.45685
372.50	0.46086
374.45	0.46871
376.12	0.47688
377.93	0.48809
379.74	0.49851
381.96	0.50892
383.63	0.51421
385.87	0.52495
386.95	0.53536
388.38	0.55539
390.38	0.58503
392.32	0.61147
393.85	0.63630
395.84	0.67235
397.38	0.68918
398.87	0.69959
400.50	0.70360
402.13	0.69959
403.99	0.68357
405.98	0.65713
407.79	0.63390
409.42	0.60906
411.09	0.58183
412.81	0.55699
414.62	0.53937
416.11	0.52758
417.65	0.51920
418.96	0.51613
420.59	0.52254
422.31	0.53136
424.99	0.55539
427.42	0.57862
431.00	0.62348
434.84	0.66995
438.82	0.71321
442.89	0.75647
446.38	0.79801
450.00	0.84539
452.68	0.88224
455.43	0.91823
457.05	0.93432
458.68	0.94186
460.00	0.94473
461.44	0.93992
462.57	0.92871
463.59	0.91349
464.73	0.89106
465.62	0.86622
467.28	0.81655
469.54	0.74045
472.16	0.63149
474.47	0.53696
476.96	0.44243
478.90	0.37514
481.66	0.28782
484.15	0.21812
486.19	0.17486
488.09	0.13400
489.78	0.10756
491.53	0.088337
493.61	0.070713
496.10	0.054069
498.45	0.040270
500.71	0.029856
503.24	0.025049
506.86	0.019844
510.80	0.018640
515.46	0.017839
520.03	0.018640
524.60	0.020242
529.71	0.021845
534.37	0.024248
538.76	0.025049
543.33	0.026651
548.39	0.029055
556.04	0.038668
559.79	0.042674
563.59	0.044276
568.07	0.045878
572.46	0.045077
576.76	0.046679
579.88	0.049884
583.36	0.054691
587.16	0.058696
590.74	0.065906
594.72	0.073116
598.66	0.079472
601.73	0.085934
604.54	0.093945
607.16	0.10035
609.78	0.10678
612.09	0.11277
614.26	0.12118
616.57	0.13000
619.10	0.14041
621.41	0.14922
623.94	0.15964
626.07	0.16892
628.38	0.17886
630.78	0.18582
633.44	0.19088
636.20	0.19589
639.05	0.19969
641.63	0.20443
644.03	0.21085
645.80	0.21732
647.79	0.22430
649.96	0.23334
652.13	0.24215
654.07	0.25096
656.07	0.26058
658.24	0.26779
660.50	0.27259
662.49	0.27900
664.39	0.28942
666.02	0.30143
667.56	0.32146
669.05	0.34630
670.63	0.37994
672.49	0.42801
674.21	0.48169
676.24	0.55699
678.14	0.62829
679.68	0.70039
681.54	0.78050
683.95	0.87263
686.47	0.95114
687.96	0.98479
689.14	0.99680
690.00	1.0000
691.13	0.99520
692.98	0.97197
694.61	0.93992
696.74	0.88064
698.82	0.80213
700.76	0.71882
702.93	0.61788
705.38	0.50812
707.05	0.43122
708.18	0.38235
709.67	0.32707
711.67	0.26458
713.20	0.22132
714.83	0.18447
716.64	0.14442
718.59	0.10837
720.17	0.081928
722.21	0.058696
724.42	0.041072
726.59	0.029856
728.90	0.020242
731.21	0.013032
733.74	0.0068624
736.77	0.0035419
739.71	0.0027610
742.56	0.0026179
745.73	0.0026179
750.00	0.0026179
