Wavelength (nm)	CHL103_8-CHO Chl a, MeOH (Loughlin, 2014).abs
378.85	0.18662
383.06	0.18738
386.96	0.18815
391.06	0.18891
395.82	0.18935
399.49	0.19027
403.06	0.19119
406.19	0.19395
408.89	0.19688
412.25	0.20566
415.24	0.21477
417.04	0.22535
418.69	0.23841
420.49	0.25443
422.15	0.27188
423.57	0.28933
425.22	0.30731
426.65	0.33110
428.23	0.35648
429.95	0.38504
431.90	0.41306
434.98	0.45628
437.53	0.49291
440.76	0.53098
443.69	0.55953
445.41	0.58174
448.04	0.61664
450.07	0.65207
451.69	0.68749
453.97	0.75042
455.84	0.80224
459.14	0.90006
461.47	0.95770
463.50	0.99630
465.00	1.00000
466.35	0.99682
467.78	0.97197
469.20	0.92544
472.26	0.80911
474.68	0.69278
477.76	0.51406
480.16	0.37711
482.19	0.29145
485.10	0.19309
486.98	0.14921
488.94	0.11038
490.82	0.080467
492.09	0.063017
493.07	0.051384
494.50	0.042130
496.37	0.034992
498.75	0.027590
501.27	0.021236
503.62	0.017954
507.48	0.015743
512.06	0.015428
518.59	0.016813
525.42	0.019129
534.50	0.023641
543.81	0.028647
550.11	0.031820
555.89	0.033288
560.99	0.034464
566.77	0.034946
572.93	0.035245
579.08	0.036050
584.33	0.036858
590.26	0.039403
594.00	0.042420
597.32	0.046715
604.00	0.059316
608.58	0.068834
612.89	0.079409
616.38	0.087869
619.83	0.094215
622.76	0.098658
625.99	0.10100
629.37	0.10215
632.74	0.10432
636.65	0.10796
639.80	0.11219
642.68	0.11796
644.98	0.12435
647.60	0.13493
649.93	0.14656
652.18	0.16401
654.36	0.18252
657.06	0.21107
659.91	0.24809
662.16	0.28246
664.26	0.32106
667.59	0.37341
670.57	0.40830
673.27	0.42734
675.00	0.43051
676.95	0.42575
679.35	0.41042
681.15	0.38187
683.55	0.34538
686.93	0.28404
689.78	0.22641
692.63	0.17353
695.41	0.13863
698.56	0.10056
700.59	0.080467
703.14	0.061431
705.84	0.044510
708.70	0.030233
712.25	0.019658
716.32	0.011735
720.33	0.0070660
724.16	0.0043237
728.13	0.0023968
732.26	0.0014763
736.39	0.0011511
740.14	0.00095643
744.59	0.00095643
749.60	0.00095643
