Wavelength (nm)	CHL104_3,8-di-CHO Chl a, MeOH (Loughlin, 2014).abs
380.00	0.16249
384.24	0.16430
389.03	0.16340
395.63	0.16068
399.73	0.16219
403.40	0.16596
405.88	0.17123
408.25	0.17349
411.06	0.17123
413.65	0.16747
416.67	0.15842
420.01	0.14938
423.36	0.14034
425.73	0.13507
428.54	0.13281
431.34	0.13582
432.93	0.13985
434.68	0.14562
437.60	0.16144
441.26	0.19384
445.90	0.24658
449.03	0.28952
451.73	0.32870
454.53	0.35884
457.23	0.38370
460.04	0.40555
462.62	0.42815
465.00	0.45000
466.94	0.47788
469.85	0.53363
472.44	0.59616
475.79	0.69185
478.48	0.80034
480.42	0.87192
481.72	0.91788
483.01	0.95253
484.20	0.97363
485.82	0.99472
487.00	1.00000
488.41	0.99548
489.70	0.97589
492.94	0.88397
496.61	0.73329
500.81	0.52308
503.83	0.39575
505.56	0.32041
507.93	0.24808
510.63	0.18027
512.68	0.13658
514.62	0.10795
516.56	0.087603
519.15	0.067260
521.74	0.051438
525.52	0.040386
530.05	0.035617
535.55	0.033136
541.70	0.032520
548.06	0.033043
554.00	0.034579
557.63	0.036249
561.87	0.038404
564.87	0.040485
568.13	0.043288
571.90	0.047851
575.43	0.049504
578.85	0.048579
581.94	0.046527
585.52	0.046888
590.35	0.047851
596.39	0.050131
602.43	0.053452
607.72	0.058959
610.82	0.063758
614.22	0.072688
616.85	0.077856
619.49	0.082500
622.28	0.086710
625.96	0.089004
630.22	0.089703
633.20	0.089288
636.63	0.087836
642.13	0.086459
647.85	0.087153
652.38	0.092877
655.99	0.10192
660.04	0.12000
663.60	0.14110
667.70	0.17877
671.60	0.23452
676.22	0.30233
680.80	0.37800
682.98	0.40646
685.00	0.42589
687.00	0.43041
689.60	0.42062
691.65	0.39952
694.02	0.36335
696.93	0.30610
699.85	0.24356
703.84	0.16747
706.64	0.12151
708.80	0.092123
711.07	0.072534
713.87	0.052192
717.21	0.033356
720.99	0.022055
725.41	0.014521
731.02	0.010000
736.42	0.0077398
747.31	0.0039727
753.03	0.0029856
760.80	0.0023380
767.59	0.0023380
770.00	0.0023380
