Wavelength (nm)	CHL105_7-CH2OH Chllide a, Ace (Scheumann, 1999a).abs
352.09	0.27824
355.33	0.28152
358.06	0.28755
361.04	0.29412
363.65	0.30288
365.61	0.32259
367.19	0.34012
369.38	0.36038
371.14	0.37517
373.07	0.38995
375.35	0.40090
378.16	0.41076
380.71	0.41459
383.87	0.41788
386.76	0.41405
389.14	0.41131
391.86	0.40693
394.67	0.40857
396.16	0.41897
397.74	0.43267
399.14	0.45238
401.07	0.48414
403.18	0.52521
405.03	0.56464
406.87	0.60516
408.80	0.63693
410.56	0.66212
411.43	0.67088
413.19	0.67362
415.39	0.67143
416.53	0.66540
417.84	0.65774
419.25	0.65445
421.00	0.66102
422.15	0.67088
423.46	0.69059
424.69	0.72290
425.83	0.76233
427.24	0.80997
429.15	0.88555
430.58	0.94195
431.80	0.97590
433.03	0.99562
434.00	1.00000
435.05	0.99452
436.02	0.97645
437.07	0.94524
438.50	0.88609
439.88	0.80997
441.20	0.71305
442.51	0.62269
444.09	0.50933
445.76	0.39159
447.69	0.28919
449.62	0.22731
451.20	0.18843
453.31	0.15228
454.89	0.13147
457.09	0.11559
460.51	0.10300
466.04	0.090404
470.61	0.084380
473.86	0.078356
477.63	0.069046
481.05	0.060832
486.32	0.054261
492.47	0.048785
500.37	0.043856
507.39	0.039475
513.19	0.039567
518.72	0.042451
523.19	0.045148
527.58	0.049793
531.62	0.051780
535.75	0.054841
539.44	0.054261
543.65	0.052070
547.43	0.048777
551.46	0.048785
555.50	0.049880
559.37	0.053713
562.88	0.057546
566.83	0.061380
570.69	0.066646
574.38	0.076713
577.80	0.083832
581.49	0.089308
584.56	0.090404
588.07	0.088761
591.06	0.087118
593.78	0.085475
596.33	0.087666
599.14	0.096427
601.86	0.10574
604.14	0.11833
606.86	0.13147
609.58	0.14111
612.83	0.14724
615.03	0.14955
617.84	0.15119
620.03	0.15274
622.01	0.15000
624.27	0.14544
626.47	0.13814
628.44	0.12810
630.20	0.12125
631.81	0.11715
633.78	0.11349
636.13	0.11441
638.47	0.12034
640.37	0.13038
641.83	0.14133
643.30	0.15685
644.90	0.17601
646.66	0.20887
648.64	0.25633
650.68	0.32205
652.34	0.38721
654.18	0.45895
655.67	0.52193
656.82	0.57395
657.78	0.61447
658.92	0.64076
659.83	0.65472
660.94	0.66486
662.00	0.66978
663.14	0.66431
664.07	0.65427
665.17	0.63510
666.78	0.58445
668.46	0.50595
670.36	0.40830
672.12	0.32980
674.10	0.24812
676.14	0.18286
677.75	0.13722
679.44	0.10026
680.97	0.073336
682.51	0.054170
684.92	0.037741
686.73	0.027245
688.95	0.016749
691.07	0.011729
693.78	0.0067092
696.48	0.0035148
699.34	0.0021458
701.90	0.0019016
704.90	0.0016441
707.73	0.0016441
