Wavelength (nm)	CHL107_20-Cl Chl a, Ace (Dšrnemann, 1981).abs
339.73	0.21957
344.33	0.22787
348.78	0.23862
352.38	0.25153
355.83	0.26535
359.71	0.28594
364.30	0.31482
368.04	0.33725
371.63	0.36122
375.51	0.38242
379.83	0.40515
383.27	0.42482
386.87	0.44049
390.17	0.44848
393.91	0.45493
396.64	0.46322
398.51	0.47459
400.81	0.49579
403.39	0.52898
406.13	0.57629
408.71	0.61562
409.86	0.63682
411.16	0.64758
412.59	0.65802
414.75	0.66724
417.05	0.67308
419.49	0.68045
420.93	0.69213
422.94	0.71947
424.66	0.76218
426.39	0.81687
428.50	0.89184
429.82	0.94223
430.99	0.97972
431.85	0.99569
433.00	1.00000
434.29	0.99569
435.57	0.97081
436.59	0.92779
438.10	0.84852
439.61	0.76372
440.76	0.70104
442.05	0.62545
443.20	0.55018
444.78	0.44970
445.82	0.38918
447.68	0.30622
449.38	0.24446
451.25	0.18239
452.98	0.14307
454.27	0.12217
456.14	0.10343
457.43	0.090832
459.44	0.081000
461.60	0.071168
465.19	0.063794
468.35	0.059185
472.09	0.057034
477.41	0.055181
482.58	0.053961
487.90	0.052425
493.65	0.053654
499.11	0.055805
504.71	0.056112
510.17	0.055805
515.78	0.053347
521.81	0.051811
527.28	0.053212
532.16	0.055498
537.48	0.056727
543.52	0.056419
550.27	0.055498
556.88	0.053961
562.34	0.052425
567.23	0.054269
571.40	0.059799
574.99	0.063794
578.87	0.067173
581.89	0.073933
585.62	0.079771
590.22	0.083765
593.82	0.082229
596.83	0.078849
598.85	0.076698
601.43	0.075162
604.31	0.076698
607.18	0.080693
610.77	0.088681
614.94	0.098513
618.82	0.10957
621.98	0.11818
625.43	0.12709
628.02	0.13108
630.32	0.12832
633.19	0.12156
635.35	0.11449
637.65	0.10681
639.66	0.10005
641.67	0.094826
643.68	0.091754
646.13	0.092983
648.57	0.097592
650.73	0.10712
652.31	0.12279
655.04	0.15198
657.34	0.19837
660.25	0.27887
662.37	0.35999
664.24	0.44233
666.25	0.51761
667.54	0.56277
669.41	0.60517
670.70	0.62177
672.00	0.62484
673.29	0.62146
674.44	0.60087
676.02	0.54649
678.18	0.46875
680.19	0.38211
682.20	0.30929
684.21	0.23708
686.08	0.16826
687.52	0.13415
688.52	0.11480
689.96	0.096977
691.54	0.079156
693.41	0.062257
695.57	0.047509
698.15	0.032146
701.17	0.021393
705.63	0.012848
710.22	0.0084879
715.68	0.0063371
721.86	0.0048008
728.62	0.0038419
735.09	0.0032957
740.12	0.0026501
