Wavelength (nm)	CHL107_20-Cl Chl a, Ace (Leupold, 1990).ems
640.10	0.0023664
641.87	0.0084390
643.55	0.019717
645.03	0.028392
646.55	0.042272
648.32	0.059622
650.10	0.079575
651.47	0.10126
652.95	0.12729
654.03	0.15852
655.17	0.20016
656.50	0.25394
657.73	0.30947
659.35	0.39535
660.48	0.47342
662.01	0.56278
663.04	0.63565
664.32	0.70939
665.62	0.78833
666.59	0.84645
667.57	0.90111
668.41	0.94535
669.44	0.97918
670.33	0.99653
670.87	1.0000
671.81	0.99567
672.89	0.98005
674.12	0.94535
675.55	0.87768
678.26	0.74409
681.60	0.58967
683.97	0.48383
686.18	0.37973
688.64	0.29472
690.71	0.23573
693.03	0.19235
695.24	0.16633
697.65	0.15418
699.72	0.14984
701.20	0.13943
702.82	0.12295
704.10	0.10994
705.63	0.10387
706.91	0.10300
709.22	0.10820
712.23	0.11428
715.92	0.12469
719.02	0.13163
721.78	0.13510
724.43	0.13660
726.82	0.13727
728.82	0.13385
730.70	0.12864
734.28	0.11081
738.32	0.085647
742.80	0.060490
745.95	0.045742
749.89	0.031862
754.42	0.020145
758.45	0.011041
761.80	0.0058364
764.02	0.0032339
