Wavelength (nm)	CHL108_3-Acetyl Phe a, Et2O (Meyer, 1996).abs
300.59	0.11210
301.70	0.11531
303.58	0.12648
304.96	0.13481
306.35	0.14341
308.23	0.15310
309.52	0.15860
311.20	0.16449
312.69	0.17057
314.17	0.17817
315.95	0.18762
317.34	0.19562
318.92	0.20385
320.51	0.21330
321.60	0.22154
322.78	0.22820
324.37	0.23498
325.56	0.23861
326.94	0.24164
329.22	0.24358
331.50	0.24661
334.07	0.25000
337.54	0.26248
341.20	0.28159
345.65	0.32292
350.06	0.38299
351.99	0.41134
354.57	0.45010
357.44	0.49491
360.85	0.55160
363.67	0.60283
365.16	0.63299
367.09	0.66751
368.62	0.69646
369.96	0.71960
371.45	0.74334
372.98	0.76417
374.27	0.77883
375.46	0.79094
376.74	0.80257
377.83	0.81141
378.72	0.81662
379.71	0.82146
381.20	0.82461
382.78	0.82122
384.07	0.81420
385.16	0.80475
385.85	0.79748
386.74	0.79167
387.63	0.78828
389.02	0.78525
390.11	0.78622
391.74	0.79324
393.77	0.80911
395.50	0.82679
397.34	0.85090
398.72	0.87040
400.21	0.89414
401.64	0.91642
403.13	0.93811
404.37	0.95700
405.65	0.97166
406.64	0.98280
407.73	0.99130
409.22	0.99758
410.80	1.0000
412.48	0.99686
413.57	0.98972
414.76	0.97685
416.15	0.95010
417.53	0.92036
419.41	0.86785
420.80	0.82825
422.19	0.78525
423.33	0.74625
424.51	0.70603
426.05	0.64898
427.58	0.58806
429.22	0.53052
430.80	0.47444
432.38	0.42842
434.27	0.37270
435.95	0.32449
437.73	0.27180
439.02	0.23825
440.40	0.20349
442.38	0.16424
444.36	0.12984
445.85	0.10117
447.43	0.081977
449.22	0.063094
451.10	0.052750
453.37	0.041788
455.65	0.035719
459.02	0.033297
464.36	0.033043
468.92	0.035211
473.37	0.035247
477.83	0.034363
480.70	0.033467
483.37	0.032570
485.55	0.032594
486.94	0.034436
488.42	0.036882
490.30	0.041776
491.79	0.047275
493.72	0.055208
495.01	0.062839
496.94	0.074128
498.82	0.084508
500.80	0.094889
502.23	0.10252
503.47	0.10865
505.25	0.11567
507.04	0.12088
508.62	0.12294
509.81	0.12241
511.10	0.11985
512.78	0.11301
514.76	0.10109
516.84	0.085562
518.22	0.076732
519.61	0.070034
521.39	0.063651
522.88	0.060610
524.86	0.058806
527.04	0.058818
529.02	0.061277
531.00	0.068830
532.98	0.077762
534.66	0.086919
535.65	0.092103
536.74	0.097602
537.78	0.10248
538.82	0.10585
539.96	0.10768
541.14	0.10596
542.93	0.097650
544.21	0.088820
545.50	0.078464
546.64	0.068726
548.17	0.056856
549.51	0.046802
551.19	0.037064
552.88	0.030669
555.75	0.024903
557.83	0.021572
559.91	0.019453
562.48	0.017856
565.25	0.016736
568.92	0.015055
574.86	0.012548
579.01	0.010851
583.47	0.0095688
588.52	0.0087394
592.68	0.0093387
596.14	0.011495
598.82	0.014258
601.19	0.018847
603.17	0.024346
604.71	0.030160
605.94	0.035647
607.63	0.042672
609.80	0.050525
611.29	0.055196
612.87	0.060213
615.65	0.064983
618.12	0.066484
621.78	0.065866
623.96	0.063373
626.04	0.059581
628.12	0.055329
630.00	0.052301
632.48	0.049576
635.45	0.047456
638.02	0.046875
641.39	0.046899
644.06	0.047226
647.13	0.049685
649.41	0.054578
651.39	0.061125
652.97	0.068540
654.46	0.081358
656.73	0.10889
659.16	0.14002
660.89	0.16618
663.52	0.21197
665.89	0.26260
667.92	0.31383
669.26	0.35465
670.69	0.40770
672.08	0.45858
673.27	0.49067
673.81	0.50436
674.60	0.52168
675.45	0.53549
676.14	0.54675
676.93	0.55705
677.72	0.56565
678.61	0.56989
680.00	0.57110
681.88	0.56141
683.27	0.54191
684.97	0.50012
686.93	0.44501
689.01	0.37100
690.79	0.29506
691.63	0.25182
692.38	0.21306
693.27	0.17224
694.06	0.14329
695.15	0.11495
696.58	0.087561
697.23	0.075981
698.71	0.057401
699.70	0.047347
700.69	0.036991
702.18	0.028779
704.26	0.019949
706.14	0.013566
708.51	0.0090116
710.69	0.0065770
714.55	0.0039971
719.50	0.0025870
727.23	0.0015262
736.53	0.0015100
742.87	0.0015000
747.42	0.0015000
751.78	0.0015000
756.24	0.0015000
762.67	0.0015000
780.79	0.0015000
787.28	0.0015000
796.22	0.0015000
