Wavelength (nm)	CHL109_7-CH2OH Phe a, Et2O (Zabelin, 2014).abs
370.40	0.42562
372.78	0.44045
375.17	0.45618
377.65	0.47371
379.94	0.49079
382.03	0.51146
384.42	0.53843
386.04	0.56719
388.62	0.61303
390.95	0.65798
393.10	0.70247
395.20	0.73888
397.01	0.76449
399.01	0.78517
400.73	0.79955
402.07	0.81034
403.50	0.82562
405.12	0.85168
406.93	0.88854
408.55	0.93303
410.05	0.96809
411.70	0.99326
413.00	1.00000
414.09	0.99461
415.32	0.97798
417.52	0.90696
420.29	0.79685
422.29	0.69034
424.96	0.53798
427.15	0.40674
429.25	0.29258
430.68	0.23730
431.94	0.19685
433.16	0.16764
434.98	0.13933
437.07	0.11281
439.46	0.087640
442.03	0.066517
444.13	0.052584
447.28	0.040899
450.91	0.032809
454.05	0.028764
457.39	0.027865
461.49	0.030562
465.60	0.033258
469.51	0.035955
473.32	0.035506
477.52	0.035506
481.14	0.034157
484.58	0.034157
487.44	0.037753
490.21	0.045393
493.07	0.058427
495.74	0.075056
497.55	0.084045
500.32	0.092135
503.56	0.097977
505.66	0.10157
508.24	0.10292
510.05	0.098427
512.43	0.087640
515.48	0.069213
518.92	0.053483
522.35	0.043146
525.02	0.040449
527.79	0.043595
529.98	0.051236
531.70	0.058876
533.99	0.070562
536.09	0.075056
537.71	0.070562
539.90	0.058876
542.19	0.043595
544.77	0.032809
546.68	0.028764
549.25	0.026067
552.40	0.028764
554.88	0.030562
556.98	0.031461
560.70	0.030562
564.13	0.026067
567.85	0.021573
572.43	0.017977
575.77	0.017079
579.49	0.017079
584.17	0.019326
588.36	0.023820
592.85	0.030562
596.47	0.041798
599.14	0.051236
602.10	0.060225
604.20	0.065168
606.68	0.066966
609.16	0.065618
611.83	0.060674
614.21	0.053932
617.07	0.045843
619.94	0.039550
622.89	0.035056
626.33	0.033708
629.67	0.035506
633.48	0.039550
637.68	0.046292
640.73	0.053483
643.59	0.063371
645.88	0.076404
647.79	0.091685
649.60	0.11236
651.22	0.13528
653.00	0.16944
654.66	0.20719
656.76	0.26697
658.57	0.32449
660.00	0.36674
661.53	0.40225
662.67	0.42112
664.00	0.42652
665.15	0.42157
666.10	0.40629
667.54	0.37438
669.83	0.30292
672.40	0.20674
674.31	0.15101
676.41	0.097528
678.32	0.066966
679.94	0.048090
681.37	0.035955
683.18	0.024719
685.37	0.017079
687.76	0.012135
690.43	0.0085393
693.58	0.0063719
696.72	0.0055284
700.45	0.0050393
703.78	0.0044269
707.03	0.0040449
710.46	0.0038595
713.80	0.0035955
717.52	0.0035955
720.00	0.0035955
