Wavelength (nm)	CHL110_7-CH2OH Phebide a ME, Et2O (Holt, 1959).abs
372.49	0.46929
375.23	0.48310
377.48	0.50198
380.09	0.52989
382.90	0.56315
385.45	0.60373
386.95	0.64206
388.26	0.67476
389.32	0.70154
390.69	0.72888
392.56	0.75481
394.24	0.77566
396.36	0.79088
398.35	0.80808
400.10	0.82414
402.71	0.86247
404.83	0.90306
406.45	0.93632
408.63	0.98001
409.98	0.99692
411.00	1.0000
412.06	0.99720
412.81	0.98705
414.74	0.93547
416.92	0.86304
419.17	0.75142
421.44	0.62093
424.28	0.47464
427.64	0.30243
428.95	0.23648
430.01	0.20322
431.19	0.17334
432.50	0.14375
433.87	0.12092
435.12	0.10485
436.68	0.086811
438.67	0.069900
441.10	0.053834
443.59	0.042278
446.34	0.033823
449.14	0.029595
452.82	0.028185
457.99	0.028467
463.60	0.029313
467.96	0.031286
473.94	0.031850
478.31	0.031286
483.04	0.030440
486.72	0.030030
489.02	0.033259
491.27	0.041151
493.70	0.054962
495.94	0.068772
497.81	0.077792
499.99	0.082302
502.55	0.085966
504.73	0.089912
506.85	0.094421
508.65	0.096272
510.27	0.094421
511.83	0.087657
513.27	0.076664
515.14	0.065390
516.76	0.055243
518.81	0.045097
520.49	0.039178
522.30	0.034668
524.73	0.031850
526.79	0.034668
529.09	0.040869
530.90	0.048761
532.52	0.055807
534.14	0.065108
535.76	0.067927
537.07	0.065390
538.50	0.058062
540.31	0.048761
542.37	0.037487
544.61	0.029595
546.73	0.025367
548.97	0.022267
551.47	0.022830
554.15	0.025367
556.76	0.027340
559.26	0.027904
561.50	0.026776
563.93	0.023676
566.30	0.019448
569.15	0.014375
571.66	0.011556
574.65	0.0084556
577.70	0.0059189
581.01	0.0067645
584.12	0.010429
587.42	0.015502
590.35	0.021421
592.97	0.028749
595.53	0.035514
597.96	0.041714
600.32	0.048197
602.13	0.052707
604.12	0.056371
606.24	0.057498
608.42	0.056935
610.48	0.052707
612.97	0.047633
615.59	0.041714
618.02	0.036077
620.58	0.031286
623.38	0.027058
626.00	0.024239
629.11	0.023394
631.98	0.024239
634.85	0.026776
637.71	0.032413
640.71	0.039460
642.89	0.047352
644.94	0.055807
646.69	0.067363
648.37	0.080892
649.87	0.099213
651.74	0.12345
653.23	0.14797
655.04	0.18123
656.35	0.21449
657.90	0.26523
659.57	0.31568
660.58	0.34555
662.08	0.37909
662.89	0.38783
664.00	0.39093
665.07	0.38783
665.88	0.37825
667.94	0.33231
670.49	0.26269
672.63	0.19730
674.17	0.15248
675.17	0.12092
676.10	0.099495
676.85	0.083711
677.78	0.069054
678.84	0.057498
680.03	0.045942
681.34	0.035232
682.58	0.026212
684.02	0.020012
685.51	0.013247
687.13	0.0078919
688.94	0.0036641
690.93	0.0021691
692.86	0.0016127
695.30	0.0011274
698.83	0.0011274
