Wavelength (nm)	CHL111_3-(CH3)(OH)CH Phebide a, Et2O (Oelze, 1970).abs
349.59	0.28820
353.85	0.34203
356.91	0.37804
360.66	0.42714
364.24	0.46715
368.24	0.51152
370.45	0.53298
372.58	0.54571
374.20	0.55844
377.09	0.57372
380.07	0.59591
382.88	0.63664
385.52	0.68138
389.19	0.74212
392.87	0.79377
395.32	0.81996
396.80	0.83414
397.90	0.84505
399.25	0.87633
400.95	0.91634
402.90	0.95672
403.75	0.97599
404.85	0.99467
406.00	1.00000
407.20	0.99527
407.83	0.97454
410.05	0.85524
413.71	0.69011
418.05	0.48024
422.05	0.30348
424.12	0.23146
425.38	0.18999
426.91	0.15653
428.53	0.12634
430.83	0.097973
432.53	0.084152
435.90	0.060873
438.75	0.050689
443.43	0.039778
447.77	0.034322
451.69	0.029957
455.01	0.028502
457.48	0.029230
460.54	0.031776
463.87	0.033594
467.70	0.033958
471.87	0.033594
476.21	0.032867
478.94	0.031412
482.00	0.031776
484.30	0.035049
486.43	0.040141
488.48	0.047416
490.43	0.059055
492.48	0.070694
495.20	0.083060
498.35	0.089971
501.08	0.092881
503.55	0.089971
506.10	0.081969
508.32	0.072149
510.96	0.060146
513.94	0.047416
517.43	0.038323
519.98	0.035777
522.20	0.039414
523.64	0.043779
525.43	0.053963
526.97	0.064874
528.92	0.077605
530.20	0.087061
531.73	0.091790
533.15	0.088880
534.80	0.079060
536.42	0.065602
538.29	0.049598
539.99	0.037232
541.44	0.029957
543.56	0.024926
545.26	0.024320
547.32	0.027047
549.38	0.028866
551.22	0.029169
553.99	0.029169
556.33	0.028260
559.52	0.027351
562.29	0.025229
564.28	0.023107
566.26	0.021895
569.74	0.020076
573.72	0.018561
577.05	0.018258
580.03	0.018561
582.66	0.020379
585.21	0.021289
587.41	0.022804
588.97	0.026441
590.89	0.032503
592.38	0.038868
594.01	0.045840
595.60	0.052205
597.57	0.059479
599.19	0.063116
600.97	0.066451
602.81	0.067663
604.75	0.066451
607.00	0.063723
608.95	0.059479
611.11	0.054630
614.02	0.046446
616.01	0.040384
618.49	0.035837
620.55	0.032119
623.25	0.032503
625.31	0.035534
626.87	0.038868
628.92	0.041596
630.70	0.039778
632.33	0.037959
634.03	0.038262
636.16	0.042203
638.08	0.047658
639.71	0.054023
641.77	0.062813
643.40	0.074028
645.03	0.087971
646.31	0.10373
647.80	0.12919
649.43	0.16011
651.21	0.20466
652.77	0.26013
654.40	0.32894
655.61	0.38562
656.95	0.44957
658.00	0.47867
659.00	0.48382
660.00	0.47680
660.88	0.45775
662.00	0.41168
664.41	0.31045
665.82	0.24104
667.24	0.17587
668.24	0.14374
669.95	0.10858
672.00	0.079787
673.84	0.060692
675.05	0.051296
677.39	0.039172
679.52	0.028563
682.40	0.019167
684.49	0.015833
687.61	0.013408
690.52	0.010680
692.22	0.0076491
693.64	0.0052243
695.91	0.0037401
697.54	0.0031026
700.03	0.0024964
702.30	0.0021933
705.00	0.0018902
