Wavelength (nm)	CHL113_PyroPhe a, Ace (Jeffrey, 1997).abs
347.64	0.26275
351.49	0.29630
354.58	0.32551
357.92	0.36289
361.38	0.41157
365.62	0.46259
368.45	0.49803
370.89	0.52490
373.97	0.55371
376.16	0.57267
378.21	0.58956
381.30	0.61875
385.02	0.66821
387.21	0.70404
389.52	0.74570
391.06	0.77063
393.63	0.80685
395.69	0.83138
398.64	0.85669
400.82	0.88179
403.14	0.91160
404.93	0.93845
407.25	0.97391
409.17	0.99611
410.20	1.0000
411.49	0.99494
412.39	0.97936
414.57	0.90420
417.16	0.79088
420.61	0.60239
423.05	0.47583
425.34	0.36679
428.32	0.24762
429.99	0.18999
431.66	0.14248
433.33	0.10859
434.82	0.086462
436.86	0.064719
439.11	0.049141
441.68	0.037458
444.67	0.029670
448.21	0.024153
452.06	0.023179
455.91	0.023179
459.02	0.024802
462.34	0.028372
465.12	0.031292
468.12	0.033564
472.20	0.034051
477.20	0.034051
480.32	0.033510
482.82	0.032699
485.32	0.033510
487.16	0.036440
488.87	0.039595
490.36	0.043877
491.25	0.048835
492.74	0.055596
494.52	0.065737
496.46	0.075879
497.94	0.082865
499.80	0.090302
501.36	0.095936
502.92	0.10022
504.48	0.10382
506.19	0.10518
507.83	0.10427
509.47	0.10067
510.65	0.095486
511.92	0.088950
513.55	0.079034
515.49	0.067089
517.35	0.058300
519.13	0.050187
520.99	0.045004
522.18	0.042525
523.67	0.040947
526.04	0.042975
527.83	0.047933
529.09	0.052666
530.58	0.059427
531.99	0.068442
533.40	0.077456
534.74	0.083316
536.08	0.084443
537.42	0.082414
538.68	0.077231
539.80	0.070921
540.99	0.063033
542.10	0.054920
543.22	0.045680
544.63	0.038243
545.82	0.033510
547.01	0.029679
548.72	0.026298
551.25	0.025622
554.15	0.026073
557.05	0.027200
559.57	0.027650
561.88	0.026073
564.41	0.024495
567.01	0.022242
569.39	0.019763
571.91	0.017509
574.81	0.015931
578.31	0.015706
581.73	0.015706
585.00	0.016382
587.67	0.019087
590.50	0.022918
593.47	0.029003
596.45	0.037792
599.35	0.049962
601.65	0.058526
603.03	0.063484
604.25	0.067315
606.19	0.070921
608.19	0.072273
610.05	0.071371
611.84	0.068667
613.77	0.064385
617.19	0.055370
619.42	0.049736
621.43	0.044328
623.88	0.039369
626.11	0.037341
628.19	0.035989
630.27	0.035538
632.43	0.036890
634.81	0.037792
637.11	0.040271
639.27	0.042750
641.28	0.047257
643.36	0.053793
645.51	0.063258
647.52	0.077006
649.23	0.093908
651.24	0.11667
653.39	0.15498
656.59	0.22327
658.97	0.28998
661.19	0.35263
662.90	0.39860
664.69	0.43038
665.81	0.44187
666.70	0.44345
667.67	0.44165
668.67	0.43173
670.02	0.40153
671.73	0.35308
674.06	0.28051
676.22	0.20276
677.33	0.16715
678.45	0.13492
679.49	0.11104
680.68	0.090527
681.72	0.072498
682.76	0.058300
683.88	0.047032
684.99	0.036890
686.33	0.028327
687.89	0.020664
689.30	0.016157
691.01	0.011650
693.17	0.0087198
695.25	0.0064661
697.93	0.0047511
700.53	0.0035364
703.50	0.0026349
706.18	0.0021842
708.63	0.0020711
711.68	0.0019588
714.73	0.0019588
