Wavelength (nm)	CHL119_3-Et PyroPhebide a ME, DCM (Xu, 2014).abs
300.14	0.13313
302.10	0.13844
304.21	0.14758
306.76	0.15730
310.17	0.17499
312.72	0.18560
314.75	0.19474
316.64	0.19739
318.38	0.19474
320.06	0.18648
322.02	0.17676
323.69	0.16968
326.38	0.16261
328.63	0.16025
331.30	0.16341
334.16	0.16703
337.28	0.17440
340.33	0.18825
345.13	0.21596
350.15	0.25133
354.80	0.29171
359.96	0.34624
364.17	0.39429
367.95	0.43850
371.59	0.47652
374.57	0.50158
376.82	0.51396
379.07	0.52928
380.80	0.54373
382.63	0.56878
384.09	0.59472
385.69	0.63304
388.01	0.68373
389.54	0.71115
391.57	0.74151
392.52	0.75300
393.53	0.76008
394.70	0.76273
396.37	0.75624
397.53	0.75330
399.13	0.75713
400.37	0.76833
401.17	0.78395
402.47	0.81460
404.00	0.85941
405.45	0.90362
406.18	0.93722
407.32	0.97832
408.01	0.99499
409.00	1.0000
410.10	0.99529
411.41	0.97112
412.29	0.93486
413.65	0.86972
414.81	0.80635
416.28	0.71557
417.59	0.62655
418.75	0.54402
419.99	0.45913
421.22	0.37424
422.39	0.28994
423.77	0.21861
425.30	0.16880
426.68	0.12930
428.20	0.10012
429.80	0.079489
431.04	0.064162
432.64	0.051782
434.60	0.040876
436.78	0.034392
439.03	0.028792
442.01	0.024075
446.30	0.019865
450.88	0.018475
454.22	0.018180
456.98	0.019654
460.18	0.022602
463.60	0.026728
467.01	0.029971
470.72	0.031444
474.86	0.032034
478.71	0.030855
481.77	0.030560
485.11	0.031415
487.65	0.035276
489.76	0.044119
492.30	0.054730
494.34	0.064457
496.16	0.073299
498.26	0.079489
499.94	0.083616
501.90	0.085384
503.86	0.084795
505.90	0.081552
507.57	0.075363
509.38	0.067699
510.98	0.059151
513.53	0.050898
515.05	0.045298
517.60	0.039992
520.29	0.037634
522.90	0.036259
525.01	0.039108
526.83	0.046182
528.21	0.055319
530.17	0.067404
531.84	0.078015
532.93	0.083026
534.60	0.085384
535.98	0.083026
537.87	0.071531
539.33	0.062099
541.29	0.051193
542.89	0.042645
544.88	0.036750
547.03	0.034687
550.16	0.032623
553.65	0.030560
556.92	0.028497
560.40	0.026139
564.55	0.022012
566.66	0.019654
569.42	0.016523
572.32	0.015528
576.10	0.015528
579.88	0.017591
583.23	0.020244
586.13	0.027023
588.17	0.034392
590.06	0.041466
592.02	0.052077
593.57	0.060035
595.24	0.066815
596.89	0.071236
598.42	0.074478
600.60	0.075952
603.29	0.074184
605.54	0.068583
608.08	0.058562
611.50	0.048835
614.55	0.040287
617.09	0.035276
620.22	0.031739
623.56	0.030265
626.47	0.030130
629.38	0.032034
632.14	0.036160
634.68	0.042645
636.64	0.050898
638.82	0.062688
641.30	0.083321
643.26	0.10631
644.57	0.12930
646.14	0.16143
647.62	0.20063
649.15	0.24838
650.31	0.29378
651.98	0.34889
653.07	0.38161
654.31	0.40696
655.23	0.41993
656.00	0.42288
656.85	0.41963
657.72	0.40843
658.81	0.38161
659.97	0.33946
661.50	0.28994
662.74	0.23689
664.34	0.18265
666.22	0.12753
667.46	0.096290
668.78	0.070352
670.00	0.053256
671.31	0.039697
672.69	0.028202
674.07	0.021128
675.67	0.015233
677.34	0.010993
679.52	0.0069798
681.49	0.0049516
683.96	0.0037439
687.66	0.0028532
690.72	0.0022637
693.70	0.0017585
696.82	0.0013794
700.00	0.0011847
