Wavelength (nm)	CHL120_3-Et-7-vinyl PyroPhebide a ME, DCM (Tamiaki, 2016).abs
300.02	0.12241
303.95	0.13110
308.49	0.14181
311.51	0.15585
313.72	0.16355
315.44	0.16923
317.35	0.17425
318.66	0.17592
320.27	0.17425
322.19	0.16756
324.20	0.15953
326.62	0.14916
328.84	0.14281
331.26	0.13813
333.37	0.13746
335.79	0.13980
339.01	0.14415
343.04	0.15485
347.48	0.17224
351.71	0.19532
357.45	0.22776
362.18	0.26555
366.92	0.30201
370.45	0.32977
372.86	0.34916
374.88	0.36154
376.49	0.36890
378.30	0.37425
380.52	0.37659
383.04	0.37860
385.16	0.39030
387.57	0.41973
389.59	0.46355
392.11	0.53010
395.33	0.61539
396.44	0.63846
397.45	0.65251
398.86	0.66288
400.47	0.66789
402.79	0.66756
404.50	0.66856
406.72	0.68562
408.63	0.71672
411.45	0.81137
412.86	0.86321
414.47	0.92642
416.19	0.97960
417.19	0.99733
418.00	1.0000
418.80	0.99733
419.61	0.97960
421.41	0.89030
423.24	0.76723
426.74	0.52776
429.83	0.35920
432.31	0.27458
435.03	0.20836
438.05	0.15686
440.67	0.11873
443.29	0.092642
446.01	0.074917
448.42	0.062208
450.94	0.051840
453.76	0.042475
455.98	0.037124
458.30	0.032442
462.03	0.029432
467.26	0.029766
471.70	0.030435
475.53	0.031773
481.97	0.032442
486.41	0.032442
489.83	0.034783
492.65	0.039799
494.57	0.045820
495.98	0.051505
497.39	0.057525
499.00	0.063880
500.61	0.070234
502.53	0.077258
504.74	0.082609
506.35	0.085285
507.97	0.085953
509.98	0.084281
512.10	0.079599
514.82	0.071907
517.03	0.063880
519.86	0.053846
522.07	0.046823
524.59	0.040134
526.91	0.036121
529.22	0.034114
531.34	0.035452
533.86	0.040468
536.48	0.047492
538.69	0.052508
540.71	0.053849
543.43	0.051840
548.63	0.044482
553.16	0.038462
558.14	0.030769
564.18	0.022408
569.37	0.018474
573.96	0.016388
578.39	0.016722
581.92	0.017391
584.84	0.021739
587.46	0.029766
590.28	0.040134
592.80	0.049498
594.51	0.056856
595.92	0.060870
598.04	0.063545
599.85	0.064883
602.27	0.063880
604.68	0.060535
608.11	0.051505
610.83	0.042809
613.55	0.035786
616.98	0.029766
620.40	0.027425
623.32	0.027425
626.24	0.028763
629.07	0.030435
631.89	0.032442
635.01	0.040134
637.23	0.050502
639.54	0.066221
642.67	0.093980
645.08	0.12341
647.40	0.16589
650.02	0.22876
652.14	0.28194
652.99	0.30268
654.05	0.32241
654.86	0.33110
656.00	0.33411
657.20	0.33110
658.08	0.31806
659.59	0.27960
662.01	0.21672
664.73	0.14682
667.15	0.10000
669.57	0.069565
671.68	0.051171
673.60	0.038127
675.71	0.027090
678.03	0.019398
680.75	0.012375
683.67	0.0081674
686.79	0.0052602
690.02	0.0037401
693.24	0.0026756
697.07	0.0018201
700.09	0.0013378
703.52	0.0010234
706.44	0.0010000
710.06	0.0010000
