Wavelength (nm)	CHL123_2-CHO-3-Et PyroPhebide a ME, DCM (Xu, 2014).abs
300.16	0.14108
302.95	0.14700
305.91	0.15029
308.88	0.15227
312.11	0.15424
315.68	0.15490
319.17	0.15687
322.83	0.15951
326.32	0.16411
329.98	0.17069
332.86	0.18056
335.91	0.18977
338.44	0.20096
340.89	0.21215
343.15	0.22268
344.81	0.23386
346.90	0.24702
349.61	0.26742
352.49	0.29572
355.71	0.32599
359.29	0.36678
364.43	0.42403
367.84	0.47009
370.80	0.51813
374.29	0.57209
377.86	0.62934
380.92	0.68000
384.41	0.73133
386.41	0.75765
388.59	0.77673
390.77	0.79055
393.56	0.79647
395.66	0.79516
397.14	0.79121
398.36	0.79055
400.10	0.79647
401.85	0.81556
403.33	0.83925
404.64	0.86820
405.86	0.89847
407.26	0.93334
408.30	0.96230
409.00	0.97941
409.88	0.99191
411.00	1.0000
412.15	0.99257
413.45	0.97480
414.58	0.94058
416.24	0.88004
417.72	0.81161
419.29	0.73725
421.04	0.64381
422.78	0.57340
424.26	0.51879
426.44	0.44311
428.85	0.37797
431.59	0.31743
434.31	0.26808
437.52	0.20952
441.36	0.13911
444.41	0.087781
446.85	0.060802
449.45	0.039087
452.35	0.026584
455.75	0.020662
459.67	0.017372
464.03	0.016056
468.31	0.016946
471.79	0.018726
474.93	0.021320
477.90	0.025926
481.56	0.027900
486.19	0.028558
490.11	0.028558
495.26	0.027900
499.53	0.027900
503.98	0.029874
507.81	0.037113
511.74	0.046983
514.50	0.054221
518.54	0.065408
520.90	0.068040
523.60	0.065408
526.30	0.057511
529.01	0.049615
531.10	0.043035
533.54	0.039087
536.68	0.037771
539.39	0.039087
542.61	0.046983
545.14	0.060144
547.58	0.077910
549.50	0.095019
551.16	0.11147
552.47	0.12463
554.04	0.13779
555.35	0.14964
557.09	0.15622
558.92	0.15095
560.67	0.13845
562.67	0.12068
564.68	0.10094
566.51	0.081200
568.60	0.065408
570.96	0.052905
573.92	0.041719
577.15	0.034481
580.29	0.029874
583.52	0.025268
586.31	0.020662
590.06	0.016714
594.85	0.015671
599.13	0.015398
603.58	0.015261
607.94	0.016540
611.86	0.018688
615.70	0.025926
618.84	0.034481
621.89	0.045667
625.12	0.054221
628.43	0.058828
631.92	0.058642
635.41	0.057511
639.33	0.052247
642.65	0.046325
646.05	0.043035
649.71	0.041719
653.46	0.041248
657.13	0.042317
660.70	0.045667
664.28	0.050931
667.33	0.064092
669.42	0.079226
671.34	0.10160
674.22	0.14240
676.70	0.19372
678.32	0.24373
680.32	0.32006
682.07	0.40824
683.55	0.49905
685.30	0.59117
686.52	0.65631
687.71	0.71159
688.78	0.75173
689.92	0.77542
691.00	0.78266
691.92	0.77410
692.97	0.74515
694.45	0.68856
696.02	0.59841
698.29	0.46022
700.12	0.34704
701.69	0.27071
703.52	0.19241
705.09	0.13516
707.01	0.091729
708.76	0.062776
710.50	0.041719
712.50	0.028558
714.86	0.017372
717.74	0.0094756
720.44	0.0048694
723.41	0.0023652
726.72	0.0015793
728.20	0.0014479
730.00	0.0013667
735.00	0.0013667
