Wavelength (nm)	CHL126_3-Et-7-CHO PyroPhebide a ME, DCM (Tamiaki, 2016).ems
620.93	0.0055198
623.14	0.0079803
625.25	0.011261
627.17	0.014952
629.14	0.022744
630.81	0.031356
632.29	0.043249
633.77	0.058422
635.19	0.076876
636.23	0.095741
637.50	0.12978
638.98	0.18350
640.41	0.26921
642.02	0.40167
644.00	0.59647
645.62	0.76173
646.88	0.87656
647.64	0.93233
648.70	0.98072
649.26	0.99508
650.00	1.00000
650.44	0.99631
650.89	0.98236
651.97	0.92536
653.49	0.82530
655.22	0.69653
657.48	0.54028
658.86	0.46154
660.23	0.39142
662.15	0.32293
663.87	0.26880
665.10	0.23722
667.22	0.19498
669.43	0.15807
670.91	0.14249
672.43	0.13101
674.60	0.12117
676.96	0.11666
679.42	0.11502
682.27	0.11460
686.01	0.11543
689.06	0.11666
691.82	0.11912
693.69	0.12404
695.11	0.13019
696.79	0.13880
698.41	0.14782
700.08	0.15520
701.85	0.15849
703.67	0.15684
705.99	0.14946
708.35	0.13921
710.86	0.12855
713.56	0.12035
715.68	0.11378
717.69	0.10968
719.81	0.10517
721.38	0.10066
723.80	0.090819
726.16	0.079747
727.98	0.070315
730.49	0.058832
732.75	0.048535
735.70	0.039424
738.06	0.033483
740.18	0.030129
742.59	0.027580
745.05	0.025287
748.00	0.022356
750.66	0.020693
753.76	0.018521
758.23	0.016875
761.48	0.015772
763.79	0.014952
766.84	0.014542
770.24	0.014132
772.65	0.014000
775.80	0.014000
780.00	0.014000
