Wavelength (nm)	CHL128_3-Et-12-CHO PyroPhebide a ME, DCM (Tamiaki, 2016).abs
300.72	0.32883
303.81	0.35258
307.15	0.38544
309.18	0.41110
311.20	0.43061
314.42	0.45096
316.92	0.47641
318.83	0.50949
321.45	0.57988
323.48	0.64858
325.09	0.69679
326.00	0.71587
327.00	0.72152
328.24	0.71446
329.06	0.69749
331.14	0.64731
334.02	0.58017
336.11	0.54200
338.00	0.52504
340.68	0.51973
343.26	0.51655
345.74	0.50878
347.83	0.49888
349.91	0.48899
352.60	0.47839
354.78	0.47485
357.26	0.48121
359.65	0.49535
362.53	0.51655
366.90	0.56462
372.46	0.63812
378.32	0.72789
383.98	0.81270
388.25	0.87490
391.43	0.91589
394.90	0.95194
397.19	0.96671
399.37	0.98021
402.35	0.99081
406.12	0.99717
409.00	1.0000
411.69	0.99576
413.77	0.98445
415.96	0.96678
418.24	0.93427
420.52	0.89116
425.59	0.78160
429.44	0.68830
435.72	0.57098
438.34	0.52009
441.78	0.42326
445.28	0.30522
449.52	0.17871
452.40	0.11721
455.08	0.086116
458.86	0.064912
462.63	0.052190
467.30	0.047242
473.56	0.045122
479.12	0.046535
486.37	0.051483
494.41	0.060671
503.45	0.069153
511.69	0.079048
517.85	0.088943
524.10	0.10591
531.26	0.12994
537.71	0.14831
543.07	0.15821
548.93	0.16598
554.39	0.17659
559.36	0.19426
563.53	0.21687
567.40	0.24090
570.78	0.26140
574.75	0.27695
577.43	0.28543
579.72	0.28826
582.30	0.28473
585.48	0.27695
588.56	0.26564
592.23	0.24727
596.20	0.22253
599.88	0.20486
601.96	0.19567
604.25	0.18789
606.33	0.18648
608.82	0.19001
611.40	0.19779
613.58	0.20980
615.97	0.22323
618.65	0.23596
620.44	0.24444
623.02	0.25221
624.81	0.25504
626.99	0.25221
628.98	0.24020
631.66	0.22323
634.34	0.20132
637.62	0.17659
641.19	0.15185
643.48	0.13983
646.75	0.12994
649.53	0.12782
652.61	0.13276
655.10	0.13913
657.88	0.15467
660.46	0.17376
663.24	0.20132
666.81	0.24797
670.49	0.30522
674.00	0.36813
675.85	0.40064
677.64	0.42538
679.33	0.43951
681.00	0.44446
682.60	0.43810
684.20	0.41972
687.30	0.35965
690.15	0.28614
692.70	0.21617
696.01	0.14690
698.82	0.098131
701.18	0.067032
704.15	0.044415
707.33	0.029572
710.81	0.020384
714.18	0.014023
717.56	0.010489
722.13	0.0069549
725.90	0.0048345
730.97	0.0034209
735.34	0.0023714
739.11	0.0015500
742.98	0.0012937
