Wavelength (nm)	CHL129_12-CHO PyroPhebide a ME, DCM (Wang, 2011).abs
354.51	0.43894
356.67	0.43622
359.37	0.44121
362.75	0.45707
366.94	0.49061
373.15	0.55044
378.82	0.61661
384.62	0.70454
389.75	0.79156
394.48	0.86679
397.45	0.91393
401.90	0.96197
404.74	0.98554
407.57	0.99642
410.00	1.0000
412.30	0.99551
414.46	0.97920
417.29	0.94203
423.77	0.82600
429.85	0.69049
436.68	0.54409
444.30	0.41356
450.50	0.28847
454.82	0.19646
458.06	0.14660
460.49	0.11170
463.87	0.085416
466.70	0.071366
470.21	0.058222
474.13	0.049157
478.31	0.045078
481.55	0.045531
485.06	0.047797
489.25	0.053689
493.16	0.059581
497.08	0.067286
501.00	0.074085
505.05	0.079071
510.18	0.080884
514.77	0.079071
518.01	0.078164
520.44	0.077258
523.81	0.079071
528.13	0.089495
532.86	0.10219
536.23	0.11125
540.42	0.12022
543.58	0.12439
548.38	0.12575
554.19	0.12802
557.97	0.13074
560.94	0.13482
565.12	0.14086
567.69	0.15023
570.18	0.15884
572.28	0.16836
574.17	0.17742
576.87	0.18650
580.24	0.19147
583.21	0.19465
586.45	0.19102
591.18	0.17924
594.28	0.16881
599.28	0.15249
604.27	0.13890
608.19	0.13210
611.70	0.12933
614.80	0.13165
618.72	0.14026
622.27	0.15272
625.54	0.16330
628.69	0.17274
630.37	0.17576
632.29	0.17765
634.76	0.17614
638.70	0.16783
641.62	0.15801
643.76	0.14970
645.90	0.14479
648.60	0.13988
651.53	0.14215
653.66	0.14970
656.25	0.16707
659.40	0.19238
662.44	0.21466
664.69	0.22939
666.60	0.23581
669.19	0.24035
672.56	0.24601
676.50	0.25621
679.31	0.27094
682.69	0.29247
685.74	0.31551
686.73	0.32420
688.20	0.33137
690.00	0.33326
692.03	0.32948
693.60	0.31891
695.63	0.29285
699.11	0.23808
702.83	0.16556
705.41	0.12251
708.11	0.088135
710.36	0.062830
712.95	0.043945
715.88	0.031859
718.69	0.022038
721.84	0.015995
725.33	0.010708
729.94	0.0073083
734.55	0.0042867
740.74	0.0027759
746.37	0.0020205
751.54	0.0016428
756.60	0.0016428
762.79	0.0016428
