Wavelength (nm)	CHL134_Zn 3-CHO PyroPhebide a ME, MeOH (Rau, 2001).abs
300.97	0.47533
302.73	0.48193
303.68	0.48814
305.57	0.49357
307.86	0.49629
309.89	0.49319
311.78	0.48814
313.80	0.47960
316.10	0.47029
317.85	0.45942
321.23	0.43886
324.74	0.41479
327.30	0.40354
330.14	0.39345
333.51	0.38763
337.97	0.38375
342.56	0.38336
346.07	0.38569
349.58	0.39267
352.96	0.40082
357.55	0.42682
361.73	0.45205
365.92	0.48077
370.51	0.51337
374.97	0.55062
379.00	0.58128
382.93	0.61850
384.91	0.63833
386.85	0.65696
388.74	0.67714
390.36	0.69499
391.57	0.70197
392.92	0.70469
394.54	0.70275
396.68	0.68684
398.28	0.66976
399.70	0.64764
401.57	0.62475
402.92	0.60573
404.40	0.58827
405.89	0.57430
406.97	0.56653
409.13	0.56265
411.69	0.56731
413.58	0.57624
416.15	0.59836
419.25	0.62785
421.95	0.65424
424.92	0.67869
428.57	0.70197
431.14	0.72060
433.57	0.74233
435.42	0.76096
437.35	0.79046
439.37	0.82383
441.26	0.86342
443.02	0.90067
444.23	0.93055
446.26	0.96470
447.61	0.97479
448.96	0.97829
450.17	0.97324
451.25	0.95617
452.87	0.92473
454.36	0.87972
455.98	0.80908
458.68	0.69266
460.70	0.60263
462.87	0.51065
465.16	0.41635
467.19	0.33252
468.40	0.28517
470.56	0.21571
472.05	0.17302
475.15	0.11520
477.45	0.086089
479.47	0.066685
481.77	0.049998
483.93	0.038355
486.22	0.031758
489.73	0.025161
493.65	0.024322
498.38	0.023996
502.70	0.025549
506.61	0.027101
511.74	0.028790
515.39	0.027489
518.90	0.027489
522.27	0.028653
528.49	0.031370
534.29	0.037579
540.64	0.044177
546.44	0.047281
551.57	0.049222
554.81	0.048057
559.54	0.045341
562.92	0.044177
566.29	0.046505
570.07	0.050386
573.45	0.056983
577.09	0.067073
581.55	0.081044
585.19	0.091911
588.43	0.10122
593.43	0.11170
596.94	0.11452
600.05	0.11209
603.29	0.10705
606.26	0.10355
609.77	0.10045
611.93	0.10161
615.57	0.10705
618.81	0.11752
621.78	0.12917
624.22	0.14003
626.65	0.14973
629.41	0.15944
632.32	0.16797
635.69	0.17496
638.53	0.17806
640.96	0.17806
644.60	0.17574
647.98	0.17341
651.35	0.16991
654.73	0.16720
657.43	0.16875
659.86	0.17574
662.16	0.18544
663.37	0.20019
665.26	0.22696
667.69	0.27547
671.07	0.37327
673.36	0.47068
675.12	0.56265
676.98	0.66821
678.90	0.76834
679.71	0.81685
680.92	0.87622
682.54	0.93637
684.16	0.97479
685.38	0.99459
687.00	1.0000
688.49	0.99614
689.97	0.97053
692.54	0.89873
694.85	0.82538
697.40	0.71711
699.69	0.60922
702.53	0.48620
705.09	0.38724
707.25	0.30341
708.87	0.25064
710.76	0.19980
712.79	0.15517
714.41	0.12451
715.89	0.098120
717.41	0.076775
719.68	0.058536
721.84	0.044177
724.27	0.030982
726.70	0.022832
729.13	0.016235
731.56	0.011190
734.39	0.0073089
737.23	0.0050276
741.28	0.0034280
745.06	0.0021652
750.05	0.0011510
753.80	0.00088927
758.56	0.00071148
762.34	0.00071148
