Wavelength (nm)	CHL135_Ni 3-Et PyroPhebide a ME, Ace (Prowse, 1990).abs
350.20	0.42482
353.80	0.46797
358.00	0.50883
361.93	0.54142
365.55	0.57355
368.89	0.60431
371.81	0.64424
374.60	0.70667
378.08	0.77690
380.73	0.83291
383.00	0.86642
384.90	0.88340
387.26	0.89396
389.90	0.89809
392.96	0.89075
395.60	0.87881
397.26	0.86825
399.21	0.85907
401.15	0.85310
403.60	0.86320
404.90	0.88983
406.85	0.92747
407.83	0.95042
408.94	0.97521
410.32	0.99495
412.00	1.00000
413.53	0.99357
414.50	0.96786
415.90	0.89855
418.36	0.77507
421.54	0.61532
423.60	0.51342
426.23	0.37525
428.02	0.30547
430.10	0.24993
432.59	0.19714
434.81	0.16317
437.03	0.13471
439.39	0.11360
442.02	0.094316
445.21	0.079168
448.41	0.070446
452.71	0.062643
458.41	0.058970
464.52	0.057134
470.35	0.056675
475.91	0.058511
481.61	0.062643
487.02	0.064252
493.00	0.062643
499.52	0.058970
506.05	0.056216
513.41	0.056216
519.67	0.062643
524.95	0.069069
530.78	0.072282
539.11	0.072741
547.17	0.072282
554.95	0.071364
560.64	0.070905
564.26	0.070446
567.45	0.077332
570.51	0.089726
573.99	0.10809
578.02	0.13104
580.38	0.14343
582.60	0.15215
585.38	0.16134
588.30	0.16715
591.63	0.16547
594.69	0.16179
597.88	0.15766
601.91	0.15445
605.80	0.15858
609.55	0.16684
613.03	0.18383
616.09	0.20678
619.01	0.23478
622.07	0.28711
624.72	0.35918
627.24	0.48358
629.65	0.61762
631.16	0.69428
632.42	0.77186
634.10	0.85173
634.93	0.88457
636.00	0.89166
637.71	0.88661
638.96	0.85127
640.89	0.77828
642.82	0.67775
644.70	0.58457
646.13	0.50515
648.20	0.40325
649.44	0.34174
650.69	0.29078
652.07	0.24488
654.01	0.20265
656.50	0.15904
658.30	0.13104
659.97	0.10901
662.33	0.086972
665.52	0.066315
669.54	0.046117
674.32	0.031887
679.96	0.022706
686.07	0.016280
692.04	0.013526
696.35	0.011069
702.32	0.0043448
707.60	0.0020496
714.82	0.0020496
