Wavelength (nm)	CHL137_Zn Phe a, C6H6 (Kobayashi, 2006).abs
300.25	0.15371
302.49	0.15882
304.20	0.16247
306.34	0.16564
308.67	0.17026
311.00	0.17684
313.78	0.18390
315.48	0.18901
316.73	0.19047
318.35	0.18901
320.50	0.18511
322.29	0.17854
324.17	0.17172
326.41	0.16588
328.02	0.16126
330.08	0.15858
331.96	0.15736
334.02	0.15858
336.44	0.16393
338.77	0.17075
341.46	0.18024
343.96	0.19144
347.19	0.20727
349.87	0.22407
352.74	0.24208
356.68	0.26813
361.25	0.29905
364.56	0.32120
367.07	0.33216
370.03	0.34141
372.71	0.34652
376.21	0.34847
379.16	0.34749
382.21	0.34628
384.09	0.34968
385.61	0.35772
387.67	0.38085
390.09	0.42661
391.88	0.46995
393.94	0.51791
395.91	0.55662
397.88	0.57780
399.58	0.59167
402.72	0.59849
405.50	0.60336
408.09	0.60604
409.20	0.61577
410.65	0.64285
411.82	0.68053
413.65	0.74772
415.70	0.83585
417.72	0.91059
419.78	0.97851
420.55	0.99531
421.50	1.0000
422.24	0.99482
423.05	0.97949
424.93	0.91278
427.08	0.80469
428.95	0.68467
430.55	0.57074
433.35	0.37914
435.98	0.23599
437.38	0.16783
438.55	0.12255
439.44	0.091873
440.52	0.070936
441.50	0.054382
442.87	0.038558
444.65	0.028333
446.79	0.022003
449.20	0.017378
451.44	0.013726
454.04	0.011048
457.18	0.0088570
461.12	0.0078127
464.70	0.0073963
468.73	0.0073963
472.13	0.0086136
475.09	0.010805
478.58	0.013483
482.34	0.014700
487.00	0.014943
492.11	0.015187
497.66	0.015187
501.42	0.016891
504.20	0.019325
507.00	0.023707
509.57	0.027359
512.26	0.031985
514.77	0.035149
517.01	0.036854
519.07	0.037827
520.77	0.037097
523.19	0.035149
525.61	0.033202
528.20	0.030524
531.07	0.027603
533.85	0.024681
537.07	0.022977
539.49	0.023220
542.26	0.024438
544.59	0.026872
546.87	0.031254
549.07	0.035636
550.95	0.040749
552.74	0.045131
554.18	0.048296
556.15	0.053652
558.12	0.056573
560.54	0.058034
562.96	0.056816
565.10	0.054382
566.90	0.051460
568.91	0.048052
571.10	0.043670
573.35	0.038314
575.58	0.034663
577.64	0.032228
579.44	0.031011
581.67	0.031985
583.73	0.035393
586.15	0.041966
588.12	0.051217
590.48	0.062659
593.05	0.075562
595.11	0.084813
596.90	0.092360
599.95	0.10234
602.28	0.10721
603.89	0.10843
605.41	0.10697
607.74	0.10258
610.25	0.095281
612.75	0.087004
614.90	0.080187
616.87	0.074588
618.67	0.069719
621.17	0.065824
622.97	0.064363
625.20	0.065580
627.26	0.069232
628.88	0.073858
630.58	0.081892
632.28	0.092847
633.93	0.11159
635.33	0.13009
637.74	0.18195
640.95	0.29160
643.95	0.45198
646.05	0.57935
647.42	0.65589
648.15	0.69241
649.15	0.71987
649.90	0.73273
651.00	0.73565
652.00	0.73214
653.12	0.71596
654.15	0.66904
655.62	0.59133
657.00	0.51684
659.11	0.40027
661.91	0.26384
663.84	0.17796
665.46	0.12888
666.60	0.10112
668.04	0.075416
669.33	0.056427
670.51	0.043281
672.12	0.031011
673.95	0.021078
676.10	0.013190
678.25	0.0082241
680.93	0.0047501
683.94	0.0024813
687.70	0.0015049
691.25	0.0015049
695.55	0.0015049
698.88	0.0015049
