Wavelength (nm)	CHL138_Zn Phe a, Et2O (Jones, 1968).abs
387.35	0.35281
388.05	0.37228
388.86	0.38586
389.47	0.39661
389.97	0.40877
390.43	0.41789
391.03	0.42965
391.69	0.44121
392.44	0.45703
393.30	0.47020
394.06	0.48642
395.22	0.50629
396.17	0.52576
396.73	0.53894
397.33	0.54826
398.24	0.56530
398.90	0.57482
399.55	0.58050
400.36	0.58557
401.37	0.58922
402.28	0.59287
403.44	0.59530
404.85	0.59632
406.01	0.59814
407.12	0.60098
408.28	0.60362
409.24	0.60726
409.89	0.61132
410.55	0.61963
411.25	0.62977
411.86	0.64092
412.36	0.65451
412.87	0.67215
413.42	0.69323
414.08	0.71655
415.34	0.76298
416.20	0.79217
417.46	0.83496
418.62	0.88382
419.37	0.91504
420.08	0.93876
420.63	0.95863
421.09	0.97526
421.74	0.98966
422.35	0.99777
423.00	1.00000
423.81	0.99655
424.26	0.99047
424.72	0.97911
425.02	0.96553
425.47	0.94546
426.13	0.92092
426.63	0.89578
426.84	0.87267
427.59	0.84996
427.90	0.81610
428.35	0.78711
428.60	0.75629
428.95	0.73257
429.46	0.68411
429.81	0.65167
430.22	0.62105
430.62	0.59469
431.02	0.56955
431.83	0.53732
432.18	0.50812
432.43	0.48642
432.79	0.45601
433.19	0.43249
433.44	0.40512
433.90	0.38201
434.40	0.35565
434.80	0.33477
435.06	0.32057
435.56	0.29543
436.01	0.27556
436.62	0.25144
437.12	0.23096
437.58	0.21332
437.93	0.19710
438.44	0.17966
438.89	0.16162
439.44	0.13972
440.25	0.10322
440.60	0.089842
441.16	0.078893
441.71	0.069566
442.37	0.061862
443.08	0.054968
443.83	0.048278
444.64	0.042398
445.40	0.037937
446.35	0.032463
447.31	0.029016
448.42	0.025569
450.09	0.022325
451.65	0.019689
453.21	0.017459
455.48	0.015634
458.05	0.013810
460.68	0.012796
463.20	0.012593
466.07	0.012390
469.05	0.013201
471.12	0.014418
472.63	0.015432
474.80	0.016243
477.52	0.016851
479.44	0.017459
482.16	0.017662
485.34	0.017662
488.06	0.017865
490.58	0.017662
493.10	0.018270
495.02	0.018473
497.09	0.018270
498.70	0.018067
500.82	0.018270
502.58	0.018676
504.40	0.019081
505.81	0.020095
507.48	0.021717
509.09	0.023542
510.55	0.025569
511.71	0.027800
512.82	0.030435
513.73	0.032666
514.84	0.034693
516.15	0.036315
517.11	0.037126
518.07	0.037329
519.13	0.036923
520.39	0.035910
522.20	0.034896
523.77	0.033882
525.08	0.032260
526.39	0.030841
527.95	0.028813
529.51	0.027394
530.93	0.025772
532.09	0.024556
533.60	0.022528
534.86	0.022325
536.32	0.022122
537.68	0.021920
539.20	0.021514
540.91	0.021311
542.32	0.021311
543.79	0.022528
545.05	0.024353
546.26	0.026380
547.42	0.029219
548.73	0.031855
549.79	0.034693
550.90	0.037532
551.96	0.040573
553.07	0.042803
554.63	0.046047
555.89	0.048683
557.20	0.050913
558.21	0.052130
559.52	0.053144
561.13	0.054157
563.10	0.053346
565.67	0.052333
567.59	0.050913
569.15	0.048886
570.57	0.045236
571.57	0.043209
572.63	0.040776
573.54	0.038545
574.60	0.036721
575.61	0.035099
576.82	0.033477
578.23	0.032463
579.64	0.032666
580.80	0.033477
582.37	0.035099
583.83	0.036923
585.19	0.038343
586.30	0.040776
587.26	0.043411
588.17	0.045439
589.23	0.049089
589.98	0.052738
590.89	0.056793
591.70	0.061456
592.65	0.067539
593.71	0.073216
594.57	0.078285
595.48	0.083151
596.29	0.087003
597.04	0.090247
597.85	0.093288
598.76	0.096127
599.56	0.098357
600.57	0.10059
601.98	0.10221
603.19	0.10383
604.25	0.10464
605.36	0.10424
606.37	0.10363
607.53	0.10221
608.54	0.10059
609.40	0.098357
610.15	0.095721
611.06	0.093288
611.97	0.090247
612.78	0.087409
613.58	0.084165
614.49	0.081529
615.75	0.078488
616.86	0.075852
618.02	0.073013
619.48	0.070580
620.95	0.069364
622.31	0.068755
623.47	0.068147
624.88	0.068350
626.39	0.069364
627.70	0.070377
628.91	0.072405
629.97	0.075041
630.88	0.077474
631.69	0.081529
632.34	0.084976
633.15	0.089639
633.91	0.094708
634.36	0.10038
635.22	0.10910
636.03	0.12066
636.73	0.13364
637.59	0.14641
638.19	0.15695
639.25	0.17743
639.91	0.19649
640.82	0.21839
641.57	0.23785
642.93	0.29109
643.69	0.33245
644.38	0.36992
645.10	0.40958
645.92	0.45630
646.71	0.49595
648.10	0.56384
648.95	0.60033
649.61	0.63415
650.10	0.65921
650.64	0.68038
651.06	0.69887
651.43	0.71274
652.09	0.72125
653.00	0.72417
653.79	0.72077
654.27	0.71517
654.79	0.70373
655.54	0.68670
656.21	0.66262
656.75	0.64121
657.24	0.61104
657.72	0.58598
658.14	0.56286
658.57	0.53245
658.99	0.50593
659.60	0.47576
660.02	0.44437
660.57	0.40934
661.14	0.38014
661.96	0.34097
662.56	0.31007
663.44	0.26409
664.06	0.23100
664.86	0.19256
665.23	0.17601
665.47	0.15995
665.83	0.14730
666.44	0.13197
667.10	0.11811
667.77	0.10570
668.67	0.089882
669.34	0.079420
670.01	0.067498
670.79	0.057766
671.58	0.049007
672.49	0.039519
673.52	0.030516
675.03	0.022001
676.30	0.017135
677.87	0.013485
679.20	0.011052
680.54	0.010079
682.96	0.0083759
684.83	0.0071594
686.95	0.0059429
689.25	0.0047264
691.31	0.0044831
693.43	0.0037532
695.42	0.0035099
