Wavelength (nm)	CHL139_Zn Phe a, MeOH (Drzewiecka-Matuszek, 2005).abs
351.09	0.39233
354.78	0.40178
357.38	0.41501
359.56	0.43439
361.89	0.45471
363.80	0.47502
366.94	0.49960
369.40	0.51802
372.68	0.53976
375.41	0.55441
379.92	0.57284
383.75	0.58749
387.03	0.60072
389.21	0.61442
392.85	0.63899
394.68	0.65931
396.73	0.68719
398.64	0.71743
400.28	0.75240
403.28	0.81146
406.43	0.87147
409.02	0.91542
411.55	0.95039
415.03	0.98393
417.49	0.99669
419.00	1.0000
421.04	0.99717
423.30	0.98582
426.24	0.95180
429.38	0.89415
432.50	0.80910
435.80	0.67538
440.86	0.47124
444.95	0.32193
449.05	0.20947
451.24	0.16883
454.11	0.12110
456.05	0.098422
458.05	0.079049
461.21	0.062983
464.76	0.050697
467.63	0.043610
473.37	0.037467
478.84	0.036049
487.44	0.036747
495.37	0.035577
502.20	0.036522
508.21	0.038412
514.09	0.044082
520.51	0.047390
525.84	0.047862
531.30	0.046917
537.18	0.046445
541.55	0.046917
547.56	0.052115
553.71	0.060148
560.81	0.072434
567.70	0.082829
572.15	0.086609
576.80	0.087808
582.53	0.089888
588.55	0.096756
592.75	0.10835
596.06	0.12347
599.34	0.14095
602.89	0.15418
606.31	0.16363
609.31	0.16977
611.20	0.17051
613.68	0.16930
616.01	0.16647
619.42	0.16174
621.88	0.15843
623.93	0.15702
627.07	0.15891
630.08	0.16505
632.40	0.17639
635.00	0.20143
637.18	0.23404
639.68	0.27798
642.24	0.33090
645.65	0.42635
648.80	0.52275
651.30	0.61158
652.65	0.65269
654.30	0.68530
655.76	0.70231
657.00	0.70514
658.10	0.70136
659.20	0.68719
660.96	0.65175
663.83	0.57237
666.42	0.48164
670.52	0.34603
674.65	0.22553
677.90	0.15465
679.67	0.12441
681.95	0.096060
684.18	0.076214
686.64	0.062511
689.37	0.050697
693.20	0.038884
697.57	0.028016
701.40	0.020928
706.04	0.013840
710.96	0.0091152
717.11	0.0048490
722.44	0.0029724
727.50	0.0018750
730.22	0.0015548
734.87	0.0015548
349.50	0.0015548
