Wavelength (nm)	CHL140_Cu Phe a, Ace (Watanabe, 1985).abs
351.14	0.32281
354.65	0.35400
357.96	0.38437
361.90	0.41228
365.83	0.44142
370.79	0.47877
374.62	0.50668
379.17	0.54074
382.17	0.57029
384.96	0.60846
387.34	0.66633
389.62	0.70409
391.58	0.74226
393.96	0.77714
396.34	0.80218
399.24	0.81818
401.72	0.82270
404.31	0.81900
407.41	0.81285
409.68	0.80710
412.79	0.80587
415.06	0.81120
416.82	0.81941
418.68	0.85184
420.24	0.89903
421.68	0.94869
422.61	0.97250
423.75	0.99630
425.00	1.00000
426.20	0.99343
427.00	0.95230
427.80	0.88795
429.65	0.74061
432.23	0.55141
435.55	0.34292
437.70	0.21692
438.60	0.17876
439.79	0.14387
441.54	0.11309
442.79	0.092980
444.54	0.073280
446.51	0.058915
448.27	0.047834
450.34	0.039215
453.54	0.028955
458.30	0.022389
464.20	0.018695
471.02	0.017464
477.02	0.017464
482.40	0.018695
488.61	0.021568
496.06	0.026082
502.26	0.031418
508.68	0.035522
514.26	0.034291
519.33	0.031418
525.43	0.029366
530.61	0.030186
535.98	0.033470
541.57	0.039626
546.74	0.046603
551.19	0.047834
556.67	0.046193
561.33	0.044140
566.08	0.042088
570.33	0.040436
573.33	0.042499
576.12	0.044961
579.01	0.050707
582.74	0.060557
585.84	0.070407
589.26	0.088055
593.08	0.10611
596.29	0.12294
598.88	0.13484
601.98	0.14223
605.50	0.14592
608.70	0.14633
612.01	0.14305
614.49	0.14018
617.49	0.13854
620.49	0.14100
622.98	0.14962
625.67	0.16111
627.94	0.17629
630.53	0.19476
632.70	0.21898
635.39	0.26002
637.66	0.30681
639.53	0.36262
641.70	0.44101
643.46	0.53500
644.70	0.60723
645.63	0.65320
647.60	0.71394
649.35	0.74759
650.80	0.75087
652.15	0.74677
653.90	0.71599
656.49	0.65648
660.01	0.55593
663.94	0.43034
666.21	0.33759
668.39	0.26043
670.25	0.20256
672.21	0.15536
673.77	0.12704
675.63	0.10119
678.11	0.076974
681.11	0.058505
684.52	0.044551
687.63	0.033059
691.66	0.022389
695.49	0.015411
700.35	0.0084344
704.49	0.0051511
708.21	0.0022782
712.24	0.0010470
716.69	0.00022614
720.93	0.00022614
