Wavelength (nm)	CHL144_Ni Phe a, Ace (Karcz, 2014).abs
336.94	0.33570
340.65	0.35973
343.76	0.38556
346.99	0.41231
349.86	0.44268
352.73	0.47486
355.84	0.50931
358.71	0.54648
362.30	0.59544
365.77	0.64575
369.72	0.69607
373.07	0.74276
375.70	0.77947
378.33	0.82163
380.84	0.86137
382.91	0.89612
384.73	0.92861
385.93	0.94863
387.42	0.96562
388.42	0.97620
389.62	0.98338
391.21	0.98753
394.00	0.98451
395.70	0.97620
397.09	0.96940
399.98	0.96562
402.28	0.97054
404.47	0.97922
406.36	0.99169
408.46	0.99849
410.25	1.00000
411.95	0.99584
413.14	0.98527
414.44	0.96940
416.33	0.93654
417.93	0.89574
420.17	0.82435
422.01	0.75296
423.66	0.68987
425.60	0.61395
427.60	0.53009
429.89	0.44321
431.88	0.38201
433.58	0.32951
435.57	0.27587
437.56	0.24225
439.86	0.20448
441.95	0.17463
443.74	0.15499
445.44	0.13724
447.93	0.12099
450.22	0.10588
453.21	0.093041
455.71	0.082842
458.80	0.074910
462.19	0.068110
465.48	0.062822
468.57	0.058667
471.76	0.056778
475.04	0.055645
478.63	0.057156
481.52	0.059422
484.22	0.062444
487.31	0.065844
489.90	0.068110
492.89	0.070377
495.48	0.068866
497.77	0.066600
500.16	0.065089
503.26	0.060933
506.25	0.054890
509.24	0.050357
512.33	0.045824
514.82	0.043180
518.01	0.041669
521.30	0.042046
524.19	0.045068
526.98	0.049223
529.77	0.053001
532.96	0.056400
536.15	0.059045
539.64	0.059800
542.83	0.059800
546.62	0.058667
551.00	0.058289
555.69	0.058289
559.38	0.057156
562.97	0.058667
566.55	0.062444
570.04	0.067355
573.13	0.073399
575.92	0.082842
579.71	0.098708
582.90	0.11495
585.89	0.13195
589.48	0.14932
592.27	0.16179
595.06	0.17161
598.35	0.18030
602.04	0.18861
605.63	0.19352
609.02	0.19805
611.51	0.20334
614.00	0.21090
616.20	0.22110
618.79	0.23658
620.88	0.25358
623.27	0.28305
625.87	0.32649
628.96	0.38919
630.85	0.45310
633.12	0.51747
635.81	0.60269
637.92	0.67023
639.46	0.71601
641.14	0.75318
643.17	0.79398
644.25	0.80939
645.68	0.81302
646.88	0.80848
648.55	0.79126
650.47	0.75182
653.58	0.66887
655.97	0.58637
658.96	0.49707
661.35	0.40914
663.98	0.32800
667.10	0.26136
669.49	0.22374
672.36	0.18113
674.99	0.15121
677.98	0.12447
681.93	0.094552
685.52	0.073701
691.50	0.051037
696.88	0.036985
702.98	0.026559
708.12	0.019760
712.91	0.012960
717.81	0.0093339
723.32	0.0061609
728.22	0.0038944
733.96	0.0025345
739.11	0.0019319
745.00	0.0016129
