Wavelength (nm)	CHL145_Pt Phe a, Ace (Karcz, 2014).abs
337.30	0.48587
340.41	0.50368
343.41	0.52423
346.15	0.54569
348.79	0.56806
351.34	0.58998
353.93	0.60870
357.16	0.63199
359.66	0.65071
362.78	0.67354
366.73	0.70230
370.44	0.72970
373.79	0.76075
377.02	0.79453
379.65	0.82102
382.40	0.85298
385.27	0.88905
388.74	0.93882
390.89	0.96895
391.73	0.98219
393.28	0.99498
395.32	1.0000
397.23	0.99589
399.38	0.98767
401.78	0.97991
403.57	0.97169
405.25	0.95936
406.68	0.93927
408.72	0.90046
410.95	0.84293
412.42	0.78997
414.70	0.70413
417.69	0.60779
419.96	0.53290
422.11	0.47674
424.51	0.42606
426.54	0.39182
429.89	0.34296
432.16	0.31237
434.55	0.28223
437.07	0.25347
440.30	0.22242
443.64	0.19685
447.95	0.17219
452.97	0.14845
456.92	0.13338
460.99	0.11877
465.30	0.10827
470.08	0.099593
474.98	0.095027
480.25	0.089548
484.67	0.084526
490.66	0.076764
495.08	0.069001
498.91	0.064892
503.10	0.061239
507.52	0.058956
512.55	0.058956
516.85	0.059413
520.92	0.062609
525.80	0.065805
530.37	0.067175
537.79	0.066718
543.89	0.067175
549.03	0.070371
554.53	0.077220
558.72	0.086809
562.67	0.099137
566.61	0.11649
569.60	0.13201
573.19	0.14891
576.54	0.16260
580.61	0.17448
585.63	0.18315
589.70	0.19000
594.25	0.19548
598.31	0.19967
602.14	0.20552
604.89	0.21694
608.00	0.23155
610.40	0.24936
613.62	0.27995
616.50	0.31648
619.85	0.37081
622.36	0.42332
624.51	0.47674
626.90	0.53564
629.06	0.57582
630.97	0.60596
632.17	0.61874
633.60	0.62240
635.04	0.61829
636.23	0.60505
638.48	0.56943
641.14	0.51190
643.77	0.43611
646.52	0.36807
648.91	0.31693
650.98	0.27721
653.46	0.24388
655.61	0.21831
658.72	0.18909
662.19	0.16306
665.78	0.14297
668.65	0.12699
672.36	0.10964
676.31	0.093353
679.99	0.080416
683.78	0.068240
687.97	0.058348
693.05	0.046933
697.04	0.038942
701.73	0.031332
706.71	0.023342
711.69	0.018015
717.18	0.012688
722.76	0.0088829
727.84	0.0062194
733.13	0.0046975
738.11	0.0035560
742.40	0.0027950
745.98	0.0022515
750.00	0.0020255
