Wavelength (nm)	CHL147_Ag Phe a, Ace (Watanabe, 1985).abs
351.03	0.32704
352.69	0.34636
354.86	0.36027
357.14	0.37572
359.21	0.38963
360.96	0.40006
364.90	0.41426
368.00	0.42830
371.41	0.43483
374.62	0.44101
377.93	0.44796
381.03	0.45530
383.41	0.46805
385.38	0.48119
386.62	0.50050
388.27	0.52986
389.93	0.57043
392.72	0.64306
395.10	0.70255
397.60	0.77286
398.93	0.80570
400.17	0.82617
401.20	0.84008
403.79	0.85785
407.62	0.87060
409.89	0.87485
412.37	0.86906
414.24	0.86159
416.00	0.85244
417.44	0.84510
419.82	0.83776
421.37	0.84626
422.20	0.85785
423.00	0.87446
423.70	0.89417
424.79	0.92700
426.30	0.97414
427.37	0.99500
428.70	1.0000
429.80	0.99307
430.79	0.95984
432.20	0.86597
433.27	0.79411
435.65	0.64151
437.51	0.53064
439.99	0.37031
441.65	0.27412
443.30	0.20458
444.65	0.16865
446.61	0.12693
448.27	0.096021
449.82	0.071297
451.37	0.057003
453.65	0.043481
456.44	0.035368
458.30	0.030732
462.13	0.026097
466.58	0.025324
472.37	0.024938
480.54	0.025495
486.85	0.028801
491.82	0.034209
496.88	0.040391
502.88	0.047344
505.78	0.049662
510.23	0.053139
516.02	0.049662
521.50	0.045413
525.12	0.045026
529.98	0.044640
533.71	0.047731
537.40	0.054298
542.71	0.062025
546.85	0.068206
551.09	0.070910
556.78	0.067820
561.22	0.063570
567.53	0.058934
570.12	0.058383
573.43	0.058548
577.26	0.061252
580.15	0.068592
584.81	0.087908
588.63	0.10529
592.46	0.12345
596.00	0.14277
598.46	0.14933
600.94	0.15204
604.05	0.15011
607.25	0.14818
611.60	0.15049
614.18	0.15397
617.18	0.15899
619.67	0.16788
622.46	0.18642
625.25	0.20883
627.63	0.23394
630.11	0.26562
633.00	0.31738
635.20	0.37379
637.46	0.45067
639.50	0.53450
641.08	0.60133
642.32	0.64306
643.97	0.68787
645.94	0.71028
647.08	0.71375
648.50	0.70950
650.18	0.68092
652.66	0.60867
655.87	0.51171
658.87	0.41744
661.15	0.34250
663.52	0.27875
665.90	0.21424
667.97	0.16710
669.63	0.13697
671.49	0.10838
673.35	0.086749
675.30	0.069751
677.70	0.057003
680.90	0.043481
683.90	0.032001
686.38	0.025324
689.28	0.019143
693.00	0.011963
696.94	0.0071667
700.14	0.0040761
704.18	0.0017582
708.42	0.00098551
713.49	0.00059919
718.55	0.00040996
