Wavelength (nm)	CHL149_Fe(III)Cl 3-Et Phebide a ME, DCM (Andersson, 1989).abs
302.53	0.27568
307.47	0.27624
312.24	0.27846
316.32	0.28403
320.58	0.29496
324.32	0.30519
329.09	0.33966
332.32	0.36469
336.24	0.40197
343.05	0.47318
350.19	0.54939
358.20	0.63453
362.62	0.69014
367.56	0.76079
372.83	0.84257
376.75	0.90599
379.47	0.93937
382.37	0.96774
384.24	0.98499
386.28	0.99555
389.00	1.0000
391.05	0.99444
393.60	0.98443
396.33	0.98053
399.56	0.98777
401.43	0.97942
403.47	0.94882
405.69	0.86760
409.43	0.72852
413.86	0.58277
417.50	0.45760
420.67	0.37193
423.22	0.31407
426.62	0.26289
429.35	0.22562
432.58	0.19279
435.82	0.16665
439.05	0.14495
443.00	0.12437
447.05	0.10879
450.63	0.096186
453.90	0.088402
457.78	0.080335
462.20	0.076415
468.33	0.073381
473.61	0.073659
477.01	0.073937
481.10	0.072547
485.35	0.067818
488.08	0.062255
491.00	0.051963
495.39	0.042784
500.84	0.036386
506.29	0.033242
510.71	0.031657
515.14	0.032214
520.08	0.032214
526.72	0.031936
533.18	0.031657
539.99	0.030267
545.10	0.031657
549.01	0.034439
553.10	0.038889
556.33	0.045009
560.25	0.052519
563.99	0.061977
566.85	0.069487
571.14	0.076719
574.89	0.082560
577.95	0.087011
584.25	0.091183
587.49	0.094521
590.38	0.10120
593.61	0.11177
597.19	0.12929
600.93	0.15822
604.34	0.19410
607.90	0.23888
610.40	0.28061
612.55	0.32511
613.70	0.34709
615.06	0.36628
616.76	0.38631
618.30	0.39410
620.00	0.39688
621.70	0.39382
623.06	0.38130
625.70	0.33874
628.17	0.29396
631.74	0.22943
634.50	0.18409
637.02	0.15099
640.08	0.12234
642.30	0.10092
645.02	0.078388
646.89	0.064758
649.30	0.051963
652.17	0.036664
655.23	0.028876
660.17	0.021644
665.79	0.018028
671.40	0.016637
674.98	0.016637
680.60	0.014133
683.83	0.015246
687.75	0.018862
691.15	0.018306
695.24	0.016081
698.47	0.015802
703.92	0.016081
706.30	0.013021
711.24	0.0088485
715.49	0.0074577
721.11	0.0071796
726.73	0.0077359
734.56	0.0094048
739.15	0.011074
745.28	0.014133
750.90	0.017750
756.35	0.020809
761.62	0.023869
766.90	0.025816
771.67	0.026372
774.90	0.024147
777.79	0.021087
782.05	0.016915
786.31	0.012743
790.05	0.0082922
793.62	0.0057888
798.22	0.0019875
