Wavelength (nm)	CHL151_Cu Phe b, Et2O (Kim, 1967).abs
345.98	0.23574
349.75	0.22226
353.94	0.21552
357.71	0.21777
361.27	0.22226
364.62	0.21440
366.92	0.19643
369.44	0.18520
372.93	0.17360
376.59	0.17640
380.61	0.19044
385.15	0.20635
389.16	0.22507
393.35	0.24472
397.02	0.26812
400.16	0.30088
404.00	0.34112
406.97	0.38605
409.93	0.43658
412.88	0.49929
416.04	0.59475
419.01	0.70612
422.33	0.81937
423.75	0.87271
425.47	0.92793
428.10	0.99064
430.00	1.00000
431.70	0.99190
433.85	0.95601
436.92	0.86991
439.85	0.77538
443.90	0.61534
447.99	0.42348
452.00	0.25221
454.80	0.18108
456.54	0.15394
458.29	0.13148
461.08	0.10808
464.05	0.090300
468.30	0.068775
472.25	0.055672
476.09	0.045377
479.93	0.036018
484.64	0.032274
490.23	0.029467
496.34	0.030403
500.53	0.036954
505.07	0.048185
509.43	0.056608
513.44	0.063159
516.94	0.065031
522.00	0.063159
526.19	0.057544
531.95	0.049121
535.96	0.048185
539.63	0.050057
547.48	0.055672
552.84	0.062379
558.80	0.069399
564.76	0.074078
569.85	0.080317
573.93	0.085777
577.60	0.091202
581.49	0.090456
585.42	0.084997
588.62	0.082657
592.69	0.082657
597.20	0.088117
600.11	0.094356
604.04	0.10294
607.53	0.11697
610.15	0.13335
613.10	0.15909
615.97	0.18795
618.88	0.22070
621.06	0.25034
622.55	0.27608
623.95	0.29325
626.00	0.29869
627.75	0.29217
630.05	0.26828
632.78	0.23474
636.48	0.18873
639.97	0.14895
643.35	0.10839
646.08	0.075638
648.55	0.053800
651.02	0.039762
654.08	0.026503
657.71	0.014636
660.48	0.0077850
664.99	0.0046653
669.20	0.0038854
673.28	0.0035105
677.25	0.0035000
